道具ID,道具名
number,string
id,name
1,金币
2,钻石
3,经验池经验
4,友情点数
5,对战积分
6,蓝水晶
7,公会贡献值
8,人物经验
9,探索力
10,VIP经验
11,道馆经验
12,主角天赋点
2127,凯罗斯碎片
2142,化石翼龙碎片
2144,急冻鸟碎片
2145,闪电鸟碎片
2146,火焰鸟碎片
2214,赫拉克罗斯碎片
2243,雷公碎片
2244,炎帝碎片
2245,水君碎片
2150,超梦碎片
2151,梦幻碎片
2249,洛奇亚碎片
2250,凤王碎片
2251,雪拉比碎片
2382,盖欧卡碎片
2383,固拉多碎片
2384,烈空坐碎片
2385,基拉祈碎片
2487,骑拉帝纳碎片
2646,酋雷姆碎片
2647,凯路迪欧碎片
10001,普通钱袋
10002,高级钱袋
10003,特级钱袋
10011,普通经验卡
10012,高级经验卡
10013,特级经验卡
10021,普通晋升卡
10022,高级晋升卡
10023,特级晋升卡
10031,VIP经验卡
10032,VIP经验卡
10033,名望经验卡
10040,道馆币
10041,道馆宝箱
10042,挑战者木箱
10043,挑战者银箱
10044,挑战者金箱
10051,普通道馆券
10052,高级道馆券
10053,特级道馆券
10101,亲密度宝箱
10111,进化石宝箱
10112,普通进化福袋
10113,精致进化福袋
10114,华丽进化福袋
10121,携带品宝箱
10131,神兽宝箱
10141,努力值宝箱
10142,扭蛋礼包
10143,努力石小福袋
10144,努力石中福袋
10145,努力石大福袋
10151,钥匙
10152,月饼
10160,礼品券
10161,成长礼包
10162,进化礼包I
10164,进化礼包II
10165,进化卡补充包
10185,进化礼包III
10186,进化礼包IV
10187,进化礼包V
10188,进化礼包VI
10166,急冻鸟支援包
10167,火焰鸟支援包
10168,闪电鸟支援包
10169,大师训练包
10170,亲密礼包
10171,努力礼包
10172,训练师皮肤包
10173,学习机-火
10174,学习机-水
10175,学习机-草
10176,学习机-妖
10177,学习机-恶
10178,学习机-龙
10179,学习机-冰
10180,学习机-鬼
10181,慰问礼包
10182,公会温馨礼盒
10183,中级技能秘典
10184,精灵碎片礼盒
10201,开服狂欢币
10202,主宰进化礼包
10203,时装兑换券
10204,妙蛙相伴礼包
10205,火龙相伴礼包
10206,卡咪相伴礼包
10207,内测签到礼盒
10301,二测开服礼盒
10302,精灵糖果
10303,新年灯笼
10304,专场提货券
10305,十连抽欢乐券_蓝色
10306,十连抽欢乐券_红色
10307,技能先行体验券
10308,普通技能券
10309,高级技能券
10310,高级技能先行体验券
10311,二测火焰礼盒
10312,二测水源礼盒
10313,二测青草礼盒
10314,二测妖精礼盒
10315,二测恶兽礼盒
10316,二测龙族礼盒
10208,二测寒冰礼盒
10317,二测鬼族礼盒
10318,技能书礼包
10319,内测礼包
10320,精灵助力礼包
10321,南瓜金币箱
10322,进化礼包-火
10323,进化礼包-水
10324,进化礼包-草
10325,进化礼包-妖
10326,进化礼包-恶
10327,进化礼包-龙
10328,进化礼包-冰
10329,进化礼包-鬼
10330,飞跃礼包-物
10331,飞跃礼包-特
10332,神秘人装扮包
10333,艾莉丝装扮包
10334,万圣-耿鬼
10335,万圣-黑夜
10336,万圣-坚盾
10337,万圣-洛托姆
10338,奇异精灵包
10339,精灵成长包
10340,超进化石礼盒
10341,免费礼包
10342,公测预约礼包
10351,普通通行证
10352,特邀通行证
10353,豪华通行证
10354,携带品礼包
10355,携带品礼包
10356,携带品礼包
10357,携带品礼包
10358,携带品礼包
10359,携带品礼包
10360,携带品礼包
10361,携带品礼包
10400,成长兑换券
10401,3级成长礼包
10402,6级成长礼包
10403,10级成长礼包
10404,20级成长礼包
10405,30级成长礼包
10406,40级高手礼包
10501,时装-透也
10502,时装-透子
10503,时装-希罗娜
10504,时装-嘉德丽雅
10505,时装-渡
10506,时装-莉佳
10507,时装-神秘人
10508,时装-艾莉丝
10509,时装-白露
10510,时装-水系女
10511,时装-小遥
10513,时装-火岩
10514,时装-迪克
10515,时装-蓝鲸透子
10516,时装-不羁迈克
10517,时装-云神小天
10519,时装-悠闲共平
10520,时装-顽皮彩也
10521,时装-绿铃芽米
10522,时装-红鸢真菰
10523,时装-地蜘赤日
10525,时装-骨岩瓢太
10535,时装-欢乐小厨
10601,携带品宝箱LV1
10602,携带品宝箱LV2
10603,携带品宝箱LV3
10604,携带品宝箱LV4
10605,携带品宝箱LV5
10606,携带品宝箱LV6
10701,初级碎片宝箱
10702,高级碎片宝箱
12001,奶酪
12002,蘑菇
12003,蜂蜜
12004,青椒
12005,葡萄
12006,苹果
12007,草莓
12008,菠萝
12101,火之石
12102,水之石
12103,草之石
12104,妖之石
12105,恶之石
12106,龙之石
12107,冰之石
12108,鬼之石
12109,普通石
12111,超进化石
12121,电之石
12122,虫之石
12123,飞之石
12124,地之石
12125,岩之石
12126,格斗石
12127,超能石
12128,钢之石
12129,毒之石
12151,低阶进化卡
12152,中阶进化卡
12153,高阶进化卡
12201,个体洗练石
12211,性格洗练石
12221,物攻努力石1
12222,物攻努力石2
12223,物攻努力石3
12224,物攻努力石4
12225,物攻努力石5
12226,特攻努力石1
12227,特攻努力石2
12228,特攻努力石3
12229,特攻努力石4
12230,特攻努力石5
12231,物防努力石1
12232,物防努力石2
12233,物防努力石3
12234,物防努力石4
12235,物防努力石5
12236,特防努力石1
12237,特防努力石2
12238,特防努力石3
12239,特防努力石4
12240,特防努力石5
12241,速度努力石1
12242,速度努力石2
12243,速度努力石3
12244,速度努力石4
12245,速度努力石5
12246,血量努力石1
12247,血量努力石2
12248,血量努力石3
12249,血量努力石4
12250,血量努力石5
12301,徽章强化石
12400,羽毛
12401,线球
12500,弱效附魔药水
12501,强效附魔药水
12502,顶级附魔药水
12503,原力结晶
12601,魔力糖果
13001,精灵球
13002,高级球
13003,大师球
13004,狩猎球
13005,重复球
13006,暗黑球
13007,黄金球
13011,普通抽取卷
13012,高级抽取卷
13013,超级抽取券
13023,高级狩猎区入场劵
13031,强攻阵型卷轴
13032,防御阵型卷轴
13033,速攻阵型卷轴
13034,控制阵型卷轴
13035,消耗阵型卷轴
13041,炸弹
13051,家园木料
13052,家园石料
13061,神器精魄-初
13062,神器精魄-高
13066,神器精魂
14001,公园绿长椅图纸
14002,路边石灯图纸
14003,尖型石柱图纸
14004,木质邮箱图纸
14005,小狗石柱图纸
14006,长明路灯图纸
14007,铁质路标图纸
14008,木质路标图纸
14009,消防栓图纸
14010,太阳大伞图纸
14101,精灵研制中心图纸
14102,精灵便利店图纸
14103,普通民居图纸
14104,神秘便利店图纸
14105,精灵塔图纸
14106,精灵大厦图纸
14107,精灵中心图纸
14108,精灵商店图纸
14109,精灵博士所图纸
14110,高级民居图纸
14201,枯树图纸
14202,桧柏图纸
14203,圆柏树图纸
14204,榆树图纸
14205,椰树图纸
14206,雪松图纸
14207,棕榈图纸
14208,远古树图纸
14209,仙人掌图纸
14210,香柏树图纸
15001,神火珠图纸
15002,奇火珠图纸
15003,精火珠图纸
15004,灵火珠图纸
15011,神水珠图纸
15012,奇水珠图纸
15013,精水珠图纸
15014,灵水珠图纸
15021,神草珠图纸
15022,奇草珠图纸
15023,精草珠图纸
15024,灵草珠图纸
15031,神妖珠图纸
15032,奇妖珠图纸
15033,精妖珠图纸
15034,灵妖珠图纸
15041,神恶珠图纸
15042,奇恶珠图纸
15043,精恶珠图纸
15044,灵恶珠图纸
15051,神龙珠图纸
15052,奇龙珠图纸
15053,精龙珠图纸
15054,灵龙珠图纸
15061,神冰珠图纸
15062,奇冰珠图纸
15063,精冰珠图纸
15064,灵冰珠图纸
15071,神鬼珠图纸
15072,奇鬼珠图纸
15073,精鬼珠图纸
15074,灵鬼珠图纸
15501,超梦神珠图纸
15502,超梦灵珠图纸
15506,梦幻神珠图纸
15507,梦幻灵珠图纸
15511,洛奇亚神珠图纸
15512,洛奇亚灵珠图纸
15516,凤王神珠图纸
15517,凤王灵珠图纸
15521,雪拉比神珠图纸
15522,雪拉比灵珠图纸
15526,盖欧卡神珠图纸
15527,盖欧卡灵珠图纸
15531,固拉多神珠图纸
15532,固拉多灵珠图纸
15536,烈空座神珠图纸
15537,烈空座灵珠图纸
15541,基拉祈神珠图纸
15542,基拉祈灵珠图纸
15546,骑拉帝纳神珠图纸
15547,骑拉帝纳灵珠图纸
15551,酋雷姆神珠图纸
15552,酋雷姆灵珠图纸
15561,凯路迪欧神珠
15562,凯路迪欧灵珠
18001,集字快乐-集
18002,集字快乐-字
18003,集字快乐-快
18004,集字快乐-乐
18005,新年快乐-新
18006,新年快乐-年
18007,新年快乐-快
18008,新年快乐-乐
19001,地底积分
19002,公会战利品
19003,排位赛积分
10086,紫色万能碎片
10087,橙色万能碎片
10088,红色万能碎片
10089,万能铃铛
601003,妙蛙花碎片
601006,喷火龙碎片
601009,水箭龟碎片
601015,大针蜂碎片
601018,大比鸟碎片
601026,雷丘碎片
601031,尼多后碎片
601034,尼多王碎片
601038,九尾碎片
601059,风速狗碎片
601062,快泳蛙碎片
601065,胡地碎片
601068,怪力碎片
601073,毒刺水母碎片
601078,烈焰马碎片
601091,铁甲贝碎片
601094,耿鬼碎片
601103,椰蛋树碎片
601115,袋兽碎片
601127,凯罗斯碎片
601130,暴鲤龙碎片
601131,乘龙碎片
601134,水伊布碎片
601135,雷伊布碎片
601136,火伊布碎片
601142,化石翼龙碎片
601143,卡比兽碎片
601144,急冻鸟碎片
601145,闪电鸟碎片
601146,火焰鸟碎片
601149,快龙碎片
601154,大竺葵碎片
601157,火暴兽碎片
601160,大力鳄碎片
601169,叉字蝠碎片
601181,电龙碎片
601186,蚊香蛙皇碎片
601196,太阳伊布碎片
601197,月亮伊布碎片
601199,呆呆王碎片
601208,大钢蛇碎片
601212,巨钳螳螂碎片
601214,赫拉克罗斯碎片
601229,黑鲁加碎片
601230,刺龙王碎片
601242,幸福蛋碎片
601243,雷公碎片
601244,炎帝碎片
601245,水君碎片
601248,班基拉斯碎片
601254,蜥蜴王碎片
601257,火焰鸡碎片
601260,巨沼怪碎片
601275,狡猾天狗碎片
601282,沙奈朵碎片
601292,脱壳忍者碎片
601302,勾魂眼碎片
601303,大嘴娃碎片
601306,波士可多拉碎片
601308,恰雷姆碎片
601310,雷电兽碎片
601319,巨牙鲨碎片
601321,吼鲸王碎片
601323,喷火驼碎片
601334,七夕青鸟碎片
601350,美纳斯碎片
601354,诅咒娃娃碎片
601359,阿勃梭鲁碎片
601362,冰鬼护碎片
601373,暴飞龙碎片
601376,巨金怪碎片
601380,拉帝亚斯碎片
601381,拉帝欧斯碎片
601392,烈焰猴碎片
601395,帝王拿波碎片
601426,随风球碎片
601428,长耳兔碎片
601445,烈咬陆鲨碎片
601448,路卡利欧碎片
601460,暴雪王碎片
601461,玛狃拉碎片
601462,自爆磁怪碎片
601464,超铁暴龙碎片
601466,电击魔兽碎片
601467,鸭嘴焰龙碎片
601468,波克基斯碎片
601470,叶伊布碎片
601471,冰伊布碎片
601991,鬼伊布碎片
601475,艾路雷朵碎片
601477,黑夜魔灵碎片
601478,雪妖女碎片
601479,洛托姆碎片
601480,电冰箱碎片
601481,洗衣机碎片
601482,电风扇碎片
601483,除草机碎片
601484,微波炉碎片
601497,君主蛇碎片
601500,炎武王碎片
601503,大剑鬼碎片
601531,差不多娃娃碎片
601549,裙儿小姐碎片
601563,死神棺碎片
601612,双斧战龙碎片
601623,泥偶巨人碎片
601635,三首恶龙碎片
601637,火神虫碎片
601641,龙卷云碎片
601642,雷电云碎片
601645,土地云碎片
601652,布里卡隆碎片
601655,妖火红狐碎片
601658,甲贺忍蛙碎片
601900,天气小子碎片
601901,水系小子碎片
601902,冰系小子碎片
601903,太阳小子碎片
601473,象牙猪碎片
601330,沙漠蜻蜓碎片
601346,摇篮百合碎片
601357,热带龙碎片
601365,帝牙海狮碎片
601377,雷吉洛克碎片
601378,雷吉艾斯碎片
601379,雷吉斯奇鲁碎片
601442,花岩怪碎片
601992,阿罗拉·雷丘碎片
601993,由克希碎片
601994,艾姆利多碎片
601995,亚克诺姆碎片
601537,蟾蜍王碎片
601542,保姆虫碎片
601573,奇诺栗鼠碎片
601609,水晶灯火灵碎片
601465,巨蔓藤碎片
601996,春季鹿碎片
601997,夏季鹿碎片
601998,秋季鹿碎片
601999,冬季鹿碎片
601681,坚盾剑怪碎片
601699,冰雪巨龙碎片
601189,毽子棉碎片
601232,顿甲碎片
601262,大狼犬碎片
601435,坦克臭鼬碎片
601452,龙王蝎碎片
601485,席多蓝恩碎片
601518,梦梦蚀碎片
601545,蜈蚣王碎片
601553,流氓鳄碎片
601555,达摩狒狒碎片
601560,头巾混混碎片
601569,灰尘山碎片
601571,索罗亚克碎片
601576,哥德小姐碎片
