特性ID,特性名称,特性描述,星级0(几率=数/100，有%1.5的情况),星级1,星级2,星级3,星级4,星级5,星级6,星级7,星级8,星级9,星级10,星级11,星级12,星级13,星级14,星级15,星级16,星级17,星级18,星级19,星级20,触发后是否会显示名字（0：显示，1：不显示）,是否为固定值
number,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,number,number
id,name,desc,star0,star1,star2,star3,star4,star5,star6,star7,star8,star9,star10,star11,star12,star13,star14,star15,star16,star17,star18,star19,star20,showBg,isInt
1,[#fcff12]茂盛,  [#18ff00]当体力小于{0}%时，草属性技能的伤害提升{1}%。,30;6,30;12,30;18,30;27,30;33,30;39,30;48,30;54,30;60,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,1,
2,[#fcff12]猛火,  [#18ff00]当体力小于{0}%时，火属性技能的伤害提升{1}%。,30;6,30;12,30;18,30;27,30;33,30;39,30;48,30;54,30;60,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,1,
3,[#fcff12]激流,  [#18ff00]当体力小于{0}%时，水属性技能的伤害提升{1}%。,30;6,30;12,30;18,30;27,30;33,30;39,30;48,30;54,30;60,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,1,
4,[#fcff12]鳞粉,  [#18ff00]对手以自己为目标的招式的追加效果不会起作用。自身的血量上限提高{0}%,4,8,12,16,20,24,28,32,36,40,40,40,40,40,40,40,40,40,40,40,40,1,
5,[#fcff12]蜕皮,  [#18ff00]每回合有{0}%机率治愈自身异常状态。,30,35,40,45,50,55,60,65,70,75,75,75,75,75,75,75,75,75,75,75,75,0,
6,[#fcff12]复眼,  [#18ff00]自身的命中提升{0}%。,12,14,16,18,20,22,24,26,28,30,30,30,30,30,30,30,30,30,30,30,30,1,
7,[#fcff12]狙击手,  [#18ff00]暴击伤害变为{0}%,110,120,130,140,150,160,170,180,190,200,200,200,200,200,200,200,200,200,200,200,200,1,
8,[#fcff12]锐利目光,  [#18ff00]自身暴击率提升{0}%。,3,5,7,10,12,14,17,19,21,24,24,24,24,24,24,24,24,24,24,24,24,1,
9,[#fcff12]毅力,  [#18ff00]陷入异常状态时攻击提升{0}%。,12,18,24,33,39,45,54,60,66,75,75,75,75,75,75,75,75,75,75,75,75,0,
10,[#fcff12]柔软之躯,  [#18ff00]受到的物理伤害下降{0}%。,15,16,18,21,23,25,28,30,32,35,35,35,35,35,35,35,35,35,35,35,35,0,
11,[#fcff12]静电,  [#18ff00]受到攻击时对手有{0}%几率麻痹。,7,9,11,13,15,17,19,21,23,25,25,25,25,25,25,25,25,25,25,25,25,0,
12,[#fcff12]沙隐,  [#18ff00]自身回避率提升{0}%。,8,9,10,12,13,14,16,17,18,20,20,20,20,20,20,20,20,20,20,20,20,1,
13,[#fcff12]毒刺,  [#18ff00]受到攻击时对手有{0}%几率中毒。,8,9,10,12,13,14,16,17,18,20,20,20,20,20,20,20,20,20,20,20,20,0,
14,[#fcff12]魔法防守,  [#18ff00]受到的特殊伤害下降{0}%。,15,16,18,21,23,25,28,30,32,35,35,35,35,35,35,35,35,35,35,35,35,0,
15,[#fcff12]引火,  [#18ff00]受到火属性伤害时攻击力提升{0}%，不可叠加,8,12,16,22,26,30,36,40,44,50,50,50,50,50,50,50,50,50,50,50,50,0,
16,[#fcff12]穿透,  [#18ff00]无视对方伤害下降。使用威力大于或等于60的招式，伤害提高{0}%。,4,8,12,16,20,24,28,32,36,40,40,40,40,40,40,40,40,40,40,40,40,1,
17,[#fcff12]叶绿素,  [#18ff00]使用草系技能后自身速度提升{0}%，不可叠加,8,12,16,22,26,30,36,40,44,50,50,50,50,50,50,50,50,50,50,50,50,0,
18,[#fcff12]孢子,  [#18ff00]受到攻击时对手有{0}%几率中毒或麻痹。,8,9,10,12,13,14,16,17,18,20,20,20,20,20,20,20,20,20,20,20,20,0,
19,[#fcff12]技术高手,  [#18ff00]使用威力小于或等于60的招式，伤害提升{0}%。,8,12,16,22,26,30,36,40,44,50,50,50,50,50,50,50,50,50,50,50,50,1,
20,[#fcff12]湿气,  [#18ff00]自身水系技能伤害提升{0}%，并且自爆无效。,4,8,12,16,20,24,28,32,36,40,40,40,40,40,40,40,40,40,40,40,40,1,
21,[#fcff12]愤怒穴位,  [#18ff00]当被击中要害时，攻击力提升{0}%。,30,40,50,60,70,80,90,100,110,120,120,120,120,120,120,120,120,120,120,120,120,0,
22,[#fcff12]储水,  [#18ff00]当被水系技能命中时，回复最大生命值的{0}%。,10,12,14,16,18,20,22,24,26,28,28,28,28,28,28,28,28,28,28,28,28,0,
23,[#fcff12]精神力,  [#18ff00]当体力小于{0}%时，妖属性招式的威力增长为{1}%。,30;106,30;112,30;118,30;127,30;133,30;139,30;148,30;154,30;160,30;170,30;170,30;170,30;170,30;170,30;170,30;170,30;170,30;170,30;170,30;170,30;170,1,
