属性ID,属性名字,克制属性ID（id1;克制加成系数|id2;克制加成系数),背景图
number,string,string,number
Id,Name,Kezhi,bg
1,火系,3;0.5|17;0.5|11;0.5|7;0.5,7
2,水系,1;0.5|13;0.5|14;0.5,8
3,草系,2;0.5|13;0.5|14;0.5,2
4,妖系,5;0.5|8;0.5|15;0.5,8
5,恶系,16;0.5|8;0.5,6
6,龙系,6;0.5,1
7,冰系,12;0.5|13;0.5|3;0.5|6;0.5,1
8,鬼系,8;0.5|16;0.5,6
9,普通系,,3
10,电系,12;0.5|2;0.5,3
11,虫系,3;0.5|16;0.5|5;0.5,2
12,飞行系,15;0.5|11;0.5|3;0.5,4
13,地面系,18;0.5|14;0.5|17;0.5|1;0.5|10;0.5,9
14,岩石系,12;0.5|11;0.5|1;0.5|7;0.5,9
15,格斗系,9;0.5|14;0.5|17;0.5|7;0.5|5;0.5,7
16,超能系,15;0.5|11;0.5,5
17,钢系,14;0.5|7;0.5|4;0.5,5
18,毒系,3;0.5|4;0.5,4
