ID,类型,关卡名,需求战力,前置关卡,关卡怪物,奖励
number,number,string,string,number,number,string
ID,Type,Name,CombatPower,LeadLevel,LevelMonster,Reward
1001,1,国内线第一战,80000,,5400001,601467;1|10002;5|10012;5
1002,1,国内线第二战,100000,1001,5400003,601467;1|10002;5|10012;5
1003,1,国内线第三战,150000,1002,5400005,601467;1|10002;5|10012;5
1004,1,国内线第四战,200000,1003,5400007,601467;1|10002;5|10012;5
1005,1,国内线第五战,260000,1004,5400010,601467;1|10002;5|10012;5
2001,2,国际线第一战,85000,,5400002,601359;1|10002;5|10012;5
2002,2,国际线第二战,100000,2001,5400004,601359;1|10002;5|10012;5
2003,2,国际线第三战,125000,2002,5400006,601359;1|10002;5|10012;5
2004,2,国际线第四战,160000,2003,5400008,601359;1|10002;5|10012;5
2005,2,国际线第五战,220000,2004,5400009,601359;1|10002;5|10012;5
2006,2,国际线第六战,280000,2005,5400011,601359;1|10002;5|10012;5
3001,3,东京湾第一关,90000,,5400012,601461;1|10002;5|10012;5
3002,3,东京湾第二关,110000,3001,5400013,601461;1|10002;5|10012;5
3003,3,东京湾第三关,135000,3002,5400014,601461;2|10002;5|10012;5
3004,3,东京湾第四关,180000,3003,5400015,601461;2|10002;5|10012;5
3005,3,东京湾第五关,240000,3004,5400016,601461;3|10002;5|10012;5
3006,3,东京湾第六关,300000,3005,5400017,601461;3|10002;5|10012;5
