对话ID,文字
number,String
ID,Content
1,强大的精灵，弱小的精灵，那只是人的一己之见。
2,你知道什么才是最重要的呢。
3,像以往那样前进吧，冠军在等你啊。
4,无论何时都可以，我会一直等下去！
5,不管什么时候，能够改变世界的人都是一心追逐梦想的人
6,海洋是眼泪汇集成的吗?
7,我的面庞倒映在水面上，是充满了希望的笑脸。你的面庞是怎样的？
8,快乐的时候是两倍，悲伤的时候是一半，那就是和精灵在一起的意义...
9,决定就是你了！
10,想打败我还得过一万光年
11,交换来的精灵的名字是改不掉的，因为那里寄托了主人的思念啊！
12,选精灵就和搭公车一样，晚一秒都是可以改变人生的。
13,我知道你，你就是那个把精灵往死里使唤的训练师！
14,"回忆是珍珠,友情是钻石。"
15,神奇的小精灵，是属于我的啦。
16,当世界快要灭亡的时候，海之神就会出现。这是古老的预言。
17,就算是笨手笨脚又迟钝，只要步步脚踏实地的前进，终究可以实现梦想。
18,当一个生命与另一个生命相遇的时候，会孕育出什么呢。
19,真司和小智 他们总有一天 会在冠军联盟上胜出的
20,杰尼杰尼. 卡咪卡咪. 杰尼杰尼杰尼.. 卡咪卡咪卡咪.
21,我的队伍，一定要……又聪明，又强壮，又可爱，又帅气。还要……美丽。.
22,你觉得大哥哥这个人怎么样？
23,嗯～～不好说。虽然比绿的好点，但看起来长大也不会太美丽。
24,有没有战斗力，和愿不愿意积极的使用它，是两个问题。
25,啊，谢谢你的夸奖。
26,唔，你的态度很大方，一点都不胆怯。我越看你，越不像是等闲人物。
27,让我看看你的精灵吧
28,你是我见过最美丽的小姐
29,好讨厌的感觉!
30,就是这样，喵!
31,我是喵喵的喵喵
32,是新品种的精灵吗?
33,别误会，这不是给你的……
34,这城市看来并没有什么特别……咦?
35,哇!好英俊呀!你好!要不要跟我聊聊天啊?
36,这个障碍……是超能力系精灵发出的!
37,刚才看出来了吗，柯波郎的运动轨迹?
38,挑战书?有意思!
39,真可惜，你的运气不好……
40,其实他表演的招数水平也很高。
41,万一他输急了，突然袭击我们……
42,那样的人输了之后，不知道会做出什么样的事来……
43,我也一直都很喜欢你，从小时候到现在，一直都是。
44,恩-啊-感受到温暖的力量终于进化……
45,别人的东西是我的，我的东西还是我的!
46,我明白了，一定是沙子进眼睛了。
47,为什么这么厉害？
48,你陪在身边 我很感谢
49,她陪在身边 我很高兴
50,可恶!罚钱啦罚钱!限你在十秒内把钱付清，10、9、8......
51,"""是的，只要998，就能让你爽到不能呼吸哟。"""
52,我可以闻到你身上的死亡气息。
53,你的预测并不怎么准嘛！
54,风之化身听候您的差遣。
55,风呀，带我一程吧！
56,没错，我知道我让你无法呼吸。
57,俺好像看见了……更绿的牧场……
58,俺很生气，后果很严重！
59,战士的最高境界，就是不拿盾牌也能够开盾墙！
60,没有什么可以击退我！
61,生与死，轮回不止。我们生，而他们死。
62,你们的灵魂将会被女神称量。
63,你的遗体将慢慢消散，化为永恒，就像沙漠中的沙砾那样。
64,我们这是要去哪？
65,我们去找点儿朋友吧！
66,真可怜，让我抱抱你……
67,你也要来玩儿么？很好玩的哟！
68,那个……你看见过我的小熊吗？
69,你们好犀利，败给小萝莉，羞羞脸
70,别怕，不就是把苹果放在你头上么？我又不会射偏！
71,好好看着，可别到时不知道自己是怎么死的。
72,发生故障……系统供电正在减弱……（渐弱地）
73,对你而言，死亡并不是终结。因为你将永远成为我的一部分！
74,大部分人都会打飞机！这对飞机来说很不公平！
75,那只能表明，你除了是个软蛋之外啥也不是！
76,尘归尘……土归土……
77,我来自黑暗……
78,是时候表演真正的技术了！
79,在别的游戏里，像我这么帅的一般都是主角吖！
80,我想，我该让你痛苦一会儿！
81,看看马桶里网到了什么？
82,"只不过是只舱鼠！我要收你做""好朋友""！"
83,我非要把你吊死在桅杆上不可！
84,全速前进中！
85,想知道为啥我的海盗旗这么高兴么？
86,别跑，我的心肝！
87,吓老子一跳！
88,哟呵呵！加上一瓶……朗姆酒
89,啊霍依!（啊霍依！打招呼的意思）
90,有种轰趴我！
91,你埋单，我就来！
92,打烊前的最后一杯！
93,来一杯吧！
94,呀啊啊啊！
95,尝尝这个！
96,欢乐时光-就要开始了！
97,斗殴时间到了！
98,是时候碾平酒桶了！
99,"""我喝酒时唯一遇到过的问题，就是不小心把酒给弄洒了。哈哈！"""
100,我会让你喝翻到桌子底下去，烂人。
101,准备登船！
103,刷船尾啦！
104,快点过来!来吧，美人！
105,看看马桶里网到了什么？
106,只不过是只舱鼠！
107,"我要收你做""好朋友""！"
108,我非要把你吊死在桅杆上不可！
109,全速前进中！
110,想知道为啥我的海盗旗这么高兴么？
111,别跑，我的心肝！
112,吓老子一跳！
113,哟呵呵！加上一瓶……朗姆酒
