常量名,常量值,注释,原中文
string,string,string,string
ConstName,ConstValue,Inco,Chinese
numStatsHpAll,43,HP能力值=24×((种族值×2+个体值+努力值/4+150)×等级/100+15),HP能力值总调整系数
numStatsHpCluAdd,100,加,HP培养增加值
numStatsHpInitAdd,5,加,HP初始增加值
numStatsOtherAll,24,非HP能力值=24×((种族值×2+个体值+努力值/4）×等级/100+5)×性格系数*….,其他能力值总调整系数
numStatsOtherCluAdd,0,加,HP培养增加值
numStatsOtherInitAdd,5,加,HP初始增加值
numStatsRace,6,乘,种族值影响系数
numStatsiv,3,乘,个体值影响系数
numStatseffort,3,乘,努力值影响系数
numStatsLV,200,除法,等级影响系数（改为300）
numDamageAll,1,伤害值=1×((（攻击方）等级×0.001+1)×招式威力/50×（（攻击方）攻击力*（攻击方）攻击力）/（（防守方）防御力*防御系数 +（攻击方）攻击力）+技能威力)×道具×本系加成×克制关系×会心一击,伤害值总影响系数
numDamageAtkLV,0,乘,伤害攻击方等级影响系数
numDamageAtkAdd,5,除法,伤害防御方防御力影响系数
numDamageAtkDef,55,除法,技能威力计算调整系数
numDamageAtkDefAdd,0,加,最低伤害计算增加值
initMission,1,,初始关卡
initMap,1,,初始地图
initPokemonLevel,1,,初始宝可梦等级
initPokemon,1001|1004|1007,,初始宝可梦
initPokemonIV,66,,初始宝可梦个体值
initPokemonNature,1,,初始宝可梦性格
initGold,10000000,,初始金币
initDiamond,98888,,初始钻石
initRole,5001|5002,男|女,初始人物
initPlayerLv,1,,初始人物等级
initExpPool,10000,,初始经验槽经验
initItems,12001;5|12221;2|13001;5|1;40000|13001;10,,初始道具，格式：道具id;道具数量｜道具id;道具数量
initRecharge,79888,,初始充值
baseHit,1,,初始命中
baseEvade,0.01,,初始闪避
baseCri,0.01,,初始暴击率
baseCriDamage,1.5,,初始暴击伤害
spRoundRecover,25,,每回合回复sp
eachLoveNeedGold,50,,每提升1点亲密度需要消耗金币
maxEffort,3060,,总努力值最高值
eachEffort,510,,单项努力值最高值
dailyIVTimes,30,,每日个体值洗练次数
IVCostItem,12201;1,道具和钻石只消耗一种,洗个体值需要消耗的道具
IVCostDiamond,2;50,道具和钻石只消耗一种,洗个体值需要消耗的钻石
maxIV,310,,个体值最高值
IVAgainAddWeight,2,每次同一个宝可梦洗练时所有权重值+N,个体值洗练每次增加权重
dailySpCopyCount,5,,每日特殊副本次数
dailySpCopyPrice,20,,每日特殊副本购买价格
dailySpCopyAddPrice,20,,每日特殊副本购买递增价格
winAdd,0.04,匹配表中匹配的玩家排名百分比-X，最低不能到0,竞技场连胜增加百分比
bringUp,3,携带品升级需要同种携带品个数,携带品升级所需个数
pvpRefreshTime,600,,竞技场刷新时间
pvpRefreshPrice,10,,竞技场刷新时间内刷新花费的钻石数
pvpWinScore,50,,竞技场获胜1次获得的积分
dailyPvPCount,10,,每日竞技场回复次数
pvpCountBasePrice,20,,竞技场次数基础价格
pvpCountAddPrice,20,,竞技场次数递增价格
chatInterval,10,,聊天间隔
charaItem,12211;1,道具id;数量,性格洗练道具
maxFriend,30,,好友上限
maxFriendHelp,1,,每个好友协助次数
eachFriendPoint,10,,每次使用宝可梦给对方提供的友情点
dailyTowerCount,3,,每日挑战模式次数
dailyTowerBackCount,1,,每日挑战模式后撤次数
towerCountBasePrice,20,,挑战模式次数基础价格
towerCountAddPrice,20,,挑战模式次数递增价格
guildApplicationMaxCount,100,,公会申请列表最大长度
guildCreatePrice,9999,,创建公会花费钻石数
guildGoldCount,5,,每日每建筑金币捐献次数
guildGoldCost,100000,,每日每建筑金币捐献消耗
guildGoldDegree,30,,金币捐献提供建设度
guildGoldReward,10,,金币捐献奖励贡献度
guildItemCount,5,,每日每建筑道具捐献次数
guildItemCost,5,,每日每建筑道具捐献消耗
guildItemDegree,30,,道具捐献提供建设度
guildItemReward,10,,道具捐献奖励贡献度
guildDiamondCost,1000,,钻石捐献消耗
guildDiamondDegree,100,,钻石捐献提供建设度
guildDiamondReward,40,,钻石捐献奖励贡献度
guildAddDegree,5,,每次捐献增加建设度
guilddiamondMax,5,次数,钻石捐献次数
guildSciencegold,1000000,单位：金币,公会科技金币捐献
