自增长ID,段位名称/排名,奖励预览（道具；数量）
number,string,string
ID,name,preview
1,大师联盟,2;300|5;3000|1;2000000|12111;100
2,神奥联盟,2;150|5;1800|1;1200000|12111;60
3,丰缘联盟,2;100|5;1200|1;800000|12111;40
4,成都联盟,2;80|5;600|1;500000|12111;30
5,橘子联盟,2;50|5;480|1;200000|12111;20
6,石英联盟,2;20|5;300|1;100000|12111;10
7,第1名,2;500|5;5000|10089;100|10309;10
8,第2名,2;300|5;3000|10089;60|10309;5
9,第3~4名,2;200|5;2000|10089;40|10309;3
10,第5~10名,2;150|5;1000|10089;20|10308;20
11,第11~20名,2;100|5;800|10089;10|10308;10
12,第21~50名,2;50|5;500|10089;5|10308;5
