序号,关卡等级（最高通关等级小于关卡等级限制）,"地图坐标（表示模型在地图界面的显示位置X,Y）",是否玩家（是1，不是0）,形象ID（显示用）,玩家名字（显示用）,VIP等级（显示用）,通关数（显示用）,战力（显示用）,阵容（宠物|宠物，显示用）,挑战关卡ID,挑战奖励（道具；数量|道具；数量）
number,number,string,number,number,string,number,number,string,string,number,string
ID,Gatelevel,XY,Player,HeroID,Name,VIPlevel,Gatenumber,CombatNum,Squad,ChallengeID,Loots
1,50,635;608,0,5011,你来追我呀,10,50,20万,1001|1004|1007|1025,5500001,1;100000
2,85,508;370,1,,,,,,,,1;200000
3,120,357;411,1,,,,,,,,1;300000
4,155,674;238,1,,,,,,,,1;400000
5,175,862;688,1,,,,,,,,1;500000
6,200,842;212,1,,,,,,,,1;1000000
7,225,564;748,1,,,,,,,,1;1200000
8,260,735;768,1,,,,,,,,1;1400000
9,300,1016;668,1,,,,,,,,1;1600000
10,305,444;271,1,,,,,,,,1;1800000
11,330,1001;734,1,,,,,,,,1;2000000
12,365,1143;648,1,,,,,,,,1;2500000
13,400,1096;608,1,,,,,,,,1;3000000
14,435,1064;437,1,,,,,,,,1;4000000
15,470,1270;377,1,,,,,,,,1;5000000
16,505,1341;648,1,,,,,,,,1;6000000
17,605,1023;264,1,,,,,,,,1;7000000
18,905,1227;165,1,,,,,,,,1;8000000
19,1205,1286;773,1,,,,,,,,1;10000000
