关联关卡ID,注释,背景图资源名,"触发时机(1,进入关卡时2,击败最后一波怪物进入结算前,3.击败最后一波怪物结算面板后）",对话顺序,"左右侧(1为左侧,2为右侧)(对话框也要对应改变）",是否是玩家名(1.是）,半身像资源名（如果是玩家的话，男;女）,角色名（如果是玩家的话，男;女）,对话内容（需要用RGBA控制颜色）,显示宝可梦id
number,string,string,number,number,number,number,string,string,string,number
progress,ZHUSHI,backgroundRe,timing,sort,side,boolPlayer,resource,name,dialog,pokemonId
6,,,1,1,2,,6,,嘿，前面那个，这里可不能乱跑，你是谁？,
6,,,1,2,1,1,,,我吗?我是新来的训练员，正准备做精灵战斗训练。,
6,,,1,3,2,,6,,"那正好,先让我来检验下你的水平吧，去吧，我的精灵~",
6,,,2,1,2,,6,,不错的表现，看上去不像是新手,
6,,,2,2,1,1,,,"谢谢夸奖,你也不错",
7,,,1,1,2,,6,,"被小看了啊,我可不仅仅是“不错”的程度哦,要认真了哦，小心了",
7,,,2,1,2,,6,,"居然能跟上我的战斗节奏,虽然我有放水，但对新人来说也很不容易了呢",
7,,,2,2,1,1,,,谢..谢谢…..夸……讲………,
8,,,1,1,2,,6,,"最后的考验,通过的话就允许你和本大人组队去参加精灵大赛哦",
8,,,2,1,2,,6,,恭喜你成为未来传奇训练师小茂大人的队友,
8,,,2,2,1,1,,,……………,
9,,,1,1,1,1,,,"小茂,那个...关于组队的事",
9,,,1,2,2,,6,,你可不要告诉我你打算拒绝未来的精灵大师的邀请哦,
9,,,1,3,2,,6,,看来必须要认真的展示下我的实力了,
10,,,1,1,2,,6,,"出乎我意料的强大,做为队友我深感欣慰",
10,,,2,1,1,1,,,如果不是“大人”的话,
10,,,2,2,2,,6,,什么意思？,
10,,,2,3,1,1,,,我是说如果不是“小茂大人”而是小茂的邀请的话我可以答应组队,
11,,,1,1,2,,6,,万岁，第128次！哦耶，成功组队,
11,,,1,2,1,1,,,"等等,128次是什么意思？",
11,,,1,3,2,,6,,"没时间解释那么多了,出发前往常磐市",
11,,,2,1,1,1,,,总感觉哪里不太对劲啊？,
12,,,1,1,1,1,,,哇！怎么出现那么多形态的伊布，它们似乎不怀好意啊~,
12,,,1,2,2,,6,,"怎么可能伊布可都是善良的精灵啊,看我过去和它们打个招呼",
12,,,1,3,2,1,6,,小心！！！,
12,,,2,1,2,,7,,"有邪恶组织在附近烂捕伊布,所以附近的伊布对人类充满恨意",
12,,,2,2,2,,7,,"我是精灵生态研究者凯伊,和它们沟通了很久才获得的情报",
13,,,1,1,1,1,,,邪恶组织，那是什么，小茂你知道吗？,
13,,,1,2,2,,6,,嗯，知道点，是个神秘的组织,
13,,,1,3,2,,6,,"以非法捕获贩卖神奇宝贝获利,成员都很隐蔽",
14,,,1,1,1,1,,,"真是可恶的组织啊,如果让我碰见一定不能轻饶",
14,,,1,2,2,,2,,为了防止世界被破坏,
14,,,1,3,1,,3,,为了守护世界的和平,
14,,,1,4,2,,2,,贯彻爱与真实的邪恶,
14,,,1,5,1,,3,,可爱又迷人的反派角色,
14,,,1,6,2,,2,,我们是穿梭在银河的火箭队,
14,,,1,7,1,,3,,"白洞,白色的明天在等着我们",
15,,,1,1,2,,2,,既然你诚心诚意的问了,
15,,,1,2,1,,3,,我们就大发慈悲的告诉你,
15,,,1,3,1,1,,,……,
15,,,1,4,2,,6,,……,
15,,1,3,1,1,1,,,"[#FF0000]铁壳蛹[#000000],下个目标就是你！",1014
16,,,1,1,2,,2,,"可恶的小鬼,能不能让人把话说完",
16,,,1,2,1,,3,,大人没有教过打断别人说话是不礼貌的吗？,
16,,,1,3,2,,2,,我叫武藏,
16,,,1,4,1,,3,,小次郎,
16,,,2,1,1,,3,,我们一定会回来的啊啊啊啊啊,
17,,,1,1,1,1,,,突然感觉火箭队似乎也没那么邪恶嘛,
17,,,1,2,2,,6,,"嗯,我也这么觉得",
17,,,1,3,2,,4,,抱歉我的同伴让你们产生了错误的认知,
17,,,1,4,2,,4,,而我，打算纠正它,
17,,,2,1,2,,4,,"不错的表现，你们有资格知晓我的名字,不过要等到下次",
18,,,1,1,2,,4,,"又见面了,我是银河队的 X",
18,,,1,2,2,,5,,"同属银河队,代号Y",
19,,,1,1,2,,4,,现在的小鬼都挺强的嘛,
19,,,1,2,2,,5,,"嗯,热身运动完毕,正式战斗开始",
20,,,1,1,2,,6,,"呼,总算跑出来了",
20,,,1,2,2,,6,,"可恶,明明是反派,为什么那么强",
20,,,1,3,1,1,,,"同感,必须要加快修炼了",
20,,1,3,1,1,1,,,"[#FF0000]拉达[#000000],下个目标就是你！",1020
21,,,1,1,2,,6,,下次让我看见他们2个一定要讨回这笔账,
21,,,1,2,1,1,,,也算我一个,
22,,,1,1,2,,6,,走吧去附近的道馆好好修炼一下,
22,,,1,2,1,1,,,嗯，我似乎也需要好好熟练下最近战斗的心得,
23,,,1,1,2,,6,,"呼呼,你也结束修炼了吗？感觉如何",
23,,,1,2,1,1,,,"嗯,感觉似乎和精灵间的默契度增加了，它们似乎更信任我了",
23,,,1,3,2,,6,,"是吗，这正是训练师成长的标志，走吧,该出发前往下个城镇尼比市了",
24,,,1,1,2,,2,,小鬼又见面了哦,
24,,,1,2,1,,3,,这次的我们可和上次不一样了啊,
24,,,1,3,1,1,,,"一人一个,速战速决",
24,,,1,4,2,,6,,"难得你如此兴致高昂,我正好也需要验证下这段时间修炼的结果",
25,,,1,1,1,1,,,那两个家伙似乎是变强了？可刚才对战的时候我却丝毫没有感觉到压力,
25,,,1,2,2,,6,,"嗯，确实变强了,只是我们变得更强了而已",
25,,1,3,1,1,1,,,"[#FF0000]三地鼠[#000000],下个目标就是你！",1051
26,,,1,1,1,1,,,到达尼比市了,
26,,,1,2,2,,6,,"嗯,按计划挑战道馆吧",
27,,,1,1,1,1,,,"完美胜利,下个目标是哪？",
27,,,1,2,2,,6,,华蓝市,
28,,,1,1,1,1,,,"修整完毕,出发吧，目标华蓝市",
28,,,1,2,2,,6,,华蓝市啊，听哥哥们说那里的道馆实力强劲,
29,,,2,1,1,,0,,已经快到华蓝市了吗？,
29,,,2,2,2,,4,,"是的,BOSS",
29,,,2,3,1,,0,,X，那两个小子你怎么看？,
29,,,2,4,2,,4,,"很有天分,给与时间的话对我们的计划可能会有帮助",
30,,,1,1,2,,7,,前面的两位也是前往华蓝市的训练师吗？,
30,,,1,2,2,,7,,来场训练师之间的公平对决吧,
30,,,1,3,1,1,,,"如你所愿,去吧，我的精灵",
30,,1,3,1,1,1,,,"[#FF0000]超铁暴龙[#000000],下个目标就是你！",1464
31,,,1,1,2,,7,,真是强大，如果是你们的话应该可以通过华蓝道馆的挑战吧,
31,,,1,2,1,1,,,你也不差哦,
31,,,1,3,2,,6,,"嗯,休息下该换我上场了",
32,,,2,1,2,,4,,"BOSS,Y似乎不见了",
32,,,2,2,1,,0,,"呵呵,看来你的评价他影响不小啊",
32,,,2,3,2,,4,,我只是实话实说而已,
