使用次数,消耗钻石,获得金币倍率（*主角等级）,暴击概率（/100）
number,number,number,string
typeid,costDam,getGold,towCril
1,200,1000,70;1|20;2|10;3|0;5|0;10
2,200,1100,67;1|19;2|11;3|2;5|1;10
3,200,1200,65;1|18;2|12;3|4;5|1;10
4,200,1300,62;1|17;2|13;3|6;5|2;10
5,200,1400,60;1|16;2|14;3|8;5|2;10
6,200,1500,57;1|15;2|15;3|8;5|2;10
7,200,1600,55;1|14;2|16;3|8;5|3;10
8,200,1700,52;1|13;2|17;3|0;5|0;10
9,200,1800,50;1|12;2|18;3|0;5|0;10
10,200,1900,47;1|11;2|19;3|18;5|0;10
11,400,2000,70;1|20;2|10;3|0;5|0;10
12,400,2200,67;1|19;2|11;3|2;5|1;10
13,400,2400,65;1|18;2|12;3|4;5|1;10
14,400,2600,62;1|17;2|13;3|6;5|2;10
15,400,2800,60;1|16;2|14;3|8;5|2;10
16,400,3000,57;1|15;2|15;3|8;5|2;10
17,400,3200,55;1|14;2|16;3|8;5|3;10
18,400,3400,52;1|13;2|17;3|0;5|0;10
19,400,3600,50;1|12;2|18;3|0;5|0;10
20,400,3800,47;1|11;2|19;3|18;5|0;10
21,1000,5000,77;1|15;2|8;3|0;5|0;10
22,1000,5400,74;1|14;2|9;3|2;5|1;10
23,1000,5800,73;1|13;2|10;3|3;5|1;10
24,1000,6200,72;1|12;2|11;3|4;5|1;10
25,1000,6600,70;1|11;2|12;3|5;5|2;10
26,1000,7000,69;1|10;2|13;3|6;5|2;10
27,1000,7400,68;1|9;2|14;3|7;5|2;10
28,1000,7800,66;1|8;2|15;3|8;5|3;10
29,1000,8200,65;1|7;2|16;3|9;5|3;10
30,1000,8600,65;1|6;2|16;3|8;5|2;10
31,2000,10000,80;1|15;2|5;3|0;5|0;10
32,2000,10800,77;1|14;2|6;3|2;5|1;10
33,2000,11600,76;1|13;2|7;3|3;5|1;10
34,2000,12400,75;1|12;2|8;3|4;5|1;10
35,2000,13200,73;1|11;2|9;3|5;5|2;10
36,2000,14000,72;1|10;2|10;3|6;5|2;10
37,2000,14800,71;1|9;2|11;3|7;5|2;10
38,2000,15600,69;1|8;2|12;3|8;5|3;10
39,2000,16400,68;1|7;2|13;3|9;5|3;10
40,2000,17200,67;1|6;2|14;3|8;5|2;10
41,4000,20000,80;1|15;2|5;3|0;5|0;10
42,4000,20500,78;1|14;2|6;3|1;5|1;10
43,4000,21000,77;1|13;2|7;3|2;5|1;10
44,4000,21500,76;1|12;2|8;3|3;5|1;10
45,4000,22000,74;1|11;2|9;3|4;5|2;10
46,4000,22500,73;1|10;2|10;3|5;5|2;10
47,4000,23000,73;1|9;2|11;3|5;5|2;10
48,4000,23500,71;1|8;2|12;3|6;5|3;10
49,4000,24000,71;1|7;2|13;3|6;5|3;10
50,10000,50000,71;1|6;2|14;3|6;5|3;10
51,10000,51000,80;1|15;2|5;3|0;5|0;10
52,10000,52000,78;1|14;2|6;3|1;5|1;10
53,10000,53000,77;1|13;2|7;3|2;5|1;10
54,10000,54000,76;1|12;2|8;3|3;5|1;10
55,10000,55000,74;1|11;2|9;3|4;5|2;10
56,10000,56000,73;1|10;2|10;3|5;5|2;10
57,10000,57000,73;1|9;2|11;3|5;5|2;10
58,10000,58000,71;1|8;2|12;3|6;5|3;10
59,10000,59000,71;1|7;2|13;3|6;5|3;10
60,10000,60000,71;1|6;2|14;3|6;5|3;10
