Id,碎片,需要碎片数量,可兑换碎片(id;数量;id;数量),注释,兑换价格（道具id；数量）
number,number,number,string,string,string
id,FDebris,FDebrisCount,TDebris,Inco,price
1,2150,2,2151;1|2249;1|2250;1|2251;1|2382;1|2383;1|2384;1|2385;1|2646;1|2487;1|2647;1,,1;2000000
2,2151,2,2150;1|2249;1|2250;1|2251;1|2382;1|2383;1|2384;1|2385;1|2646;1|2487;1|2647;1,,1;2000000
3,2249,2,2150;1|2151;1|2250;1|2251;1|2382;1|2383;1|2384;1|2385;1|2646;1|2487;1|2647;1,,1;2000000
4,2250,2,2150;1|2249;1|2151;1|2251;1|2382;1|2383;1|2384;1|2385;1|2646;1|2487;1|2647;1,,1;2000000
5,2251,2,2150;1|2249;1|2151;1|2250;1|2382;1|2383;1|2384;1|2385;1|2646;1|2487;1|2647;1,,1;2000000
6,2382,2,2150;1|2249;1|2250;1|2251;1|2151;1|2383;1|2384;1|2385;1|2646;1|2487;1|2647;1,,1;2000000
7,2383,2,2150;1|2249;1|2250;1|2251;1|2382;1|2151;1|2384;1|2385;1|2646;1|2487;1|2647;1,,1;2000000
8,2384,2,2150;1|2249;1|2250;1|2251;1|2382;1|2383;1|2151;1|2385;1|2646;1|2487;1|2647;1,,1;2000000
9,2385,2,2150;1|2249;1|2250;1|2251;1|2382;1|2383;1|2384;1|2151;1|2646;1|2487;1|2647;1,,1;2000000
10,2646,2,2150;1|2249;1|2250;1|2251;1|2382;1|2383;1|2384;1|2151;1|2385;1|2487;1|2647;1,,1;2000000
11,2487,2,2150;1|2249;1|2250;1|2251;1|2382;1|2383;1|2384;1|2151;1|2385;1|2646;1|2647;1,,1;2000000
12,2647,2,2150;1|2249;1|2250;1|2251;1|2382;1|2383;1|2384;1|2151;1|2385;1|2487;1|2646;1,,1;2000000
