自增长ID,区域名字,产出（策划用）,描述,挂机用的地图资源,解锁关卡（除开场4城镇外，每35关开放一个点）,白天宝可梦预览(|分割）,夜晚宝可梦预览(|分割）,白天区域道具预览,夜晚区域道具预览, 游泳,场景特效
number,String,string,string,string,number,string,string,string,string,number,string
ID,Name,Production,Descripition,Map,DungeonId,DayElfShow,NightElfShow,DayItemsShow,NightItemsShow,Swim,EffectName
1,古木镇,普通,这是一座平凡的小镇，为了寻找更多未知的宝可梦，镇上的宝可梦博士正在招募年轻的训练师,3,7,1427|1396|1287|1108|1050|1052|1211|1021|1173|1069,1427|1396|1287|1108|1050|1052|1211|1021|1173|1069,12109|10001|10011|12001|10002|10012|12002|19002,12109|10001|10011|12001|10002|10012|12002|19002,,0
2,常盘森林,草,常盘森林里栖息着许多草系的野生宝可梦，也是新手训练家们出发的第一站,10,1,1045|1548|1590|1273|1021|1043|1013|1010|1132|1235,1045|1548|1590|1273|1021|1043|1013|1010|1132|1235,12103|10001|10011|12001|10002|10012|12002|19002,12103|10001|10011|12001|10002|10012|12002|19002,,effect_cjc
3,水涟镇,水,生活在水边的人们和宝可梦合作，靠捕鱼为生，也是新手训练家们出发的第一站,1,1,1320|1118|1580|1170|1311|1021|1043|1060|1235|1023,1320|1118|1580|1170|1311|1021|1043|1060|1235|1023,12102|10001|10011|12001|10002|10012|12002|19002,12102|10001|10011|12001|10002|10012|12002|19002,1,0
4,熔岩镇,火,咕咕冒泡的岩浆和山脚下的温泉是熔岩镇的热门景点，也是新手训练家们出发的第一站,5,1,1631|1322|1636|1607|1037|1050|1021|1173|1010|1013,1631|1322|1636|1607|1037|1050|1021|1173|1010|1013,12101|10001|10011|12001|10002|10012|12002|19002,12101|10001|10011|12001|10002|10012|12002|19002,,0
5,美川镇,格斗,街上四处可见的道馆和修炼场，无不彰显着当地人的尚武之风,4,46,1559|1056|1532|1066|1043|1016|1052|1023|1013|1050,1559|1056|1532|1066|1043|1016|1052|1023|1013|1050,12126|10001|10011|12001|10002|10012|12002|19002,12126|10001|10011|12001|10002|10012|12002|19002,,0
6,香薰市,妖精,当地特产的香料，吸引了很多平时难得一见的宝可梦,12,81,1036|1039|1280|1175|1023|1052|1050|1013|1010|1016,1036|1039|1280|1175|1023|1052|1050|1013|1010|1016,12104|10001|10011|12001|10002|10012|12002|19002,12104|10001|10011|12001|10002|10012|12002|19002,,0
7,连地洞穴,毒,深入地底的洞穴群阴冷潮湿，里面住了不少超音蝠,11,116,1435|1029|1032|1543|1019|1235|1046|1010|1016|1976,1435|1029|1032|1543|1019|1235|1046|1010|1016|1976,12129|10001|10011|12001|10002|10012|12002|19002,12129|10001|10011|12001|10002|10012|12002|19002,,0
8,奇楠市,虫,每年一度的虫王争霸赛，吸引了很多的虫系宝可梦参加,9,151,1123|1636|1415|1048|1013|1016|1235|1010|1173|1132,1123|1636|1415|1048|1013|1016|1235|1010|1173|1132,12122|10001|10011|12001|10002|10012|12002|19002,12122|10001|10011|12001|10002|10012|12002|19002,,0
9,风雪镇,冰,冬天的时候特别冷，附近的湖泊中生活着不少大舌贝，有传闻说附近的某个洞穴里住着珍稀的宝可梦,7,186,1361|1978|1363|1978|1021|1013|1023|1046|1010|1050,1361|1978|1363|1978|1021|1013|1023|1046|1010|1050,12107|10001|10011|12001|10002|10012|12002|19002,12107|10001|10011|12001|10002|10012|12002|19002,,0
10,密阿雷市,地面,被群山包围的密阿雷市，城市附近已经发生好几起行人失踪的案件了,6,256,1622|1328|1343|1104|1173|1052|1041|1311|1976|1021,1622|1328|1343|1104|1173|1052|1041|1311|1976|1021,12124|10001|10011|12001|10002|10012|12002|19002,12124|10001|10011|12001|10002|10012|12002|19002,,0
11,石林镇,钢,石林镇附近有着当地最大的煤矿、露天铁矿和冶炼厂，为发电厂和实验室提供了试验用的材料,13,291,1227|1304|1597|1599|1043|1019|1023|1069|1052|1235,1227|1304|1597|1599|1043|1019|1023|1069|1052|1235,12128|10001|10011|12001|10002|10012|12002|19002,12128|10001|10011|12001|10002|10012|12002|19002,,0
12,卡洛斯发电厂,电,为附近城镇提供电力，但不知为何偶尔会发生停电事故,21,396,1522|1179|1100|1081|1132|1043|1046|1052|1013|1021,1522|1179|1100|1081|1132|1043|1046|1052|1013|1021,12121|10001|10011|12001|10002|10012|12002|19002,12121|10001|10011|12001|10002|10012|12002|19002,,effect_cjfd
