关卡id,关卡id分段注释,宝可梦id（填-1是随机宝可梦）,等级,阵型所属格子,携带技能(不填为宝可梦该等级所拥有的技能）,BOSS缩放,固定血量值,血量个体值,物攻个体值,特攻个体值,物防个体值,特防个体值,速度个体值,血量努力值,物攻努力值,特攻努力值,物防努力值,特防努力值,速度努力值,亲密度等级,星级,增益效果1,增益效果1参数,增益效果2,增益效果2参数,死亡时增加的血量努力值,死亡时增加的物攻努力值,死亡时增加的特攻努力值,死亡时增加的物防努力值,死亡时增加的特防努力值,死亡时增加的速度努力值,亲密度增加经验
number,string,number,number,number,string,float,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
DungeonsID,ZHUSHIID,ElfID,Level,Grid,Skill,bossScale,HPFixation,HpIndiv,AtkIndiv,DefIndiv,AtkSpIndiv,DefSpIndiv,SpeIndiv,HpBase,AtkBase,DefBase,AtkSpBase,DefSpBase,SpeBase,LoveLevel,star,Buff1,Buff1Parm,Buff2,Buff2Parm,AddHpBase,AddAtkBase,AddDefBase,AddAtkSpBase,AddDefSpBase,AddSpeBase,LoveExp
1,,1013,1,3,,,20,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
1,,1013,1,6,,,20,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
2,,1021,1,3,,,20,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
2,,1021,1,6,,,20,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
3,,1029,1,4,,,20,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
3,,1032,1,3,,,20,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
4,,1041,2,7,,,20,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
4,,1041,2,6,,,20,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
5,,1043,2,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
5,,1046,2,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
5,,1048,2,7,,1.6,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
6,,1005,3,2,,,20,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
6,,1005,3,4,,,20,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
7,,1007,3,3,,,20,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
7,,1010,3,1,,,20,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
8,,1016,4,2,,,20,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
8,,1017,4,4,,,20,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
9,,1021,4,7,,,20,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
9,,1022,4,3,,,20,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
10,,1079,4,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
10,,1081,4,8,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
10,,1083,4,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
10,,1084,4,1,,1.6,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
11,,1024,5,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
11,,1023,5,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
11,,1023,5,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
12,,1134,5,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
12,,1135,5,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
12,,1136,5,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
12,,1196,5,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
12,,1197,5,7,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
12,,1470,5,9,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
13,,1013,6,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
13,,1014,6,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
13,,1013,6,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
14,,1017,6,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
14,,1016,6,6,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
14,,1016,6,8,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
15,,1043,7,1,,1.6,,40,40,40,20,20,20,0,0,0,0,0,0,1,,,,,,,,,,,,
15,,1043,7,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
15,,1043,7,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
16,,1032,7,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
16,,1010,7,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
16,,1111,7,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
17,,1371,8,6,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
17,,1405,8,7,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
17,,1681,8,8,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
18,,1111,8,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
18,,1026,8,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
18,,1981,8,7,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
19,,1050,9,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
19,,1231,9,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
19,,1477,9,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
20,,1060,9,6,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
20,,1125,9,7,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
20,,1172,9,8,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
20,,1170,9,3,,1.6,,40,40,40,20,20,20,0,0,0,0,0,0,2,,,,,,,,,,,,
21,,1215,10,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
21,,1088,10,3,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
21,,1287,10,7,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
22,,1350,10,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
22,,1553,10,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
22,,1478,10,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
23,,1010,11,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,
