副本ID,关卡名,关卡背景资源,战斗波数,过关金币（每一关胜利的获得）,过关宝可梦经验（每一关胜利的获得）,过关主角经验（每一关胜利的获得）,"关卡可能掉落的道具，格式为 掉率,道具ID,数量|其它…",挂机获得金币，单位每分钟,挂机获得宠物经验，单位每分钟,挂机人物经验（单位：分钟）不用收取，自动获得，经验到达等级后自动升级，在线离线都增加,挂机金币上限,挂机经验上限,阵型,BOSS（1为boss，不填或0为普通）,自动战力
number,string,number,number,number,number,number,string,number,number,number,number,number,number,number,number
id,name,bg,fights,goldGet,expElf,expLead,Reward,Gold,Exp,playExp,MaxGold,MaxExp,Formation,boss,autoPower
1,,1,0,20000,8000,10000,"100,700105,1|100,12001,2|100,12002,1|100,10701,1",550,366,751,792000,527040,1,0,152500
2,,1,0,20000,8600,10000,"100,700106,1|100,12001,2|100,12002,1|100,10701,1",556,382,751,800640,550080,101,0,153750
3,,1,0,20000,9200,10000,"100,700107,1|100,12001,2|100,12002,1|100,10701,1",562,398,751,809280,573120,201,0,155000
4,,1,0,20000,9800,10000,"100,700108,1|100,12001,2|100,12002,1|100,10701,1",568,414,751,817920,596160,301,0,156250
5,,1,0,20000,10400,10000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",574,431,751,826560,620640,401,1,157500
6,,2,0,20000,11000,10000,"100,700205,1|100,12001,2|100,12002,1|100,10701,1",580,447,751,835200,643680,1,0,158750
7,,2,0,20000,11600,10000,"100,700206,1|100,12001,2|100,12002,1|100,2,60|100,10701,1",586,463,751,843840,666720,101,0,160000
8,,2,0,20000,12200,10000,"100,700207,1|100,12001,2|100,12002,1|100,10701,1",592,479,751,852480,689760,201,0,161250
9,,2,0,20000,12800,10000,"100,700208,1|100,12001,2|100,12002,1|100,10701,1",598,495,751,861120,712800,301,0,162500
10,,2,1,20000,13400,10000,"100,12003,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",604,512,751,869760,737280,401,1,163750
11,,2,1,20000,14000,10000,"100,700305,1|100,12001,2|100,12002,1|100,10701,1",610,528,751,878400,760320,1,0,165000
12,,2,1,20000,14600,10000,"100,700306,1|100,12001,2|100,12002,1|100,10701,1",616,544,751,887040,783360,101,0,166250
13,,2,1,20000,15200,10000,"100,700307,1|100,12001,2|100,12002,1|100,10701,1",622,560,751,895680,806400,201,0,167500
14,,3,1,20000,15800,10000,"100,700308,1|100,12001,2|100,12002,1|100,10701,1",628,577,751,904320,830880,301,0,168750
15,,3,1,20000,16400,10000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",634,593,751,912960,853920,401,1,170000
16,,3,1,20000,17000,10000,"100,700405,1|100,12001,2|100,12002,1|100,10701,1",640,609,751,921600,876960,1,0,171250
17,,3,1,20000,17600,10000,"100,700406,1|100,12001,2|100,12002,1|100,10701,1",646,625,751,930240,900000,101,0,172500
18,,3,1,20000,18200,10000,"100,700407,1|100,12001,2|100,12002,1|100,10701,1",652,641,751,938880,923040,201,0,173750
19,,3,1,20000,18800,10000,"100,700408,1|100,12001,2|100,12002,1|100,10701,1",658,658,751,947520,947520,301,0,175000
20,,3,1,20000,19400,10000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",664,674,751,956160,970560,401,1,176250
21,,3,1,20000,20000,10000,"100,700105,1|100,12001,2|100,12002,1|100,10701,1",670,690,752,964800,993600,1,0,177500
22,,3,1,20000,20600,10000,"100,700106,1|100,12001,2|100,12002,1|100,10701,1",676,706,752,973440,1016640,101,0,178750
23,,3,1,20000,21200,10000,"100,700107,1|100,12001,2|100,12002,1|100,10701,1",682,722,752,982080,1039680,201,0,180000
24,,4,1,20000,21800,10000,"100,700108,1|100,12001,2|100,12002,1|100,10701,1",688,739,752,990720,1064160,301,0,181250
25,,4,1,20000,22400,10000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",694,755,752,999360,1087200,401,1,182500
26,,4,1,20000,23000,10000,"100,700205,1|100,12001,2|100,12002,1|100,10701,1",700,771,752,1008000,1110240,1,0,183750
27,,4,1,20000,23600,10000,"100,700206,1|100,12001,2|100,12002,1|100,10701,1",706,787,752,1016640,1133280,101,0,185000
28,,4,1,20000,24200,10000,"100,700207,1|100,12001,2|100,12002,1|100,10701,1",712,804,752,1025280,1157760,201,0,186250
29,,4,1,20000,24800,10000,"100,700208,1|100,12001,2|100,12002,1|100,10701,1",718,820,752,1033920,1180800,301,0,187500
30,,4,1,20000,25400,10000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",724,836,752,1042560,1203840,401,1,188750
31,,4,1,20000,26000,10000,"100,700305,1|100,12001,2|100,12002,1|100,10701,1",730,852,752,1051200,1226880,1,0,190000
32,,4,1,20000,26600,10000,"100,700306,1|100,12001,2|100,12002,1|100,10701,1",736,868,752,1059840,1249920,101,0,191250
33,,4,1,20000,27200,10000,"100,700307,1|100,12001,2|100,12002,1|100,10701,1",742,885,752,1068480,1274400,201,0,192500
34,,4,1,20000,27800,10000,"100,700308,1|100,12001,2|100,12002,1|100,10701,1",748,901,752,1077120,1297440,301,0,193750
35,,4,1,20000,28400,10000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",754,917,752,1085760,1320480,401,1,195000
36,,5,2,20000,29000,10000,"100,700405,1|100,12001,2|100,12002,1|100,10701,1",760,933,752,1094400,1343520,1,0,196250
37,,5,2,20000,29600,10000,"100,700406,1|100,12001,2|100,12002,1|100,10701,1",766,950,752,1103040,1368000,101,0,197500
38,,5,2,20000,30200,10000,"100,700407,1|100,12001,2|100,12002,1|100,10701,1",772,966,752,1111680,1391040,201,0,198750
39,,5,2,20000,30800,10000,"100,700408,1|100,12001,2|100,12002,1|100,10701,1",778,982,752,1120320,1414080,301,0,200000
40,,5,2,20000,31400,10000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",784,998,752,1128960,1437120,401,1,201250
41,,5,2,20000,32000,10000,"100,700105,1|100,12001,2|100,12002,1|100,10701,1",790,1014,753,1137600,1460160,1,0,202500
42,,5,2,20000,32600,10000,"100,700106,1|100,12001,2|100,12002,1|100,10701,1",796,1031,753,1146240,1484640,101,0,203750
43,,5,2,20000,33200,10000,"100,700107,1|100,12001,2|100,12002,1|100,10701,1",802,1047,753,1154880,1507680,201,0,205000
44,,5,2,20000,33800,10000,"100,700108,1|100,12001,2|100,12002,1|100,10701,1",808,1063,753,1163520,1530720,301,0,206250
45,,5,2,20000,34400,10000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",814,1079,753,1172160,1553760,401,1,207500
46,,5,2,20000,35000,10000,"100,700205,1|100,12001,2|100,12002,1|100,10701,1",820,1095,753,1180800,1576800,1,0,208750
47,,5,2,20000,35600,10000,"100,700206,1|100,12001,2|100,12002,1|100,10701,1",826,1112,753,1189440,1601280,101,0,210000
48,,5,2,20000,36200,10000,"100,700207,1|100,12001,2|100,12002,1|100,10701,1",832,1128,753,1198080,1624320,201,0,211250
