神器特性id,神器特性类型,附加说明,注释,特性值(几率=数/100),"触发条件(1.每次攻击时,2.每次被攻击时,5.登场时,6.自身死亡时）",触发条件2（1.生命值大于X，2.生命值小于X）,触发条件2数值,"作用目标（1.自身,2.友方随机1个人,3.友方全体,4对方随机1个人,5.对方全体）","效果几率（百分比,1是必定触发）","效果1类型（1.物攻增加百分比,2.特攻增加百分比,3.物防增加百分比,4特防增加百分比,5.伤害增加百分比,6.回复sp固定值,7.回复生命值上限的百分比生命值 8.回复伤害的百分比生命值 9.回复物攻,特攻中较高上限的生命值 10.回复物防,特防中较高上限的生命值 11.回复生命,速度中较高的上限生命值 12.驱除减益效果 13.复活 14.增加的buff ID 15.回复当前生命值百分比的血量 16.受到的伤害减免百分比)(；分隔是共同起作用）",效果1数值,"效果2类型（1.物攻增加百分比,2.特攻增加百分比,3.物防增加百分比,4特防增加百分比,5.伤害增加百分比,6.回复sp固定值,7.回复生命值上限的百分比生命值 8.回复伤害的百分比生命值 9.回复物攻,特攻中较高上限的生命值 10.回复物防,特防中较高上限的生命值 11.回复生命,速度中较高的上限生命值 12.驱除减益效果 13.复活 14.增加的buff ID 15.回复当前生命值百分比的血量 16.受到的伤害减免百分比)(；分隔是共同起作用）",效果2数值,随机权重,神器框颜色（1.绿 2.蓝 3.紫 4.橙 5.红）
number,number,string,string,string,number,number,number,number,double,number,double,number,double,number,number
id,type,textE,ZHUSHI,anum1,openCondition,openCondition2,openNumber2,xiaoGuotarget,xiaoGuopro,xiaoGuoType1,xiaoGuoNum1,xiaoGuoType2,xiaoGuoNum2,pro,color
1,1,"(9星激活)攻击时,{0}%几率这次攻击伤害增加{1}%(绿:6%,红:30%)",,30;6,1,,,1,0.3,5,0.06,,,300,1
2,1,"(9星激活)攻击时,{0}%几率这次攻击伤害增加{1}%(绿:6%,红:30%)",,30;12,1,,,1,0.3,5,0.12,,,400,2
3,1,"(9星激活)攻击时,{0}%几率这次攻击伤害增加{1}%(绿:6%,红:30%)",,30;18,1,,,1,0.3,5,0.18,,,200,3
4,1,"(9星激活)攻击时,{0}%几率这次攻击伤害增加{1}%(绿:6%,红:30%)",,30;24,1,,,1,0.3,5,0.24,,,80,4
5,1,"(9星激活)攻击时,{0}%几率这次攻击伤害增加{1}%(绿:6%,红:30%)",,30;30,1,,,1,0.3,5,0.3,,,20,5
11,2,"(9星激活)攻击时,{0}%几率回复自身物攻,特攻中较高值的{1}%(绿:4%,红:20%)血量",,30;4,1,,,1,0.3,9,0.04,,,300,1
12,2,"(9星激活)攻击时,{0}%几率回复自身物攻,特攻中较高值的{1}%(绿:4%,红:20%)血量",,30;8,1,,,1,0.3,9,0.08,,,400,2
13,2,"(9星激活)攻击时,{0}%几率回复自身物攻,特攻中较高值的{1}%(绿:4%,红:20%)血量",,30;12,1,,,1,0.3,9,0.12,,,200,3
14,2,"(9星激活)攻击时,{0}%几率回复自身物攻,特攻中较高值的{1}%(绿:4%,红:20%)血量",,30;16,1,,,1,0.3,9,0.16,,,80,4
15,2,"(9星激活)攻击时,{0}%几率回复自身物攻,特攻中较高值的{1}%(绿:4%,红:20%)血量",,30;20,1,,,1,0.3,9,0.2,,,20,5
21,3,"(9星激活)血量大于{0}%时,自身伤害增加{1}%(绿:6%,红:30%)",,70;6,1,1,70,1,1,5,0.06,,,300,1
22,3,"(9星激活)血量大于{0}%时,自身伤害增加{1}%(绿:6%,红:30%)",,70;12,1,1,70,1,1,5,0.12,,,400,2
23,3,"(9星激活)血量大于{0}%时,自身伤害增加{1}%(绿:6%,红:30%)",,70;18,1,1,70,1,1,5,0.18,,,200,3
24,3,"(9星激活)血量大于{0}%时,自身伤害增加{1}%(绿:6%,红:30%)",,70;24,1,1,70,1,1,5,0.24,,,80,4
25,3,"(9星激活)血量大于{0}%时,自身伤害增加{1}%(绿:6%,红:30%)",,70;30,1,1,70,1,1,5,0.3,,,20,5
31,4,"(9星激活)血量小于{0}%时,自身伤害增加{1}%(绿:6%,红:30%)",,35;6,1,2,35,1,1,5,0.06,,,300,1
32,4,"(9星激活)血量小于{0}%时,自身伤害增加{1}%(绿:6%,红:30%)",,35;12,1,2,35,1,1,5,0.12,,,400,2
33,4,"(9星激活)血量小于{0}%时,自身伤害增加{1}%(绿:6%,红:30%)",,35;18,1,2,35,1,1,5,0.18,,,200,3
34,4,"(9星激活)血量小于{0}%时,自身伤害增加{1}%(绿:6%,红:30%)",,35;24,1,2,35,1,1,5,0.24,,,80,4
35,4,"(9星激活)血量小于{0}%时,自身伤害增加{1}%(绿:6%,红:30%)",,35;30,1,2,35,1,1,5,0.3,,,20,5
101,5,"(9星激活)攻击时,{0}%(绿:20%,红:40%)几率驱除友方全体减益效果,并回复每个精灵自身生命上限的{1}%血量",,20;5,1,,,3,0.2,12,,7,0.05,300,1
102,5,"(9星激活)攻击时,{0}%(绿:20%,红:40%)几率驱除友方全体减益效果,并回复每个精灵自身生命上限的{1}%血量",,25;5,1,,,3,0.25,12,,7,0.05,400,2
103,5,"(9星激活)攻击时,{0}%(绿:20%,红:40%)几率驱除友方全体减益效果,并回复每个精灵自身生命上限的{1}%血量",,30;5,1,,,3,0.3,12,,7,0.05,200,3
104,5,"(9星激活)攻击时,{0}%(绿:20%,红:40%)几率驱除友方全体减益效果,并回复每个精灵自身生命上限的{1}%血量",,35;5,1,,,3,0.35,12,,7,0.05,80,4
105,5,"(9星激活)攻击时,{0}%(绿:20%,红:40%)几率驱除友方全体减益效果,并回复每个精灵自身生命上限的{1}%血量",,40;5,1,,,3,0.4,12,,7,0.05,20,5
111,6,"(9星激活)攻击时,{0}%回复自身物防,特防中较高值的{1}%(绿:4%,红:20%)血量",,30;4,1,,,1,0.3,9,0.04,,,300,1
112,6,"(9星激活)攻击时,{0}%回复自身物防,特防中较高值的{1}%(绿:4%,红:20%)血量",,30;8,1,,,1,0.3,9,0.08,,,400,2
113,6,"(9星激活)攻击时,{0}%回复自身物防,特防中较高值的{1}%(绿:4%,红:20%)血量",,30;12,1,,,1,0.3,9,0.12,,,200,3
114,6,"(9星激活)攻击时,{0}%回复自身物防,特防中较高值的{1}%(绿:4%,红:20%)血量",,30;16,1,,,1,0.3,9,0.16,,,80,4
115,6,"(9星激活)攻击时,{0}%回复自身物防,特防中较高值的{1}%(绿:4%,红:20%)血量",,30;20,1,,,1,0.3,9,0.2,,,20,5
121,7,"(9星激活)血量大于{0}%时,自身物防,特防增加{1}%(绿:6%,红:30%)",,70;6,2,1,70,1,1,3,0.06,4,0.06,300,1
122,7,"(9星激活)血量大于{0}%时,自身物防,特防增加{1}%(绿:6%,红:30%)",,70;12,2,1,70,1,1,3,0.12,4,0.12,400,2
123,7,"(9星激活)血量大于{0}%时,自身物防,特防增加{1}%(绿:6%,红:30%)",,70;18,2,1,70,1,1,3,0.18,4,0.18,200,3
124,7,"(9星激活)血量大于{0}%时,自身物防,特防增加{1}%(绿:6%,红:30%)",,70;24,2,1,70,1,1,3,0.24,4,0.24,80,4
125,7,"(9星激活)血量大于{0}%时,自身物防,特防增加{1}%(绿:6%,红:30%)",,70;30,2,1,70,1,1,3,0.3,4,0.3,20,5
131,8,"(9星激活)血量小于{0}%时,自身物防,特防增加{1}%(绿:6%,红:30%)",,35;6,2,2,35,1,1,3,0.06,4,0.06,300,1
132,8,"(9星激活)血量小于{0}%时,自身物防,特防增加{1}%(绿:6%,红:30%)",,35;12,2,2,35,1,1,3,0.12,4,0.12,400,2
133,8,"(9星激活)血量小于{0}%时,自身物防,特防增加{1}%(绿:6%,红:30%)",,35;18,2,2,35,1,1,3,0.18,4,0.18,200,3
134,8,"(9星激活)血量小于{0}%时,自身物防,特防增加{1}%(绿:6%,红:30%)",,35;24,2,2,35,1,1,3,0.24,4,0.24,80,4
135,8,"(9星激活)血量小于{0}%时,自身物防,特防增加{1}%(绿:6%,红:30%)",,35;30,2,2,35,1,1,3,0.3,4,0.3,20,5
201,9,"(9星激活)攻击时,{0}%(绿:4%,红:20%)几率让敌方随机1个精灵睡眠,持续2回合",,4,1,,,4,0.04,14,1000011,,,300,1
202,9,"(9星激活)攻击时,{0}%(绿:4%,红:20%)几率让敌方随机1个精灵睡眠,持续2回合",,8,1,,,4,0.08,14,1000011,,,400,2
203,9,"(9星激活)攻击时,{0}%(绿:4%,红:20%)几率让敌方随机1个精灵睡眠,持续2回合",,12,1,,,4,0.12,14,1000011,,,200,3
204,9,"(9星激活)攻击时,{0}%(绿:4%,红:20%)几率让敌方随机1个精灵睡眠,持续2回合",,16,1,,,4,0.16,14,1000011,,,80,4
205,9,"(9星激活)攻击时,{0}%(绿:4%,红:20%)几率让敌方随机1个精灵睡眠,持续2回合",,20,1,,,4,0.2,14,1000011,,,20,5
211,10,"(9星激活)攻击时,{0}%回复生命值的{1}%(绿:3%,红:15%)血量",,30;3,1,,,1,0.3,11,0.03,,,300,1
212,10,"(9星激活)攻击时,{0}%回复生命值的{1}%(绿:3%,红:15%)血量",,30;6,1,,,1,0.3,11,0.06,,,400,2
213,10,"(9星激活)攻击时,{0}%回复生命值的{1}%(绿:3%,红:15%)血量",,30;9,1,,,1,0.3,11,0.09,,,200,3
214,10,"(9星激活)攻击时,{0}%回复生命值的{1}%(绿:3%,红:15%)血量",,30;12,1,,,1,0.3,11,0.12,,,80,4
215,10,"(9星激活)攻击时,{0}%回复生命值的{1}%(绿:3%,红:15%)血量",,30;15,1,,,1,0.3,11,0.15,,,20,5
221,11,"(9星激活)血量大于{0}%时,自身物攻,特攻提高{1}%(绿:6%,红:30%)",,70;6,1,1,70,1,1,1,0.06,2,0.06,300,1
222,11,"(9星激活)血量大于{0}%时,自身物攻,特攻提高{1}%(绿:6%,红:30%)",,70;12,1,1,70,1,1,1,0.12,2,0.12,400,2
223,11,"(9星激活)血量大于{0}%时,自身物攻,特攻提高{1}%(绿:6%,红:30%)",,70;18,1,1,70,1,1,1,0.18,2,0.18,200,3
224,11,"(9星激活)血量大于{0}%时,自身物攻,特攻提高{1}%(绿:6%,红:30%)",,70;24,1,1,70,1,1,1,0.24,2,0.24,80,4
225,11,"(9星激活)血量大于{0}%时,自身物攻,特攻提高{1}%(绿:6%,红:30%)",,70;30,1,1,70,1,1,1,0.3,2,0.3,20,5
231,12,"(9星激活)血量小于{0}%时,自身物攻,特攻提高{1}%(绿:6%,红:30%)",,35;6,1,2,35,1,1,1,0.06,2,0.06,300,1
232,12,"(9星激活)血量小于{0}%时,自身物攻,特攻提高{1}%(绿:6%,红:30%)",,35;12,1,2,35,1,1,1,0.12,2,0.12,400,2
233,12,"(9星激活)血量小于{0}%时,自身物攻,特攻提高{1}%(绿:6%,红:30%)",,35;18,1,2,35,1,1,1,0.18,2,0.18,200,3
234,12,"(9星激活)血量小于{0}%时,自身物攻,特攻提高{1}%(绿:6%,红:30%)",,35;24,1,2,35,1,1,1,0.24,2,0.24,80,4
235,12,"(9星激活)血量小于{0}%时,自身物攻,特攻提高{1}%(绿:6%,红:30%)",,35;30,1,2,35,1,1,1,0.3,2,0.3,20,5
301,13,"(9星激活)攻击时,{0}%几率回复己方所有宝可梦基于每个精灵自身生命值上限{1}%(绿:2%,红:10%)的血量",,20;2,1,,,3,0.2,7,0.02,,,300,1
302,13,"(9星激活)攻击时,{0}%几率回复己方所有宝可梦基于每个精灵自身生命值上限{1}%(绿:2%,红:10%)的血量",,20;4,1,,,3,0.2,7,0.04,,,400,2
303,13,"(9星激活)攻击时,{0}%几率回复己方所有宝可梦基于每个精灵自身生命值上限{1}%(绿:2%,红:10%)的血量",,20;6,1,,,3,0.2,7,0.06,,,200,3
304,13,"(9星激活)攻击时,{0}%几率回复己方所有宝可梦基于每个精灵自身生命值上限{1}%(绿:2%,红:10%)的血量",,20;8,1,,,3,0.2,7,0.08,,,80,4
