神器附加类型(从神器类型里随机到的类型）,附加属性效果id,"随机权重（根据类型在类型里随机1次，例如类型随机到的是1,就从类型1的里面随机下面的权重）"
number,number,number
type,effectId,pro
1,603001,8000
1,603002,8320
1,603003,8932
1,603004,9306
1,603005,9442
1,603006,9340
1,603007,9000
1,603008,8422
1,603009,7606
1,603010,6552
1,603011,5260
1,603012,3730
1,603013,2500
1,603014,1570
1,603015,940
1,603016,580
1,603017,320
1,603018,120
1,603019,60
1,603020,20
2,603101,8000
2,603102,8320
2,603103,8932
2,603104,9306
2,603105,9442
2,603106,9340
2,603107,9000
2,603108,8422
2,603109,7606
2,603110,6552
2,603111,5260
2,603112,3730
2,603113,2500
2,603114,1570
2,603115,940
2,603116,580
2,603117,320
2,603118,120
2,603119,60
2,603120,20
3,603201,8000
3,603202,8320
3,603203,8932
3,603204,9306
3,603205,9442
3,603206,9340
3,603207,9000
3,603208,8422
3,603209,7606
3,603210,6552
3,603211,5260
3,603212,3730
3,603213,2500
3,603214,1570
3,603215,940
3,603216,580
3,603217,320
3,603218,120
3,603219,60
3,603220,20
4,603301,8000
4,603302,8320
4,603303,8932
4,603304,9306
4,603305,9442
4,603306,9340
4,603307,9000
4,603308,8422
4,603309,7606
4,603310,6552
4,603311,5260
4,603312,3730
4,603313,2500
4,603314,1570
4,603315,940
4,603316,580
4,603317,320
4,603318,120
4,603319,60
4,603320,20
5,603401,8000
5,603402,8320
5,603403,8932
5,603404,9306
5,603405,9442
5,603406,9340
5,603407,9000
5,603408,8422
5,603409,7606
5,603410,6552
5,603411,5260
5,603412,3730
5,603413,2500
5,603414,1570
5,603415,940
5,603416,580
5,603417,320
5,603418,120
5,603419,60
5,603420,20
6,603501,8000
6,603502,8320
6,603503,8932
6,603504,9306
6,603505,9442
6,603506,9340
6,603507,9000
6,603508,8422
6,603509,7606
6,603510,6552
6,603511,5260
6,603512,3730
6,603513,2500
6,603514,1570
6,603515,940
6,603516,580
6,603517,320
6,603518,120
6,603519,60
6,603520,20
7,603601,8000
7,603602,8320
7,603603,8932
7,603604,9306
7,603605,9442
7,603606,9340
7,603607,9000
7,603608,8422
7,603609,7606
7,603610,6552
7,603611,5260
7,603612,3730
7,603613,2500
7,603614,1570
7,603615,940
7,603616,580
7,603617,320
7,603618,120
7,603619,60
7,603620,20
8,603701,8000
8,603702,8320
8,603703,8932
8,603704,9306
8,603705,9442
8,603706,9340
8,603707,9000
8,603708,8422
8,603709,7606
8,603710,6552
8,603711,5260
8,603712,3730
8,603713,2500
8,603714,1570
8,603715,940
8,603716,580
8,603717,320
8,603718,120
8,603719,60
8,603720,20
9,,100000
