神器星级,升下级所需道具,当前升星属性值,额外效果说明,额外效果id
number,string,number,string,number
starLv,upItems,effectId,textE,etrEffect
0,13066;100,601000,,
1,13066;500,601001,,
2,13066;200,601002,生命+2000,602001
3,13066;500,601003,,
4,13066;200,601004,物攻+1000，特攻+1000,602002
5,13066;500,601005,,
6,13066;200,601006,生命+5%,602003
7,13066;500,601007,,
8,13066;1000,601008,伤害增加4%,602004
9,13066;1000,601009,,
10,13066;400,601010,物攻+5%，特攻+5%,602005
11,13066;1000,601011,,
12,13066;400,601012,物防+5%，特防+5%,602006
13,13066;1000,601013,,
14,13066;400,601014,免伤增加3%,602007
15,13066;1000,601015,,
16,13066;400,601016,生命+4000,602008
17,13066;1000,601017,,
18,13066;400,601018,物攻+2000，特攻+2000,602009
19,13066;1500,601019,,
20,13066;600,601020,物防+8%，特防+8%,602010
21,13066;1500,601021,,
22,13066;600,601022,生命+8%,602011
23,13066;1500,601023,,
24,13066;600,601024,伤害增加8%,602012
25,13066;1500,601025,,
26,13066;600,601026,物攻+8%，特攻+8%,602013
27,13066;1500,601027,,
28,13066;600,601028,免伤增加6%,602014
29,13066;3000,601029,,
30,,601030,物攻+12%，特攻+12%,602015
