神器强化等级,升下级需要经验,当前等级属性值id
number,number,number
id,upItems,effectId
0,300,600000
1,739,600001
2,1251,600002
3,1819,600003
4,2431,600004
5,3081,600005
6,3765,600006
7,4479,600007
8,5220,600008
9,5986,600009
10,6775,600010
11,7587,600011
12,8419,600012
13,9270,600013
14,10140,600014
15,11028,600015
16,11932,600016
17,12852,600017
18,13788,600018
19,14739,600019
20,15704,600020
21,16683,600021
22,17675,600022
23,18681,600023
24,19699,600024
25,20729,600025
26,21772,600026
27,22826,600027
28,23891,600028
29,24968,600029
30,26055,600030
31,27153,600031
32,28261,600032
33,29379,600033
34,30508,600034
35,31646,600035
36,32793,600036
37,33950,600037
38,35116,600038
39,36291,600039
40,37475,600040
41,38667,600041
42,39869,600042
43,41078,600043
44,42296,600044
45,43522,600045
46,44756,600046
47,45998,600047
48,47247,600048
49,48505,600049
50,49769,600050
51,51042,600051
52,52321,600052
53,53608,600053
54,54903,600054
55,56204,600055
56,57512,600056
57,58827,600057
58,60149,600058
59,61478,600059
60,62813,600060
61,64155,600061
62,65503,600062
63,66858,600063
64,68220,600064
65,69587,600065
66,70961,600066
67,72341,600067
68,73727,600068
69,75119,600069
70,76517,600070
71,77921,600071
72,79331,600072
73,80746,600073
74,82168,600074
75,83595,600075
76,85027,600076
77,86466,600077
78,87910,600078
79,89359,600079
80,90814,600080
81,92274,600081
82,93740,600082
83,95210,600083
84,96687,600084
85,98168,600085
86,99654,600086
87,101146,600087
88,102643,600088
89,104145,600089
90,105651,600090
91,107163,600091
92,108680,600092
93,110201,600093
94,111728,600094
95,113259,600095
96,114795,600096
97,116336,600097
98,117882,600098
99,119432,600099
100,,600100
