神器ID,注释,神器名,文字说明,"排序值,越小排越前",图纸icon,专属系id(有值时，此列的系宝可梦才能携带）,专属宝可梦id(有值时，此列的宝可梦才能携带）,神器特性随机类型（获得时从下列类型里的特性进行随机）,特性触发星数（神器的星数>=这个星数，特性才生效）
number,string,string,string,number,number,string,string,number,number
id,ZHUSHI,itemName,text,sort,icon,attributeId,elfId,abilityType,starOpen
41001,系神器火,火斗神,"火,格斗系精灵专属的神器之一，9星可以激活特有的战斗特性",1,15001,1;15,,1,9
41002,,火斗奇,"火,格斗系精灵专属的神器之一，9星可以激活特有的战斗特性",2,15002,1;15,,2,9
41003,,火斗精,"火,格斗系精灵专属的神器之一，9星可以激活特有的战斗特性",3,15003,1;15,,3,9
41004,,火斗灵,"火,格斗系精灵专属的神器之一，9星可以激活特有的战斗特性",4,15004,1;15,,4,9
41011,系神器水,水普神,水，普通系精灵专属的神器之一，9星可以激活特有的战斗特性,11,15011,2;9,,5,9
41012,,水普奇,水，普通系精灵专属的神器之一，9星可以激活特有的战斗特性,12,15012,2;9,,6,9
41013,,水普精,水，普通系精灵专属的神器之一，9星可以激活特有的战斗特性,13,15013,2;9,,7,9
41014,,水普灵,水，普通系精灵专属的神器之一，9星可以激活特有的战斗特性,14,15014,2;9,,8,9
41021,系神器草,虫草神,草，虫系精灵专属的神器之一，9星可以激活特有的战斗特性,21,15021,3;11,,9,9
41022,,虫草奇,草，虫系精灵专属的神器之一，9星可以激活特有的战斗特性,22,15022,3;11,,10,9
41023,,虫草精,草，虫系精灵专属的神器之一，9星可以激活特有的战斗特性,23,15023,3;11,,11,9
41024,,虫草灵,草，虫系精灵专属的神器之一，9星可以激活特有的战斗特性,24,15024,3;11,,12,9
41031,系神器妖,超妖电神,妖，超能，电系精灵专属的神器之一，9星可以激活特有的战斗特性,31,15031,4;16;10,,13,9
41032,,超妖电奇,妖，超能，电系精灵专属的神器之一，9星可以激活特有的战斗特性,32,15032,4;16;10,,14,9
41033,,超妖电精,妖，超能，电系精灵专属的神器之一，9星可以激活特有的战斗特性,33,15033,4;16;10,,15,9
41034,,超妖电灵,妖，超能，电系精灵专属的神器之一，9星可以激活特有的战斗特性,34,15034,4;16;10,,16,9
41041,系神器恶,恶岩钢神,恶，岩石，钢系精灵专属的神器之一，9星可以激活特有的战斗特性,41,15041,5;14;17,,17,9
