效果ID,注释,火系技能威力百分比,水系技能威力百分比,草系技能威力百分比,妖系技能威力百分比,恶系技能威力百分比,龙系技能威力百分比,冰系技能威力百分比,鬼系技能威力百分比,普通系技能威力,电系技能威力,虫系技能威力,飞行系技能威力,地面系技能威力,岩石系技能威力,格斗系技能威力,超能系技能威力,钢系技能威力,毒系技能威力,暴击伤害百分比,暴击率百分比,命中百分比,闪避百分比,伤害增加百分比,伤害减免百分比,血量百分比,物攻百分比,特攻百分比,物防百分比,特防百分比,速度百分比,血量固定值,物攻固定值,特攻固定值,物防固定值,特防固定值,速度固定值
number,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,number,number,number,number,number,number
id,zhushi,fireSkill,waterSkill,grassSkill,demonSkill,evilSkill,dragonSkill,iceSkill,ghostSkill,generalSkill,electricSkill,insectSkill,flightSkill,groundSkill,rockSkill,grappleSkill,superSkill,steelSkill,poisonSkill,critDamage,critChance,hit,evade,damageUpPer,damageDownPer,hpPer,atkPer,atkSpPer,defPer,defSpPer,spePer,hp,atk,atkSp,def,defSp,spe
1,1~500是类型1的携带品,0.03,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,72,29,29,29,29,29
2,,0.06,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,145,58,58,58,58,58
3,,0.09,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,275,110,110,110,110,110
4,,0.12,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,495,198,198,198,198,198
5,,0.15,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,840,336,336,336,336,336
6,,0.18,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,1342,537,537,537,537,537
7,,0.21,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,2012,805,805,805,805,805
8,,0.24,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,2815,1126,1126,1126,1126,1126
9,,0.27,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,3660,1464,1464,1464,1464,1464
10,,0.3,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,4470,1788,1788,1788,1788,1788
11,,0.33,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,5345,2138,2138,2138,2138,2138
51,,,0.03,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,72,29,29,29,29,29
52,,,0.06,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,145,58,58,58,58,58
53,,,0.09,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,275,110,110,110,110,110
54,,,0.12,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,495,198,198,198,198,198
55,,,0.15,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,840,336,336,336,336,336
56,,,0.18,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,1342,537,537,537,537,537
57,,,0.21,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,2012,805,805,805,805,805
58,,,0.24,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,2815,1126,1126,1126,1126,1126
59,,,0.27,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,3660,1464,1464,1464,1464,1464
60,,,0.3,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,4470,1788,1788,1788,1788,1788
61,,,0.33,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,5345,2138,2138,2138,2138,2138
101,,,,0.03,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,72,29,29,29,29,29
102,,,,0.06,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,145,58,58,58,58,58
103,,,,0.09,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,275,110,110,110,110,110
104,,,,0.12,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,495,198,198,198,198,198
105,,,,0.15,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,840,336,336,336,336,336
106,,,,0.18,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,1342,537,537,537,537,537
107,,,,0.21,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,2012,805,805,805,805,805
108,,,,0.24,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,2815,1126,1126,1126,1126,1126
109,,,,0.27,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,3660,1464,1464,1464,1464,1464
110,,,,0.3,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,4470,1788,1788,1788,1788,1788
111,,,,0.33,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,5345,2138,2138,2138,2138,2138
151,,,,,0.03,,,,,,0.03,,,,,,0.03,,,,,,,,,,,,,,,72,29,29,29,29,29
152,,,,,0.06,,,,,,0.06,,,,,,0.06,,,,,,,,,,,,,,,145,58,58,58,58,58
153,,,,,0.09,,,,,,0.09,,,,,,0.09,,,,,,,,,,,,,,,275,110,110,110,110,110
154,,,,,0.12,,,,,,0.12,,,,,,0.12,,,,,,,,,,,,,,,495,198,198,198,198,198
155,,,,,0.15,,,,,,0.15,,,,,,0.15,,,,,,,,,,,,,,,840,336,336,336,336,336
156,,,,,0.18,,,,,,0.18,,,,,,0.18,,,,,,,,,,,,,,,1342,537,537,537,537,537
157,,,,,0.21,,,,,,0.21,,,,,,0.21,,,,,,,,,,,,,,,2012,805,805,805,805,805
158,,,,,0.24,,,,,,0.24,,,,,,0.24,,,,,,,,,,,,,,,2815,1126,1126,1126,1126,1126
159,,,,,0.27,,,,,,0.27,,,,,,0.27,,,,,,,,,,,,,,,3660,1464,1464,1464,1464,1464
160,,,,,0.3,,,,,,0.3,,,,,,0.3,,,,,,,,,,,,,,,4470,1788,1788,1788,1788,1788
161,,,,,0.33,,,,,,0.33,,,,,,0.33,,,,,,,,,,,,,,,5345,2138,2138,2138,2138,2138
201,,,,,,0.03,,,,,,,,,0.03,,,0.03,,,,,,,,,,,,,,72,29,29,29,29,29
202,,,,,,0.06,,,,,,,,,0.06,,,0.06,,,,,,,,,,,,,,145,58,58,58,58,58
203,,,,,,0.09,,,,,,,,,0.09,,,0.09,,,,,,,,,,,,,,275,110,110,110,110,110
204,,,,,,0.12,,,,,,,,,0.12,,,0.12,,,,,,,,,,,,,,495,198,198,198,198,198
205,,,,,,0.15,,,,,,,,,0.15,,,0.15,,,,,,,,,,,,,,840,336,336,336,336,336
206,,,,,,0.18,,,,,,,,,0.18,,,0.18,,,,,,,,,,,,,,1342,537,537,537,537,537
207,,,,,,0.21,,,,,,,,,0.21,,,0.21,,,,,,,,,,,,,,2012,805,805,805,805,805
208,,,,,,0.24,,,,,,,,,0.24,,,0.24,,,,,,,,,,,,,,2815,1126,1126,1126,1126,1126
209,,,,,,0.27,,,,,,,,,0.27,,,0.27,,,,,,,,,,,,,,3660,1464,1464,1464,1464,1464
210,,,,,,0.3,,,,,,,,,0.3,,,0.3,,,,,,,,,,,,,,4470,1788,1788,1788,1788,1788
211,,,,,,0.33,,,,,,,,,0.33,,,0.33,,,,,,,,,,,,,,5345,2138,2138,2138,2138,2138
251,,,,,,,0.03,,,,,,0.03,,,,,,,,,,,,,,,,,,,72,29,29,29,29,29
252,,,,,,,0.06,,,,,,0.06,,,,,,,,,,,,,,,,,,,145,58,58,58,58,58
253,,,,,,,0.09,,,,,,0.09,,,,,,,,,,,,,,,,,,,275,110,110,110,110,110
254,,,,,,,0.12,,,,,,0.12,,,,,,,,,,,,,,,,,,,495,198,198,198,198,198
255,,,,,,,0.15,,,,,,0.15,,,,,,,,,,,,,,,,,,,840,336,336,336,336,336
256,,,,,,,0.18,,,,,,0.18,,,,,,,,,,,,,,,,,,,1342,537,537,537,537,537
257,,,,,,,0.21,,,,,,0.21,,,,,,,,,,,,,,,,,,,2012,805,805,805,805,805
258,,,,,,,0.24,,,,,,0.24,,,,,,,,,,,,,,,,,,,2815,1126,1126,1126,1126,1126
259,,,,,,,0.27,,,,,,0.27,,,,,,,,,,,,,,,,,,,3660,1464,1464,1464,1464,1464
260,,,,,,,0.3,,,,,,0.3,,,,,,,,,,,,,,,,,,,4470,1788,1788,1788,1788,1788
261,,,,,,,0.33,,,,,,0.33,,,,,,,,,,,,,,,,,,,5345,2138,2138,2138,2138,2138
301,,,,,,,,0.03,,,,,,0.03,,,,,,,,,,,,,,,,,,72,29,29,29,29,29
302,,,,,,,,0.06,,,,,,0.06,,,,,,,,,,,,,,,,,,145,58,58,58,58,58
303,,,,,,,,0.09,,,,,,0.09,,,,,,,,,,,,,,,,,,275,110,110,110,110,110
304,,,,,,,,0.12,,,,,,0.12,,,,,,,,,,,,,,,,,,495,198,198,198,198,198
305,,,,,,,,0.15,,,,,,0.15,,,,,,,,,,,,,,,,,,840,336,336,336,336,336
306,,,,,,,,0.18,,,,,,0.18,,,,,,,,,,,,,,,,,,1342,537,537,537,537,537
307,,,,,,,,0.21,,,,,,0.21,,,,,,,,,,,,,,,,,,2012,805,805,805,805,805
308,,,,,,,,0.24,,,,,,0.24,,,,,,,,,,,,,,,,,,2815,1126,1126,1126,1126,1126
309,,,,,,,,0.27,,,,,,0.27,,,,,,,,,,,,,,,,,,3660,1464,1464,1464,1464,1464
310,,,,,,,,0.3,,,,,,0.3,,,,,,,,,,,,,,,,,,4470,1788,1788,1788,1788,1788
311,,,,,,,,0.33,,,,,,0.33,,,,,,,,,,,,,,,,,,5345,2138,2138,2138,2138,2138
351,,,,,,,,,0.03,,,,,,,,,,0.03,,,,,,,,,,,,,72,29,29,29,29,29
352,,,,,,,,,0.06,,,,,,,,,,0.06,,,,,,,,,,,,,145,58,58,58,58,58
353,,,,,,,,,0.09,,,,,,,,,,0.09,,,,,,,,,,,,,275,110,110,110,110,110
354,,,,,,,,,0.12,,,,,,,,,,0.12,,,,,,,,,,,,,495,198,198,198,198,198
355,,,,,,,,,0.15,,,,,,,,,,0.15,,,,,,,,,,,,,840,336,336,336,336,336
356,,,,,,,,,0.18,,,,,,,,,,0.18,,,,,,,,,,,,,1342,537,537,537,537,537
357,,,,,,,,,0.21,,,,,,,,,,0.21,,,,,,,,,,,,,2012,805,805,805,805,805
358,,,,,,,,,0.24,,,,,,,,,,0.24,,,,,,,,,,,,,2815,1126,1126,1126,1126,1126
359,,,,,,,,,0.27,,,,,,,,,,0.27,,,,,,,,,,,,,3660,1464,1464,1464,1464,1464
360,,,,,,,,,0.3,,,,,,,,,,0.3,,,,,,,,,,,,,4470,1788,1788,1788,1788,1788
361,,,,,,,,,0.33,,,,,,,,,,0.33,,,,,,,,,,,,,5345,2138,2138,2138,2138,2138
501,500~1000是类型2的携带品,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,72,29,29,29,29,29
502,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,145,58,58,58,58,58
503,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,275,110,110,110,110,110
504,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,495,198,198,198,198,198
505,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,840,336,336,336,336,336
506,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,1342,537,537,537,537,537
507,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,2012,805,805,805,805,805
508,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,2815,1126,1126,1126,1126,1126
509,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,3660,1464,1464,1464,1464,1464
510,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,4470,1788,1788,1788,1788,1788
511,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,5345,2138,2138,2138,2138,2138
551,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,72,29,29,29,29,29
552,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,145,58,58,58,58,58
553,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,275,110,110,110,110,110
554,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,495,198,198,198,198,198
555,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,840,336,336,336,336,336
556,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,1342,537,537,537,537,537
557,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,2012,805,805,805,805,805
558,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,2815,1126,1126,1126,1126,1126
559,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,3660,1464,1464,1464,1464,1464
560,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,4470,1788,1788,1788,1788,1788
561,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,5345,2138,2138,2138,2138,2138
601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,72,29,29,29,29,29
602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,145,58,58,58,58,58
603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,275,110,110,110,110,110
604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,495,198,198,198,198,198
605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,840,336,336,336,336,336
606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,1342,537,537,537,537,537
