携带品ID,携带品资源,携带品名字,效果描述,品质（道具框颜色）,携带品类型,等级,下一级道具,效果引用id,属性ID（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼。。）(;分隔）
number,string,string,string,number,number,number,number,number,string
id,resours,name,desc,quality,type,level,upItems,effectId,attribute
4001,4001,木炭+1,"火,格斗系精灵的携带品,可以增加火,格斗系技能效果威力",1,1,1,4002,1,1;15
4002,4001,木炭+2,"火,格斗系精灵的携带品,可以增加火,格斗系技能效果威力",1,1,2,4003,2,1;15
4003,4001,木炭+3,"火,格斗系精灵的携带品,可以增加火,格斗系技能效果威力",2,1,3,4004,3,1;15
4004,4001,木炭+4,"火,格斗系精灵的携带品,可以增加火,格斗系技能效果威力",2,1,4,4005,4,1;15
4005,4001,木炭+5,"火,格斗系精灵的携带品,可以增加火,格斗系技能效果威力",3,1,5,4006,5,1;15
4006,4001,木炭+6,"火,格斗系精灵的携带品,可以增加火,格斗系技能效果威力",3,1,6,4007,6,1;15
4007,4001,木炭+7,"火,格斗系精灵的携带品,可以增加火,格斗系技能效果威力",4,1,7,4008,7,1;15
4008,4001,木炭+8,"火,格斗系精灵的携带品,可以增加火,格斗系技能效果威力",4,1,8,4009,8,1;15
4009,4001,木炭+9,"火,格斗系精灵的携带品,可以增加火,格斗系技能效果威力",5,1,9,4010,9,1;15
4010,4001,木炭+10,"火,格斗系精灵的携带品,可以增加火,格斗系技能效果威力",5,1,10,4011,10,1;15
4011,4001,木炭+11,"火,格斗系精灵的携带品,可以增加火,格斗系技能效果威力",5,1,11,,11,1;15
4051,4051,水能指环+1,"水,普通系精灵的携带品,可以增加水,普通系技能效果威力",1,1,1,4052,51,2;9
4052,4051,水能指环+2,"水,普通系精灵的携带品,可以增加水,普通系技能效果威力",1,1,2,4053,52,2;9
4053,4051,水能指环+3,"水,普通系精灵的携带品,可以增加水,普通系技能效果威力",2,1,3,4054,53,2;9
4054,4051,水能指环+4,"水,普通系精灵的携带品,可以增加水,普通系技能效果威力",2,1,4,4055,54,2;9
4055,4051,水能指环+5,"水,普通系精灵的携带品,可以增加水,普通系技能效果威力",3,1,5,4056,55,2;9
4056,4051,水能指环+6,"水,普通系精灵的携带品,可以增加水,普通系技能效果威力",3,1,6,4057,56,2;9
4057,4051,水能指环+7,"水,普通系精灵的携带品,可以增加水,普通系技能效果威力",4,1,7,4058,57,2;9
4058,4051,水能指环+8,"水,普通系精灵的携带品,可以增加水,普通系技能效果威力",4,1,8,4059,58,2;9
4059,4051,水能指环+9,"水,普通系精灵的携带品,可以增加水,普通系技能效果威力",5,1,9,4060,59,2;9
4060,4051,水能指环+10,"水,普通系精灵的携带品,可以增加水,普通系技能效果威力",5,1,10,4061,60,2;9
4061,4051,水能指环+11,"水,普通系精灵的携带品,可以增加水,普通系技能效果威力",5,1,11,,61,2;9
4101,4101,奇迹绿叶+1,"草,虫系精灵的携带品,可以增加草,虫系技能效果威力",1,1,1,4102,101,3;11
4102,4101,奇迹绿叶+2,"草,虫系精灵的携带品,可以增加草,虫系技能效果威力",1,1,2,4103,102,3;11
4103,4101,奇迹绿叶+3,"草,虫系精灵的携带品,可以增加草,虫系技能效果威力",2,1,3,4104,103,3;11
4104,4101,奇迹绿叶+4,"草,虫系精灵的携带品,可以增加草,虫系技能效果威力",2,1,4,4105,104,3;11
4105,4101,奇迹绿叶+5,"草,虫系精灵的携带品,可以增加草,虫系技能效果威力",3,1,5,4106,105,3;11
4106,4101,奇迹绿叶+6,"草,虫系精灵的携带品,可以增加草,虫系技能效果威力",3,1,6,4107,106,3;11
4107,4101,奇迹绿叶+7,"草,虫系精灵的携带品,可以增加草,虫系技能效果威力",4,1,7,4108,107,3;11
4108,4101,奇迹绿叶+8,"草,虫系精灵的携带品,可以增加草,虫系技能效果威力",4,1,8,4109,108,3;11
4109,4101,奇迹绿叶+9,"草,虫系精灵的携带品,可以增加草,虫系技能效果威力",5,1,9,4110,109,3;11
4110,4101,奇迹绿叶+10,"草,虫系精灵的携带品,可以增加草,虫系技能效果威力",5,1,10,4111,110,3;11
4111,4101,奇迹绿叶+11,"草,虫系精灵的携带品,可以增加草,虫系技能效果威力",5,1,11,,111,3;11
4151,4151,妖精领结+1,"妖,电,超能系精灵的携带品,可以增加妖,电,超能系技能效果威力",1,1,1,4152,151,4;10;16
4152,4151,妖精领结+2,"妖,电,超能系精灵的携带品,可以增加妖,电,超能系技能效果威力",1,1,2,4153,152,4;10;16
4153,4151,妖精领结+3,"妖,电,超能系精灵的携带品,可以增加妖,电,超能系技能效果威力",2,1,3,4154,153,4;10;16
4154,4151,妖精领结+4,"妖,电,超能系精灵的携带品,可以增加妖,电,超能系技能效果威力",2,1,4,4155,154,4;10;16
4155,4151,妖精领结+5,"妖,电,超能系精灵的携带品,可以增加妖,电,超能系技能效果威力",3,1,5,4156,155,4;10;16
4156,4151,妖精领结+6,"妖,电,超能系精灵的携带品,可以增加妖,电,超能系技能效果威力",3,1,6,4157,156,4;10;16
4157,4151,妖精领结+7,"妖,电,超能系精灵的携带品,可以增加妖,电,超能系技能效果威力",4,1,7,4158,157,4;10;16
4158,4151,妖精领结+8,"妖,电,超能系精灵的携带品,可以增加妖,电,超能系技能效果威力",4,1,8,4159,158,4;10;16
4159,4151,妖精领结+9,"妖,电,超能系精灵的携带品,可以增加妖,电,超能系技能效果威力",5,1,9,4160,159,4;10;16
4160,4151,妖精领结+10,"妖,电,超能系精灵的携带品,可以增加妖,电,超能系技能效果威力",5,1,10,4161,160,4;10;16
4161,4151,妖精领结+11,"妖,电,超能系精灵的携带品,可以增加妖,电,超能系技能效果威力",5,1,11,,161,4;10;16
4201,4201,黑色眼镜+1,"恶,岩石,钢系精灵的携带品,可以增加恶,岩石,钢系技能效果威力",1,1,1,4202,201,5;14;17
4202,4201,黑色眼镜+2,"恶,岩石,钢系精灵的携带品,可以增加恶,岩石,钢系技能效果威力",1,1,2,4203,202,5;14;17
4203,4201,黑色眼镜+3,"恶,岩石,钢系精灵的携带品,可以增加恶,岩石,钢系技能效果威力",2,1,3,4204,203,5;14;17
4204,4201,黑色眼镜+4,"恶,岩石,钢系精灵的携带品,可以增加恶,岩石,钢系技能效果威力",2,1,4,4205,204,5;14;17
4205,4201,黑色眼镜+5,"恶,岩石,钢系精灵的携带品,可以增加恶,岩石,钢系技能效果威力",3,1,5,4206,205,5;14;17
4206,4201,黑色眼镜+6,"恶,岩石,钢系精灵的携带品,可以增加恶,岩石,钢系技能效果威力",3,1,6,4207,206,5;14;17
4207,4201,黑色眼镜+7,"恶,岩石,钢系精灵的携带品,可以增加恶,岩石,钢系技能效果威力",4,1,7,4208,207,5;14;17
4208,4201,黑色眼镜+8,"恶,岩石,钢系精灵的携带品,可以增加恶,岩石,钢系技能效果威力",4,1,8,4209,208,5;14;17
4209,4201,黑色眼镜+9,"恶,岩石,钢系精灵的携带品,可以增加恶,岩石,钢系技能效果威力",5,1,9,4210,209,5;14;17
4210,4201,黑色眼镜+10,"恶,岩石,钢系精灵的携带品,可以增加恶,岩石,钢系技能效果威力",5,1,10,4211,210,5;14;17
4211,4201,黑色眼镜+11,"恶,岩石,钢系精灵的携带品,可以增加恶,岩石,钢系技能效果威力",5,1,11,,211,5;14;17
4251,4251,龙之牙+1,"龙,飞行系精灵的携带品,可以增加龙,飞行系技能效果威力",1,1,1,4252,251,6;12
4252,4251,龙之牙+2,"龙,飞行系精灵的携带品,可以增加龙,飞行系技能效果威力",1,1,2,4253,252,6;12
4253,4251,龙之牙+3,"龙,飞行系精灵的携带品,可以增加龙,飞行系技能效果威力",2,1,3,4254,253,6;12
4254,4251,龙之牙+4,"龙,飞行系精灵的携带品,可以增加龙,飞行系技能效果威力",2,1,4,4255,254,6;12
