组合ID,排序值（小的在前面；激活的组合都排在未激活组合的前面；玩家看自己激活的组合时不用一直往下翻）,"上阵宝可梦ID（只加上阵,只在战斗里边加）",组合名称,组合属性id,备注（程序不读）
number,number,string,string,number,
id,sort,elfId,comboName,effectId,
1,1,1025;1133,双子萌神,10034,皮卡丘 伊布
2,2,1003;1071;1012;1045,绿色军团,10001,妙蛙 大食花  巴大蝴  霸王花
3,3,1006;1059;1057;1038,赤影战士,10002,火龙 风速狗  火爆猴  九尾    
4,4,1009;1073;1119;1099,皇都水军,10003,水龟 毒刺水母  金鱼王  巨钳蟹
5,5,1134;1121;1230,精英水军,10004,水伊布 宝石海星 刺龙王
6,6,1136;1078;1229,火辣上演,10005,火伊布 烈焰马 黑鲁加
7,7,1196;1105;1330,太阳崇拜,10006,太阳伊布 嘎拉嘎拉  沙漠蜻蜓
8,8,1197;1359;1154,暗月降临,10007,月亮伊布 阿勃梭鲁 索罗亚克
9,9,1470;1114;1103,环保主义,10008,叶伊布 蔓藤怪 椰蛋树
10,10,1471;1091;1460,绝对零度,10009,冰伊布 铁甲贝 暴雪王
11,11,1991;1094;1356,万圣派对,10010,鬼伊布 耿鬼 彷徨夜灵
12,12,1135;1124;1549,偶像派,10011,仙子伊布 迷唇姐 裙儿小姐
13,13,1244;1003;1992,强势登场,10012,炎帝 妙蛙 阿罗拉雷丘
14,14,1245;1006;1323,强势登场,10013,水君 喷火 喷火驼
15,15,1243;1009;1319,强势登场,10014,雷公 水龟 蚊香蛙皇
16,16,1146;1038;1448,烈焰之影,10015,火焰鸟  九尾   路卡利欧
17,17,1144;1984;1699,寒霜之影,10016,急冻鸟  冰九尾 冰龙
18,18,1145;1026;1466,闪电之影,10017,闪电鸟  雷丘   电击魔兽
19,19,1018;1630;1042;1049;1022;1581,空战部队,10018,大比比鸟 秃鹰娜   大嘴蝠  摩鲁蛾  舞天鹅
20,20,1034;1031,同心协力,10019,尼多王 尼多后
21,21,1143;1242,安全第一,10020,卡比兽 幸福蛋
22,22,1065;1143;1062;1057,嘻游记,10021,胡地 卡比兽 火爆猴 快泳蛙
23,23,1208;1076,坚硬无比,10022,大钢蛇 隆隆岩
24,24,1199;1463;1040,三小胖,10023,呆呆王 大舌舔   胖可丁
25,25,1142;1131,双龙会,10024,化石翼龙 乘龙
26,26,1127;1214,犄角对决,10025,凯罗斯 赫拉克罗斯
27,27,1135;1359,万人迷,10026,仙子 阿勃梭鲁
28,28,1380;1381,相依相伴,10031,拉帝亚斯 拉帝欧斯
29,29,1144;1145;1146,三神鸟,10032,急冻鸟 闪电鸟 火焰鸟
30,30,1243;1244;1245,三神兽,10033,雷公 炎帝 水君
