宝可梦等级,升下一级所需经验,消耗金币
number,number,number
level,exp,money
1,1000,300
2,2000,600
3,3100,900
4,4300,1200
5,5600,1500
6,7100,1800
7,8700,2100
8,10600,2400
9,12700,2700
10,15100,6000
11,17800,6600
12,20800,7200
13,24100,7800
14,27900,8400
15,32100,9000
16,36800,9600
17,41900,10200
18,47500,10800
19,53700,11400
20,60500,18000
21,67800,18900
22,75800,19800
23,84400,20700
24,93800,21600
25,103900,22500
26,114700,23400
27,126300,24300
28,138700,25200
29,151900,26100
30,166100,63000
31,181100,65100
32,197100,67200
33,214000,69300
34,231900,71400
35,250900,73500
36,270900,75600
37,291900,77700
38,314100,79800
39,337400,81900
40,362000,195000
41,387700,199875
42,414600,204750
43,442800,209625
44,472300,214500
45,503100,219375
46,535300,224250
47,568800,229125
48,603800,234000
49,640200,238875
50,828100,472500
51,877800,481950
52,929500,491400
53,983100,500850
54,1038800,510300
55,1096500,519750
56,1156400,529200
57,1681300,538650
58,1770300,548100
59,1862300,557550
60,1957500,976500
61,2055800,992775
62,2157400,1009050
63,2262300,1025325
64,2370500,1041600
65,2482100,1057875
66,2597200,1074150
67,2715800,1090425
68,2837900,1106700
69,2963700,1122975
70,3093100,1806000
71,3226200,1831800
72,3363100,1857600
73,3503800,1883400
74,3648300,1909200
75,3796800,1935000
76,3949300,1960800
77,4105800,1986600
78,4266400,2012400
79,4431100,2038200
80,4600000,3078000
81,4773100,3116475
82,4950500,3154950
83,5132300,3193425
84,5318400,3231900
85,5509000,3270375
86,5704100,3308850
87,5903800,3347325
88,6108000,3385800
89,6316900,3424275
90,6530600,4927500
91,6749000,4982250
92,6972200,5037000
93,7200200,5091750
94,7433200,5146500
95,7671200,5201250
96,7914200,5256000
97,8162300,5310750
98,8415500,5365500
99,8673800,5420250
100,10100000,7507500
101,10405000,7582575
102,10716100,7657650
103,11033300,7732725
104,11356800,7807800
105,11686500,7882875
106,12022500,7957950
107,12364900,8033025
108,12713700,8108100
109,13069100,8183175
110,13431000,10989000
111,13799500,11088900
112,14174700,11188800
113,14556600,11288700
114,14945400,11388600
115,15341000,11488500
116,15743500,11588400
117,16153000,11688300
118,16569500,11788200
119,16993200,11888100
120,0,0
