宝可梦亲密度等级,升下一级所需亲密度,本级命中（转化成%显示）,本级的闪避（转化成%显示）,本级的暴击率（转化成%显示）
number,number,float,float,float
level,exp,hit,evade,critChance
1,300,0.005,0.005,0.005
2,320,0.006,0.006,0.006
3,350,0.007,0.007,0.007
4,400,0.008,0.008,0.008
5,470,0.009,0.009,0.009
6,550,0.01,0.01,0.01
7,640,0.011,0.011,0.011
8,760,0.012,0.012,0.012
9,890,0.013,0.013,0.013
10,1030,0.014,0.014,0.014
11,1200,0.015,0.015,0.015
12,1380,0.016,0.016,0.016
13,1580,0.017,0.017,0.017
14,1800,0.018,0.018,0.018
15,2030,0.019,0.019,0.019
16,2280,0.02,0.02,0.02
17,2560,0.021,0.021,0.021
18,2850,0.022,0.022,0.022
19,3150,0.023,0.023,0.023
20,3480,0.024,0.024,0.024
21,3830,0.025,0.025,0.025
22,4190,0.026,0.026,0.026
23,4580,0.027,0.027,0.027
24,4980,0.028,0.028,0.028
25,5400,0.029,0.029,0.029
26,5840,0.03,0.03,0.03
27,6300,0.031,0.031,0.031
28,6780,0.032,0.032,0.032
29,7280,0.033,0.033,0.033
30,7800,0.034,0.034,0.034
31,8340,0.035,0.035,0.035
32,8900,0.036,0.036,0.036
33,9470,0.037,0.037,0.037
34,10070,0.038,0.038,0.038
35,10690,0.039,0.039,0.039
36,11330,0.04,0.04,0.04
37,11990,0.041,0.041,0.041
38,12660,0.042,0.042,0.042
39,13370,0.043,0.043,0.043
40,14080,0.044,0.044,0.044
41,14820,0.045,0.045,0.045
42,15580,0.046,0.046,0.046
43,16370,0.047,0.047,0.047
44,17170,0.048,0.048,0.048
45,17990,0.049,0.049,0.049
46,18830,0.05,0.05,0.05
47,19700,0.051,0.051,0.051
48,20580,0.052,0.052,0.052
49,21490,0.053,0.053,0.053
50,22410,0.054,0.054,0.054
51,23360,0.055,0.055,0.055
52,24330,0.056,0.056,0.056
53,25320,0.057,0.057,0.057
54,26330,0.058,0.058,0.058
55,27360,0.059,0.059,0.059
56,28420,0.06,0.06,0.06
57,29490,0.061,0.061,0.061
58,30590,0.062,0.062,0.062
59,31710,0.063,0.063,0.063
60,32850,0.064,0.064,0.064
61,34010,0.065,0.065,0.065
62,35190,0.066,0.066,0.066
63,36400,0.067,0.067,0.067
64,37620,0.068,0.068,0.068
65,38870,0.069,0.069,0.069
66,40140,0.07,0.07,0.07
67,41430,0.071,0.071,0.071
68,42750,0.072,0.072,0.072
69,44080,0.073,0.073,0.073
70,45440,0.074,0.074,0.074
71,46820,0.075,0.075,0.075
72,48220,0.076,0.076,0.076
73,49650,0.077,0.077,0.077
74,51090,0.078,0.078,0.078
75,52560,0.079,0.079,0.079
76,54050,0.08,0.08,0.08
77,55560,0.081,0.081,0.081
78,57090,0.082,0.082,0.082
79,58650,0.083,0.083,0.083
80,60230,0.084,0.084,0.084
81,61830,0.085,0.085,0.085
82,63460,0.086,0.086,0.086
83,65100,0.087,0.087,0.087
84,66780,0.088,0.088,0.088
85,68470,0.089,0.089,0.089
86,70180,0.09,0.09,0.09
87,71920,0.091,0.091,0.091
88,73680,0.092,0.092,0.092
89,75460,0.093,0.093,0.093
90,77270,0.094,0.094,0.094
91,79100,0.095,0.095,0.095
92,80940,0.096,0.096,0.096
93,82820,0.097,0.097,0.097
94,84720,0.098,0.098,0.098
95,86640,0.099,0.099,0.099
96,88580,0.1,0.1,0.1
97,90540,0.101,0.101,0.101
98,92530,0.102,0.102,0.102
99,94540,0.103,0.103,0.103
100,0,0.104,0.104,0.104
