努力值等级,每个属性上限,升阶所需努力值比例（当前总努力值/总努力值上限）,升阶所需星级,下一阶等级,下一阶等级消耗,消耗本体
number,number,number,number,number,string,number
level,everyValueLimit,ttSeerValue,LimitStar,nextLv,nextcost,elfCost
0,30,144,1,1,2;100,0
1,60,288,2,2,2;200,0
2,100,480,2,3,2;400,1
3,200,960,3,4,2;600,0
4,300,1440,3,5,2;800,0
5,400,1920,4,6,2;1000,1
6,500,2400,4,7,2;1200,0
7,600,2880,5,8,2;1400,0
8,700,3360,5,9,2;1600,1
9,800,3840,6,10,2;1800,0
10,900,4320,6,11,2;2000,0
11,1000,4800,7,12,2;2200,1
12,1100,5280,7,13,2;2400,0
13,1200,5760,8,14,2;2600,0
14,1300,6240,8,15,2;2800,1
15,1400,,,,,
