技能,技能图标,技能名字,注释,注释2,伤害类型（默认0.物理伤害 1.特殊伤害 ）,技能分类（1:单体伤害，2：群体伤害，3：单体治疗，4：群体治疗，5：变化，6弹射，7连击）,威力,命中,技能能量,属性ID（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼 9.普通 10.电 11.虫 12.飞行 13.地面 14.岩石 15.格斗 16.超能 17.钢系 18.毒,技能描述,效果注释（不用处理，策划看）,触发效果(|分割),"作用对象(0.全体,1.目标,2.目标方全体,3.目标方随机单体,4.目标方1人+随机1人，5目标方1人+随机2人，6.目标方1人+随机3人，7目标放1人+随机4人.8.连击1次，9连击2次.10连击3次.11.释放者,12.释放者方全体,13.释放者方随机单体,14.释放者方目标单体 其它.特殊规则待扩展)",蓄力动画,释放时播放在释放者身上的特效资源（群体特效）,释放时从释放者飞向目标的特效资源,释放后播放在目标身上的特效资源，若有resFly，则需要飞行特效飞行到目标身上后播放此特效（单体特效）,"抖屏(0:抖,1:不抖)",释放后的音效资源,释放后技能背景资源,释放后出技能名,每场战斗使用次数限制,"是否预览（1是,2否）"
number,string,string,string,string,number,number,number,double,number,number,string,string,string,number,number,number,number,number,number,string,number,number,number,number
id,Icon,name,zhishi1,zhishi2,DamageType,skillType,damage,hit,ex,attribute,desc,zhushi3,effect,target,resGather,resFire,resFly,resBoom,shakeBg,voice,blackBg,showBg,frequencyLimit,preview
1,1,火轮,特初单,灼伤,1,1,70,1,15,1,"喷射小型火焰攻击敌方1人,50%的几率烧伤敌人1回合",,10111,1,,,7,8,1,Skillhuo01,,1,,2
2,2,火焰漩涡,特中单,灼伤,1,1,115,1,40,1,"喷射炎热火焰攻击敌方1人,70%的几率烧伤敌人1回合",,10112,1,5,,12,8,1,huo,,1,,2
3,3,圣之火,特高单,灼伤,1,1,160,1,60,1,"喷射爆炸火焰攻击敌方1人,90%几率会烧伤敌人2回合",,10113,1,5,,11,9,0,Skillbaozha02,,1,,2
21,21,火花,特初群,灼伤,1,2,45,1,20,1,"喷射范围型的小型火焰攻击3个敌人,10%几率会烧伤敌人2回合",,10101,5,,,7,18,1,huo,,1,,2
22,22,喷射火焰,特中群,灼伤,1,2,60,1,40,1,"喷射范围型的炙热火焰攻击3个敌人,20%几率会烧伤敌人2回合",,10102,5,5,7,,18,1,Skillbaozha02,,1,,2
23,23,大字爆,特高群,灼伤,1,2,75,1,65,1,"喷射大字形状火焰攻击4个敌人,30%几率会烧伤敌人2回合",,10103,6,5,2,,18,0,Skillhuo03,3,1,,2
41,41,炎爪,普初单,灼伤,0,1,70,1,15,1,"用带着火焰的利爪攻击敌方1人,50%的几率烧伤敌人1回合",,10111,1,,,,13,1,huo,,1,,2
42,42,火焰拳,普中单,灼伤,0,1,115,1,40,1,"用火焰的拳头攻击敌方1人,70%的几率烧伤敌人1回合",,10112,1,5,,,22,1,huo,,1,,2
43,43,爆裂拳,普高单,灼伤,0,1,160,1,60,1,"用毁灭一切力量的拳头攻击敌方1人,90%几率会烧伤敌人2回合",,10113,1,5,,5,23,0,Skillhuo03,,1,,2
61,61,火焰切,普初群,灼伤,0,2,45,1,20,1,"用爪子在敌人身上画出十字火光,攻击3个敌人,10%几率会烧伤敌人2回合",,10101,5,,,6,15,1,Skillhuo01,,1,,2
62,62,烈焰碎石,普中群,降低物攻,0,2,60,1,40,1,"用能粉碎岩石的爪子对敌人进行疯狂攻击,攻击3个敌人,10%几率会降低敌人物防10%2回合",,512,5,5,14,,8,1,Skillbaozha02,,1,,2
63,63,地狱飞踢,普高群,降低物防,0,2,75,1,65,1,"用地狱火焰的脚飞踢4个敌人,15%几率会降低敌人物防10%2回合",,513,6,5,15,,9,0,Skillbaozha03,,1,,2
64,64,闪焰冲锋,普中单,烧伤，自身遭到伤害,0,1,135,1,50,1,"攻击敌方单体,有50%的概率附加灼伤3回合,自身受到自身物攻值的8%的伤害",,13201|13202,1,5,,,55,1,Skillbaozha02,,1,,2
65,65,蓄能焰袭,普高单,"速度增加3%,可叠加",0,1,150,1,70,1,"攻击敌方单体,战斗结束前,提升友方全体速度10%,不可叠加",,13211,1,5,,,56,0,Skillbaozha03,,1,,2
66,66,高温重压,普高群,全体烧伤，并普攻的真实伤害,0,2,85,1,70,1,"攻击敌方3人,1回合后灼伤敌方全体3回合,对敌方全体造成自身普攻值5%的伤害,降低自身双防和速度20%5回合",,13221|13222|13225,5,5,41,,,0,Skillhuo02,,1,,2
67,67,烈焰焚情,特中单,每回合概率混乱，2回合后双攻降低,1,1,95,1,45,1,"攻击敌方单体,目标在3回合内,每回合有10%概率被混乱,混乱持续1回合,在3回合后目标降低双攻20%,持续2回合",,13231,1,5,,,57,1,Skillhuo03,,1,,2
68,68,烈焰溅射,特高单,当前攻击暴率增加。命中，速度增加,1,1,150,1,70,1,"攻击敌方单体,有极大概率造成暴击,并且提升自身命中20%和速度20%,1回合",,13241|13242,1,5,,,58,0,Skillhuo01,,1,,2
