天赋库ID（关联宝可梦的天赋库ID字段）,等级要求（到达了对应等级能解锁3个天赋，玩家可以3选1）,"可学习内容（主动技能ID对应宝可梦技能表，被动技能ID对应特性表，主动技能的格式为1；skillID，被动技能的格式为2；skillID; 等级(可不填,默认0)，每层都有3个，总体格式为：skilltypeID;skillID|skilltypeID;skillID|skilltypeID;skillID）",解锁消耗(道具ID;数量),克制伤害加成（此克制系数，与常量表中克制系数相加）,种族值加成,消耗宠物数量（0为不消耗）
number,number,string,string,double,number,number
talentGroupId,askLv,talentIdArray,costItem,counterDamageAddStar,alladd,count
1001,20,3;900201|3;900401|3;900001,1;200000|12103;20|6;200,0.01,1,0
1001,25,1;1164006|1;1094006|1;4184506,1;500000|12103;50|6;500,0.02,1,0
1001,30,2;1055|2;1019|2;1043,1;1000000|12103;90|6;1000,0.03,2,0
1002,20,3;900201|3;900401|3;900001,1;200000|12103;20|6;200,0.01,1,0
1002,25,1;1164006|1;1094006|1;4184506,1;500000|12103;50|6;500,0.02,1,0
1002,30,2;1055;1|2;1019;1|2;1043;1,1;1000000|12103;90|6;1000,0.03,2,0
1002,35,3;900203|3;900403|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1003,20,3;900201|3;900401|3;900001,1;200000|12103;20|6;200,0.01,1,0
1003,25,1;1164006|1;1094006|1;4184506,1;500000|12103;50|6;500,0.02,1,0
1003,30,2;1055;2|2;1019;2|2;1043;2,1;1000000|12103;90|6;1000,0.03,2,0
1003,35,3;900203|3;900403|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1003,40,1;1166008|1;1092008|1;2186008,1;5000000|12103;220|6;5000,0.08,3,1
1004,20,3;900201|3;900401|3;900001,1;200000|12101;20|6;200,0.01,1,0
1004,25,1;2063006|1;4094506|1;4124006,1;500000|12101;50|6;500,0.02,1,0
1004,30,2;1003|2;1020|2;1027,1;1000000|12101;90|6;1000,0.03,2,0
1005,20,3;900201|3;900401|3;900001,1;200000|12101;20|6;200,0.01,1,0
1005,25,1;2063006|1;4094506|1;4124006,1;500000|12101;50|6;500,0.02,1,0
1005,30,2;1003;1|2;1020;1|2;1027;1,1;1000000|12101;90|6;1000,0.03,2,0
1005,35,3;900203|3;900403|3;900504,1;2000000|12101;150|6;2000,0.04,2,0
1006,20,3;900201|3;900401|3;900001,1;200000|12101;20|6;200,0.01,1,0
1006,25,1;2063006|1;4094506|1;4124006,1;500000|12101;50|6;500,0.02,1,0
1006,30,2;1003;2|2;1020;2|2;1027;2,1;1000000|12101;90|6;1000,0.03,2,0
1006,35,3;900203|3;900403|3;900504,1;2000000|12101;150|6;2000,0.04,2,0
1006,40,1;2068008|1;2097508|1;2018508,1;5000000|12101;220|6;5000,0.08,3,1
1007,20,3;900201|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1007,25,1;2153006|1;4095506|1;2025006,1;500000|12102;50|6;500,0.02,1,0
1007,30,2;1010|2;1017|2;1042,1;1000000|12102;90|6;1000,0.03,2,0
1008,20,3;900201|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
