性格ID,图标,性格名字,物攻,特攻,物防,特防,速度
number,string,string,double,double,double,double,double
id,icon,name,atk,atkSp,def,defSp,spe
1,,努力,,,,,
2,,孤独,0.1,,-0.1,,
3,,勇敢,0.1,,,,-0.1
4,,固执,0.1,-0.1,,,
5,,调皮,0.1,,,-0.1,
6,,大胆,-0.1,,0.1,,
7,,直率,,,,,
8,,悠闲,,,0.1,,-0.1
9,,淘气,,-0.1,0.1,,
10,,乐天,,,0.1,-0.1,
11,,胆小,-0.1,,,,0.1
12,,急躁,,,-0.1,,0.1
13,,认真,,,,,
14,,开朗,,-0.1,,,0.1
15,,天真,,,,-0.1,0.1
16,,保守,-0.1,0.1,,,
17,,稳重,,0.1,-0.1,,
18,,冷静,,0.1,,,-0.1
19,,害羞,,,,,
20,,马虎,,0.1,,-0.1,
21,,沉着,-0.1,,,0.1,
22,,温顺,,,-0.1,0.1,
23,,狂妄,,,,0.1,-0.1
24,,慎重,,-0.1,,0.1,
25,,浮躁,,,,,
