宝可梦ID,上阵ID,宝可梦名字,宝可梦描述,特性ID,升23456789星消耗道具（道具id；数量分隔）,努力值升阶道具需求（从1升2起，0升1不需要）,技能(技能编号;技能学习等级|技能编号;技能学习等级),血量种族值,物攻种族值,物防种族值,特攻种族值,特防种族值,速度种族值,种族值总和,属性ID（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼 9.普通 10.电 11.虫 12.飞行 13.地面 14.岩石 15.格斗 16.超能 17.钢 18.毒）,副属性（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼 9.普通 10.电 11.虫 12.飞行 13.地面 14.岩石 15.格斗 16.超能 17.钢 18.毒）,品级,稀有星数, 稀有度（最低1，最高100）,进化所需等级,进化所需亲密度等级,进化所需道具,进化前的宝可梦ID,不可进化（0否，1是，默认0）,进化后的宝可梦ID,进化所需货币,特殊进化所需等级(|分隔）,特殊进化所需亲密度等级(|分隔）,特殊进化所需道具(道具id;道具数量|第二个道具id;道具数量:另一个宝可梦进化所需…   ';'分隔id和数量'|'分隔不同的道具':'分隔不同的宝可梦需求）,特殊进化后的宝可梦ID(|分隔）,特殊进化所需货币(；分隔道具id和数量 |分隔不同的宝可梦需求）,升星可用宝可梦,可学习的天赋树,可学习的技能机器id(系ID|系ID),可升最高星数(最高到达星数）,可超进阶的用1,宝可萌声音,孵化时间（单位：分钟）,碎片需求数量,合成消耗金币,宝可萌星级加成,图鉴显示(0不显示，1显示，默认0),默认精灵球
number,number,string,string,number,string,string,string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,string,number,number,number,string,string,string,string,string,string,string,number,string,number,number,string,number,string,number,string,number,number
id,battleId,name,drc,ability,starUpCost,seerValueCost,skill,hp,atk,def,atkSp,defSp,spe,all,attribute,attribute2,quality,rarityStar,rarity,upLv,upLoveLv,upItem,downElf,sotpGrow,upElf,upPrice,upLvSp,upLoveLvSp,upItemSp,upElfSp,upPriceSp,starPokemon,talentGroupId,learnSkill,starCan,advance,voice,hatch,debrisNeed,CostMoney,abliUp,showBook,ballID
1001,1,妙蛙种子,在阳光的照耀下种子慢慢生长,1,601003;10|601003;20|601003;30|601003;40|601003;50|601003;60|601003;70|601003;80,601003;10|601003;20|601003;30|601003;30|601003;30|601003;50|601003;50|601003;50|601003;70|601003;70|601003;70|601003;90|601003;90|601003;90,1032502;1|4184003;3|3036505;20|3000105;30,45,49,49,65,65,45,318,3,18,2,5,50,1,1,12151;100,,,1002,1;100000,,,,,,,1001,3|18|9,9,,1001,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1002,2,妙蛙草,在阳光的照耀下种子慢慢生长,1,601003;10|601003;20|601003;30|601003;40|601003;50|601003;60|601003;70|601003;80,601003;10|601003;20|601003;30|601003;30|601003;30|601003;50|601003;50|601003;50|601003;70|601003;70|601003;70|601003;90|601003;90|601003;90,1032503;1|4184004;3|3036506;20|3000106;30,60,62,63,80,80,60,405,3,18,3,5,70,26,8,12151;300|12152;85|12103;280|12129;50,1001,,1003,1;1000000,,,,,,,1002,3|18|9,9,,1002,600,601002;80,1200000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1003,3,妙蛙花,花的香气让人心情好,91,601003;10|601003;20|601003;30|601003;40|601003;50|601003;60|601003;70|601003;80,601003;10|601003;20|601003;30|601003;30|601003;30|601003;50|601003;50|601003;50|601003;70|601003;70|601003;70|601003;90|601003;90|601003;90,1032504;1|4184005;3|3036507;20|3000107;30,80,82,83,100,100,80,525,3,18,4,5,100,,,,1002,,,,50|50,33|33,12111;1000|12129;500|601003;100:12111;1000|12108;500|601003;100,301003|311008,1;10000000|1;10000000,,1003,3|18|9,9,,1003,4320,601003;140,2100000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1004,4,小火龙,用尾巴的火焰表达心情,2,601006;10|601006;20|601006;30|601006;40|601006;50|601006;60|601006;70|601006;80,601006;10|601006;20|601006;30|601006;30|601006;30|601006;50|601006;50|601006;50|601006;70|601006;70|601006;70|601006;90|601006;90|601006;90,1012502;1|3064003;3|4016505;20,39,52,43,60,50,65,309,1,,2,5,50,1,1,12151;100,,,1005,1;100000,,,,,,,1004,1||9,9,,1004,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1005,5,火恐龙,转动尾巴点燃火焰，能让周围温度上升,2,601006;10|601006;20|601006;30|601006;40|601006;50|601006;60|601006;70|601006;80,601006;10|601006;20|601006;30|601006;30|601006;30|601006;50|601006;50|601006;50|601006;70|601006;70|601006;70|601006;90|601006;90|601006;90,1012503;1|3064004;3|4016506;20,58,64,58,80,65,80,405,1,,3,5,70,26,8,12151;300|12152;85|12101;280,1004,,1006,1;1000000,,,,,,,1005,1||9,9,,1005,600,601005;80,1200000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1006,6,喷火龙,吐出的高温火焰可以烧化岩石,81,601006;10|601006;20|601006;30|601006;40|601006;50|601006;60|601006;70|601006;80,601006;10|601006;20|601006;30|601006;30|601006;30|601006;50|601006;50|601006;50|601006;70|601006;70|601006;70|601006;90|601006;90|601006;90,1012504;1|3064005;3|4016507;20,78,84,78,109,85,100,534,1,12,4,5,100,,,,1005,,,,50|50,33|33,12111;1000|12106;500|601006;100:12111;1000|12101;500|601006;100,301006|311006,1;10000000|1;10000000,,1006,1|12|9,9,,1006,4320,601006;140,2100000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1007,7,杰尼龟,身体有坚硬的外壳，可以发出强烈的泡沫,3,601009;10|601009;20|601009;30|601009;40|601009;50|601009;60|601009;70|601009;80,601009;10|601009;20|601009;30|601009;30|601009;30|601009;50|601009;50|601009;50|601009;70|601009;70|601009;70|601009;90|601009;90|601009;90,1022502;1|4026503;3|2023505;20,44,48,65,50,64,43,314,2,,2,5,50,1,1,12151;100,,,1008,1;100000,,,,,,,1007,2||9,9,,1007,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1008,8,卡咪龟,隐藏在水中等待实物，有用速度很快,3,601009;10|601009;20|601009;30|601009;40|601009;50|601009;60|601009;70|601009;80,601009;10|601009;20|601009;30|601009;30|601009;30|601009;50|601009;50|601009;50|601009;70|601009;70|601009;70|601009;90|601009;90|601009;90,1022503;1|4026504;3|2023506;20,59,63,80,65,80,58,405,2,,3,5,70,26,8,12151;300|12152;85|12102;280,1007,,1009,1;1000000,,,,,,,1008,2||9,9,,1008,600,601008;80,1200000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
