自增长ID(按这个排序),充值金额大于等于该值获得抽奖次数,人数(人数|人数),道具（id;数量|id;数量）
number,number,number,string
ID,doses,population,Item
1,0,15,13001;1|1;100000|12151;20
2,6,15,12152;5|1;200000|10089;5
3,30,15,10012;5|12152;10|10089;10
4,0,30,13001;1|1;200000|12151;40
5,6,30,12152;10|1;300000|10089;10
6,30,30,10012;5|12152;15|10089;15
7,0,40,13001;2|1;300000|12151;50
8,6,40,12152;15|1;400000|10089;15
9,30,40,10012;20|12152;20|10089;20
10,0,60,13001;3|1;400000|12151;80
11,6,60,12152;20|1;500000|10089;25
12,30,60,10012;30|12152;25|10089;30
