id,注释,等级,图片资源名,"挑转的界面(1:挂机界面,2:精灵界面,3:扭蛋,4:竞技场,5:特殊副本,6:通天塔,7:商店,8:狩猎区,9:主城,10:背包,11:公会,12,角色购买界面,13:活动,14:神兽商店,15:充值,16:任务,17:玩家信息,18:vip,19:称号,20:徽章,21:邮件,22:地图选择,23:聊天,24:好友,25:排行榜,26:培养,27:技能,28:性格,29:图鉴,30:装备,31:队形，32:背包,33:升星,34:确认,35:宝可梦详情,36:快速战斗,37:签到，38：推荐 39：战斗 40：秘境 41：队伍升级 42:亲密度,43:进化,44:努力值,45:个体值,46：人物装备 47:公告 48：人物翅膀 49:跟随 50：分享 51：宠物商店 52:金币副本 53：经验副本 54：亲密度副本 55：努力值副本 56：徽章副本 57：技能商店 58：复仇 59:扭蛋确认面板 60：神秘商店 63:助阵精灵 64:日常任务 65：精灵大赛 66：精灵组合 67：图鉴属性 69：家园 70：精灵蛋 81：丰缘地区 666：挖矿)",点击时給的奖励(道具id；道具数量|道具id；道具数量）,前往描述界面（需要颜色）
number,string,number,number,number,string,string
id,zhushi,lv,picture,panel,getItems,text
1,任务,5,35,1,,任务系统开启了，赶紧去完成任务拿奖励吧~
2,进化,7,1,1,12151;100,精灵进化开启了，进化后改变精灵品质和外观！
3,商店,10,2,1,,商店功能开启了，去看看有什么需要的吧！
4,竞技场,13,3,1,,竞技场功能开启了，和其他召唤师争夺高排名吧！
5,狩猎区（初，中）,15,6,1,1;240000|2;800,狩猎区功能开启了，这里可以捕获到你需要的稀有精灵！
6,战斗地铁,18,37,1,,战斗地铁开启了，通过战斗地铁可以开启道馆战和世界精灵大赛！
7,特殊副本（经验、亲密、进化）,23,32,1,,特殊副本功能开启了，有大量的资源产出哦！
8,升星,24,9,1,6;300,精灵升星开启了，升星可以增加精灵的六维属性和特性效果~
9,排行榜,24,10,25,,排行榜开启了，去看看吧~
10,特殊副本（徽章、努力、金币）,29,32,1,,特殊副本新的副本开启了，去看看吧~
11,公会,30,25,1,,公会开启了，和其他人一起建设属于自己的公会吧~
12,头饰,35,18,1,12401;100,人物头饰开启了，头饰可以让你变得更漂亮！
13,翅膀,38,21,1,12400;100,玩家的翅膀开启了，去穿戴上你喜欢的翅膀吧~
14,助阵,40,28,1,,助阵功能开启了，精灵的互助可以增加战斗精灵的大量属性~
15,地底挑战,45,33,1,,地底挑战功能开启了，登顶是所有训练师的梦想~
16,阵型,45,15,1,13031;10,精灵阵型开启了，每个阵型有不同的作用哦！
17,挖矿,55,22,666,,挖矿功能开启了，有你需要的资源和宝藏哦~
18,装备强化,55,23,1,12503;10,人物装备强化开启了，强化它提升自己战斗力吧~
19,附魔,58,26,1,12500;4,人物装备附魔开启了，可以大幅度提升战斗力哦~
20,秘境,60,17,40,,秘境功能开启了，去探险下吧~
21,家园,70,8,1,14001;1,终于有自己的家了，自制家具，特殊感觉，赶紧开始吧~
