家具等级,"基础值提升的百分比（当前等级的基础属性=家具1级基础属性+家具1级基础属性*X,初始等级属性为家具表里的效果id属性)","附加值提升的百分比（当前等级的附加属性=家具1级附加属性+家具1级附加属性*X,初始等级附加属性为随机出来的附加属性值)",升下1级所需道具数（道具id;道具数|道具id;道具数)
number,double,double,string
ID,basicUp,extraUp,upItem
1,0,0,13051;100|13052;50
2,0.35,0.35,13051;150|13052;75
3,0.7,0.7,13051;200|13052;100
4,1.05,1.05,13051;250|13052;125
5,1.4,1.4,13051;300|13052;150
6,1.75,1.75,13051;400|13052;200
7,2.1,2.1,13051;500|13052;250
8,2.45,2.45,13051;600|13052;300
9,2.8,2.8,13051;700|13052;350
10,3.15,3.15,13051;800|13052;400
11,3.5,3.5,13051;950|13052;475
12,3.85,3.85,13051;1100|13052;550
13,4.2,4.2,13051;1250|13052;625
14,4.55,4.55,13051;1400|13052;700
15,4.9,4.9,13051;1550|13052;775
16,5.25,5.25,13051;1750|13052;875
17,5.6,5.6,13051;1950|13052;975
18,5.95,5.95,13051;2150|13052;1075
19,6.3,6.3,13051;2350|13052;1175
20,6.65,6.65,13051;2550|13052;1275
21,7,7,
