自增长ID(代表每个月的第几天),助阵宝可梦ID(这一天是什么宝可梦，宝可梦等级将等于玩家角色等级),可助阵次数(每天0点重置置该次数),等级限制,固定血量值,血量个体值,物攻个体值,特攻个体值,物防个体值,特防个体值,速度个体值,血量努力值,物攻努力值,特攻努力值,物防努力值,特防努力值,速度努力值,亲密度等级,星级
number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
ID,elfID,count,askLV,HPFixation,HpIndiv,AtkIndiv,DefIndiv,AtkSpIndiv,DefSpIndiv,SpeIndiv,HpBase,AtkBase,DefBase,AtkSpBase,DefSpBase,SpeBase,LoveLevel,star
1,301003,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
2,301006,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
3,301009,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
4,301094,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
5,301130,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
6,311006,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
7,301115,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
8,301009,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
9,301094,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
10,301130,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
11,311006,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
12,301115,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
13,301003,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
14,301006,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
15,301009,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
16,301094,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
17,301130,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
18,311006,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
19,301115,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
20,301003,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
21,301006,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
22,301009,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
23,301094,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
24,301130,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
25,311006,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
26,301115,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
27,301003,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
28,301006,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
29,301009,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
30,301094,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
31,301130,1,1,500000,200,200,200,200,200,200,200,200,200,200,200,200,20,10
