道馆名望等级（最高100级),升下一级所需经验,对应收益（装备效果ID）,对应转盘类型
number,number,number,number
level,ex,effectID,wofType
1,2500,4000,1
2,2700,4001,1
3,3300,4002,1
4,4300,4003,1
5,5700,4004,1
6,7500,4005,1
7,9700,4006,1
8,12300,4007,1
9,15300,4008,1
10,18700,4009,1
11,22500,4010,1
12,26700,4011,1
13,31300,4012,1
14,36300,4013,1
15,41700,4014,1
16,47500,4015,1
17,53700,4016,1
18,60300,4017,1
19,67300,4018,1
20,74700,4019,1
21,82500,4020,2
22,90700,4021,2
23,99300,4022,2
24,108300,4023,2
25,117700,4024,2
26,127500,4025,2
27,137700,4026,2
28,148300,4027,2
29,159300,4028,2
30,170700,4029,2
31,182500,4030,2
32,194700,4031,2
33,207300,4032,2
34,220300,4033,2
35,233700,4034,2
36,247500,4035,2
37,261700,4036,2
38,276300,4037,2
39,291300,4038,2
40,306700,4039,2
41,322500,4040,2
42,338700,4041,2
43,355300,4042,2
44,372300,4043,2
45,389700,4044,2
46,407500,4045,3
47,425700,4046,3
48,444300,4047,3
49,463300,4048,3
50,482700,4049,3
51,502500,4050,3
52,522700,4051,3
53,543300,4052,3
54,564300,4053,3
55,585700,4054,3
56,607500,4055,3
57,629700,4056,3
58,652300,4057,3
59,675300,4058,3
60,698700,4059,3
61,722500,4060,3
62,746700,4061,3
63,771300,4062,3
64,796300,4063,3
65,821700,4064,3
66,847500,4065,3
67,873700,4066,3
68,900300,4067,3
69,927300,4068,3
70,954700,4069,3
71,982500,4070,3
72,1010700,4071,3
73,1039300,4072,3
74,1068300,4073,3
75,1097700,4074,3
76,1127500,4075,3
77,1157700,4076,3
78,1188300,4077,3
79,1219300,4078,3
80,1250700,4079,3
81,1282500,4080,3
82,1314700,4081,3
83,1347300,4082,3
84,1380300,4083,3
85,1413700,4084,3
86,1447500,4085,3
87,1481700,4086,3
88,1516300,4087,3
89,1551300,4088,3
90,1586700,4089,3
91,1622500,4090,3
92,1658700,4091,3
93,1695300,4092,3
94,1732300,4093,3
95,1769700,4094,3
96,1807500,4095,3
97,1845700,4096,3
98,1884300,4097,3
99,1923300,4098,3
100,,4099,3
