排序,转盘类型,掉落权重,送道具ID(道具ID;数量)
number,number,number,string
id,type,weight,items
1,1,1,601993;3
2,1,2,10052;1
3,1,2,1;100000
4,1,4,12301;5
5,1,1,10308;1
6,1,4,10089;2
7,1,2,12400;100
8,1,2,12502;1
9,1,1,6;200
10,1,1,10144;1
11,1,1,601995;3
12,1,2,10052;1
13,1,2,1;100000
14,1,4,12301;5
15,1,1,12007;1
16,1,4,12111;1
17,1,2,12401;100
18,1,2,12502;1
19,1,1,6;200
20,1,1,10144;1
21,2,1,601993;2
22,2,2,10052;2
23,2,1,601994;2
24,2,3,12301;10
25,2,5,10308;2
26,2,1,601995;2
27,2,4,12400;225
28,2,3,12502;3
29,2,4,1;200000
30,2,1,10144;1
31,2,1,601640;1
32,2,5,10052;2
33,2,1,601993;1
34,2,5,12301;5
35,2,3,10308;3
36,2,1,601994;1
37,2,1,12401;225
38,2,3,12502;3
39,2,1,2;1000
40,2,3,10144;1
41,3,2,601995;3
42,3,4,10052;3
43,3,2,601640;3
44,3,4,12301;5
45,3,2,10308;5
46,3,1,601993;5
47,3,8,12400;250
48,3,5,12502;5
49,3,1,2;1000
50,3,3,10145;2
51,3,1,601994;5
52,3,4,10052;3
53,3,1,601995;5
54,3,4,12301;5
55,3,8,12007;5
56,3,1,601640;5
57,3,5,12401;250
58,3,8,12502;5
59,3,5,1;300000
60,3,5,10145;1
