掉落ID,掉落权重,掉落ID,掉落数量,注释
number,number,number,number,string
ID,Weight,ItemID,ItemCount,ZHUSHI
1,500,1010,1,绿毛虫
1,10,1011,1,铁甲蛹
1,500,1019,1,小拉达
1,500,1021,1,烈雀
1,100,1035,1,皮皮
1,100,1048,1,毛球
1,500,1050,1,地鼠
1,500,1052,1,喵喵
1,100,1083,1,大葱鸭
1,100,1084,1,嘟嘟
1,100,1100,1,雷电球
1,500,1173,1,皮宝宝
1,500,1211,1,千针鱼
1,500,1235,1,图图犬
1,500,1311,1,正电拍拍
1,500,1312,1,负电拍拍
1,500,1013,1,独角虫
1,100,1014,1,铁壳蛹
1,500,1023,1,阿柏蛇
1,100,1027,1,穿山鼠
1,100,1039,1,胖丁
1,500,1043,1,走路草
1,100,1044,1,臭臭花
1,500,1046,1,派拉斯
1,100,1054,1,可达鸭
1,100,1056,1,猴怪
1,500,1074,1,小拳石
1,100,1075,1,隆隆石
1,100,1086,1,小海狮
1,100,1098,1,大钳蟹
1,100,1104,1,卡拉卡拉
1,100,1108,1,大舌头
1,100,1109,1,瓦斯弹
1,100,1118,1,角金鱼
1,500,1132,1,百变怪
1,100,1138,1,菊石兽
1,100,1140,1,化石盔
1,100,1170,1,灯笼鱼
1,500,1174,1,宝宝丁
1,100,1273,1,橡实果
1,100,1343,1,天秤偶
1,100,1597,1,种子铁球
1,100,1434,1,臭鼬噗
1,100,1527,1,滚滚蝙蝠
1,100,1580,1,鸭宝宝
1,500,1976,1,黑夜小拉达
1,100,1978,1,冰雪穿山鼠
1,500,1980,1,坏喵喵
1,500,10001,2,普通钱袋
1,500,10002,3,高级钱袋
1,500,10011,3,普通经验卡
1,500,10012,3,高级经验卡
1,500,12001,10,奶酪
1,500,12002,10,蘑菇
1,42,12221,2,物攻努力石1
1,42,12222,2,物攻努力石2
1,42,12223,2,物攻努力石3
1,42,12224,2,物攻努力石4
1,42,12225,2,物攻努力石5
1,42,12226,2,特攻努力石1
1,42,12227,2,特攻努力石2
1,42,12228,2,特攻努力石3
1,42,12229,2,特攻努力石4
1,42,12230,2,特攻努力石5
1,42,12231,2,物防努力石1
1,42,12232,2,物防努力石2
1,42,12233,2,物防努力石3
1,42,12234,2,物防努力石4
1,42,12235,2,物防努力石5
