阵型id,阵型类型id(对应面板上阵型顺序）,阵型等级,阵型名字,升下一级级所需资源,升下一级id
number,number,number,string,string,number
id,typeid,level,name,itmes,nextId
1,1,1,强攻lv.1,13031;20,2
2,1,2,强攻lv.2,13031;40,3
3,1,3,强攻lv.3,13031;60,4
4,1,4,强攻lv.4,13031;80,5
5,1,5,强攻lv.5,13031;100,6
6,1,6,强攻lv.6,13031;120,7
7,1,7,强攻lv.7,13031;140,8
8,1,8,强攻lv.8,13031;160,9
9,1,9,强攻lv.9,13031;180,10
10,1,10,强攻lv.10,13031;200,11
11,1,11,,13031;225,12
12,1,12,,13031;250,13
13,1,13,,13031;275,14
14,1,14,,13031;300,15
15,1,15,,13031;325,16
16,1,16,,13031;350,17
17,1,17,,13031;375,18
18,1,18,,13031;400,19
19,1,19,,13031;425,20
20,1,20,,13031;450,21
21,1,21,,13031;480,22
22,1,22,,13031;510,23
23,1,23,,13031;540,24
24,1,24,,13031;570,25
25,1,25,,13031;600,26
26,1,26,,13031;630,27
27,1,27,,13031;660,28
28,1,28,,13031;690,29
29,1,29,,13031;720,30
30,1,30,,13031;750,31
31,1,31,,13031;785,32
32,1,32,,13031;820,33
33,1,33,,13031;855,34
34,1,34,,13031;890,35
35,1,35,,13031;925,36
36,1,36,,13031;960,37
37,1,37,,13031;995,38
38,1,38,,13031;1030,39
39,1,39,,13031;1065,40
40,1,40,,13031;1100,41
41,1,41,,13031;1140,42
42,1,42,,13031;1180,43
43,1,43,,13031;1220,44
44,1,44,,13031;1260,45
45,1,45,,13031;1300,46
46,1,46,,13031;1340,47
47,1,47,,13031;1380,48
48,1,48,,13031;1420,49
49,1,49,,13031;1460,50
50,1,50,,13031;1500,51
51,1,51,,13031;1545,52
52,1,52,,13031;1590,53
53,1,53,,13031;1635,54
54,1,54,,13031;1680,55
55,1,55,,13031;1725,56
56,1,56,,13031;1770,57
57,1,57,,13031;1815,58
58,1,58,,13031;1860,59
59,1,59,,13031;1905,60
60,1,60,,13031;1950,61
61,1,61,,13031;2000,62
62,1,62,,13031;2050,63
63,1,63,,13031;2100,64
64,1,64,,13031;2150,65
65,1,65,,13031;2200,66
66,1,66,,13031;2250,67
67,1,67,,13031;2300,68
68,1,68,,13031;2350,69
69,1,69,,13031;2400,70
70,1,70,,13031;2450,71
71,1,71,,13031;2505,72
72,1,72,,13031;2560,73
73,1,73,,13031;2615,74
74,1,74,,13031;2670,75
75,1,75,,13031;2725,76
76,1,76,,13031;2780,77
77,1,77,,13031;2835,78
78,1,78,,13031;2890,79
79,1,79,,13031;2945,80
80,1,80,,13031;3000,81
81,1,81,,13031;3060,82
82,1,82,,13031;3120,83
83,1,83,,13031;3180,84
84,1,84,,13031;3240,85
85,1,85,,13031;3300,86
86,1,86,,13031;3360,87
87,1,87,,13031;3420,88
88,1,88,,13031;3480,89
89,1,89,,13031;3540,90
90,1,90,,13031;3600,91
91,1,91,,13031;3665,92
92,1,92,,13031;3730,93
93,1,93,,13031;3795,94
94,1,94,,13031;3860,95
95,1,95,,13031;3925,96
96,1,96,,13031;3990,97
97,1,97,,13031;4055,98
98,1,98,,13031;4120,99
99,1,99,,13031;4185,100
100,1,100,,,
101,2,1,防御lv.1,13032;20,102
102,2,2,防御lv.2,13032;40,103
103,2,3,防御lv.3,13032;60,104
104,2,4,防御lv.4,13032;80,105
105,2,5,防御lv.5,13032;100,106
106,2,6,防御lv.6,13032;120,107
107,2,7,防御lv.7,13032;140,108
108,2,8,防御lv.8,13032;160,109
109,2,9,防御lv.9,13032;180,110
110,2,10,防御lv.10,13032;200,111
111,2,11,,13032;225,112
112,2,12,,13032;250,113
113,2,13,,13032;275,114
114,2,14,,13032;300,115
115,2,15,,13032;325,116
116,2,16,,13032;350,117
117,2,17,,13032;375,118
118,2,18,,13032;400,119
119,2,19,,13032;425,120
120,2,20,,13032;450,121
121,2,21,,13032;480,122
122,2,22,,13032;510,123
123,2,23,,13032;540,124
124,2,24,,13032;570,125
125,2,25,,13032;600,126
126,2,26,,13032;630,127
127,2,27,,13032;660,128
128,2,28,,13032;690,129
129,2,29,,13032;720,130
130,2,30,,13032;750,131
131,2,31,,13032;785,132
132,2,32,,13032;820,133
133,2,33,,13032;855,134
134,2,34,,13032;890,135
135,2,35,,13032;925,136
136,2,36,,13032;960,137
137,2,37,,13032;995,138
138,2,38,,13032;1030,139
139,2,39,,13032;1065,140
140,2,40,,13032;1100,141
141,2,41,,13032;1140,142
142,2,42,,13032;1180,143
143,2,43,,13032;1220,144
144,2,44,,13032;1260,145
145,2,45,,13032;1300,146
146,2,46,,13032;1340,147
147,2,47,,13032;1380,148
148,2,48,,13032;1420,149
149,2,49,,13032;1460,150
150,2,50,,13032;1500,151
151,2,51,,13032;1545,152
152,2,52,,13032;1590,153
153,2,53,,13032;1635,154
154,2,54,,13032;1680,155
155,2,55,,13032;1725,156
156,2,56,,13032;1770,157
157,2,57,,13032;1815,158
158,2,58,,13032;1860,159
159,2,59,,13032;1905,160
160,2,60,,13032;1950,161
161,2,61,,13032;2000,162
162,2,62,,13032;2050,163
163,2,63,,13032;2100,164
164,2,64,,13032;2150,165
165,2,65,,13032;2200,166
166,2,66,,13032;2250,167
167,2,67,,13032;2300,168
168,2,68,,13032;2350,169
169,2,69,,13032;2400,170
170,2,70,,13032;2450,171
171,2,71,,13032;2505,172
172,2,72,,13032;2560,173
173,2,73,,13032;2615,174
174,2,74,,13032;2670,175
175,2,75,,13032;2725,176
176,2,76,,13032;2780,177
177,2,77,,13032;2835,178
178,2,78,,13032;2890,179
179,2,79,,13032;2945,180
180,2,80,,13032;3000,181
181,2,81,,13032;3060,182
182,2,82,,13032;3120,183
183,2,83,,13032;3180,184
184,2,84,,13032;3240,185
185,2,85,,13032;3300,186
186,2,86,,13032;3360,187
187,2,87,,13032;3420,188
188,2,88,,13032;3480,189
189,2,89,,13032;3540,190
190,2,90,,13032;3600,191
191,2,91,,13032;3665,192
192,2,92,,13032;3730,193
193,2,93,,13032;3795,194
194,2,94,,13032;3860,195
195,2,95,,13032;3925,196
196,2,96,,13032;3990,197
197,2,97,,13032;4055,198
198,2,98,,13032;4120,199
199,2,99,,13032;4185,200
200,2,100,,,
201,3,1,速攻lv.1,13033;20,202
202,3,2,速攻lv.2,13033;40,203
203,3,3,速攻lv.3,13033;60,204
204,3,4,速攻lv.4,13033;80,205
205,3,5,速攻lv.5,13033;100,206
206,3,6,速攻lv.6,13033;120,207
207,3,7,速攻lv.7,13033;140,208
208,3,8,速攻lv.8,13033;160,209
209,3,9,速攻lv.9,13033;180,210
210,3,10,速攻lv.10,13033;200,211
211,3,11,,13033;225,212
212,3,12,,13033;250,213
213,3,13,,13033;275,214
214,3,14,,13033;300,215
215,3,15,,13033;325,216
216,3,16,,13033;350,217
217,3,17,,13033;375,218
218,3,18,,13033;400,219
219,3,19,,13033;425,220
220,3,20,,13033;450,221
221,3,21,,13033;480,222
222,3,22,,13033;510,223
223,3,23,,13033;540,224
224,3,24,,13033;570,225
225,3,25,,13033;600,226
226,3,26,,13033;630,227
227,3,27,,13033;660,228
228,3,28,,13033;690,229
229,3,29,,13033;720,230
230,3,30,,13033;750,231
231,3,31,,13033;785,232
232,3,32,,13033;820,233
233,3,33,,13033;855,234
234,3,34,,13033;890,235
235,3,35,,13033;925,236
236,3,36,,13033;960,237
237,3,37,,13033;995,238
238,3,38,,13033;1030,239
239,3,39,,13033;1065,240
240,3,40,,13033;1100,241
241,3,41,,13033;1140,242
242,3,42,,13033;1180,243
243,3,43,,13033;1220,244
244,3,44,,13033;1260,245
245,3,45,,13033;1300,246
246,3,46,,13033;1340,247
247,3,47,,13033;1380,248
248,3,48,,13033;1420,249
249,3,49,,13033;1460,250
250,3,50,,13033;1500,251
251,3,51,,13033;1545,252
252,3,52,,13033;1590,253
253,3,53,,13033;1635,254
254,3,54,,13033;1680,255
255,3,55,,13033;1725,256
256,3,56,,13033;1770,257
257,3,57,,13033;1815,258
258,3,58,,13033;1860,259
259,3,59,,13033;1905,260
260,3,60,,13033;1950,261
261,3,61,,13033;2000,262
262,3,62,,13033;2050,263
263,3,63,,13033;2100,264
264,3,64,,13033;2150,265
265,3,65,,13033;2200,266
266,3,66,,13033;2250,267
267,3,67,,13033;2300,268
268,3,68,,13033;2350,269
269,3,69,,13033;2400,270
270,3,70,,13033;2450,271
271,3,71,,13033;2505,272
272,3,72,,13033;2560,273
273,3,73,,13033;2615,274
274,3,74,,13033;2670,275
275,3,75,,13033;2725,276
276,3,76,,13033;2780,277
277,3,77,,13033;2835,278
278,3,78,,13033;2890,279
279,3,79,,13033;2945,280
280,3,80,,13033;3000,281
281,3,81,,13033;3060,282
282,3,82,,13033;3120,283
283,3,83,,13033;3180,284
284,3,84,,13033;3240,285
285,3,85,,13033;3300,286
286,3,86,,13033;3360,287
287,3,87,,13033;3420,288
288,3,88,,13033;3480,289
289,3,89,,13033;3540,290
290,3,90,,13033;3600,291
291,3,91,,13033;3665,292
292,3,92,,13033;3730,293
293,3,93,,13033;3795,294
294,3,94,,13033;3860,295
295,3,95,,13033;3925,296
296,3,96,,13033;3990,297
297,3,97,,13033;4055,298
298,3,98,,13033;4120,299
299,3,99,,13033;4185,300
300,3,100,,,
301,4,1,控制lv.1,13034;20,302
302,4,2,控制lv.2,13034;40,303
303,4,3,控制lv.3,13034;60,304
304,4,4,控制lv.4,13034;80,305
305,4,5,控制lv.5,13034;100,306
306,4,6,控制lv.6,13034;120,307
307,4,7,控制lv.7,13034;140,308
308,4,8,控制lv.8,13034;160,309
309,4,9,控制lv.9,13034;180,310
310,4,10,控制lv.10,13034;200,311
311,4,11,,13034;225,312
312,4,12,,13034;250,313
313,4,13,,13034;275,314
314,4,14,,13034;300,315
315,4,15,,13034;325,316
316,4,16,,13034;350,317
317,4,17,,13034;375,318
318,4,18,,13034;400,319
319,4,19,,13034;425,320
320,4,20,,13034;450,321
321,4,21,,13034;480,322
322,4,22,,13034;510,323
323,4,23,,13034;540,324
324,4,24,,13034;570,325
325,4,25,,13034;600,326
326,4,26,,13034;630,327
327,4,27,,13034;660,328
328,4,28,,13034;690,329
329,4,29,,13034;720,330
330,4,30,,13034;750,331
331,4,31,,13034;785,332
332,4,32,,13034;820,333
333,4,33,,13034;855,334
334,4,34,,13034;890,335
335,4,35,,13034;925,336
336,4,36,,13034;960,337
337,4,37,,13034;995,338
