"建筑类型(1:火,2:水,3:草,4:妖,5:暗,6:龙)",等级,所需建设度,增加公会人数,可寄养宝可梦数量,需要消耗贡献度,每小时增加努力值,每小时增加亲密度,最长寄放时间(小时),训练包含系(填的系都能在对应建筑下训练）
number,number,number,number,number,number,number,number,number,string
id,level,degree,addMemberCount,pokemonCount,cost,effortAdd,loveAdd,maxTime,ContainAttribute
1,0,0,0,0,0,0,0,3,1;15;12
1,1,600,0,1,60,2,100,3,1;15;12
1,2,4500,1,1,60,2,120,3,1;15;12
1,3,15000,2,2,60,2,160,3,1;15;12
1,4,37000,3,2,75,3,220,4,1;15;12
1,5,80000,4,3,75,3,300,4,1;15;12
1,6,150000,4,3,75,3,400,4,1;15;12
1,7,320000,5,3,90,4,520,5,1;15;12
1,8,650000,5,4,90,4,660,5,1;15;12
1,9,1100000,6,4,90,4,840,5,1;15;12
1,10,1700000,6,4,100,5,1020,6,1;15;12
1,11,2700000,7,5,100,5,1220,6,1;15;12
1,12,4200000,7,5,100,5,1460,6,1;15;12
1,13,6500000,8,5,100,6,1720,6,1;15;12
2,0,0,0,0,0,0,0,3,2;7;9
2,1,600,0,1,60,2,100,3,2;7;9
2,2,4500,1,1,60,2,120,3,2;7;9
2,3,15000,2,2,60,2,160,3,2;7;9
2,4,37000,3,2,75,3,220,4,2;7;9
2,5,80000,4,3,75,3,300,4,2;7;9
2,6,150000,4,3,75,3,400,4,2;7;9
2,7,320000,5,3,90,4,520,5,2;7;9
2,8,650000,5,4,90,4,660,5,2;7;9
2,9,1100000,6,4,90,4,840,5,2;7;9
2,10,1700000,6,4,100,5,1020,6,2;7;9
2,11,2700000,7,5,100,5,1220,6,2;7;9
2,12,4200000,7,5,100,5,1460,6,2;7;9
2,13,6500000,8,5,100,6,1720,6,2;7;9
3,0,0,0,0,0,0,0,3,3;11;13
3,1,600,0,1,60,2,100,3,3;11;13
3,2,4500,1,1,60,2,120,3,3;11;13
3,3,15000,2,2,60,2,160,3,3;11;13
3,4,37000,3,2,75,3,220,4,3;11;13
3,5,80000,4,3,75,3,300,4,3;11;13
3,6,150000,4,3,75,3,400,4,3;11;13
3,7,320000,5,3,90,4,520,5,3;11;13
3,8,650000,5,4,90,4,660,5,3;11;13
3,9,1100000,6,4,90,4,840,5,3;11;13
3,10,1700000,6,4,100,5,1020,6,3;11;13
3,11,2700000,7,5,100,5,1220,6,3;11;13
3,12,4200000,7,5,100,5,1460,6,3;11;13
3,13,6500000,8,5,100,6,1720,6,3;11;13
4,0,0,0,0,0,0,0,3,4;10;16
4,1,600,0,1,60,2,100,3,4;10;16
4,2,4500,1,1,60,2,120,3,4;10;16
4,3,15000,2,2,60,2,160,3,4;10;16
4,4,37000,3,2,75,3,220,4,4;10;16
4,5,80000,4,3,75,3,300,4,4;10;16
4,6,150000,4,3,75,3,400,4,4;10;16
4,7,320000,5,3,90,4,520,5,4;10;16
4,8,650000,5,4,90,4,660,5,4;10;16
4,9,1100000,6,4,90,4,840,5,4;10;16
4,10,1700000,6,4,100,5,1020,6,4;10;16
4,11,2700000,7,5,100,5,1220,6,4;10;16
4,12,4200000,7,5,100,5,1460,6,4;10;16
4,13,6500000,8,5,100,6,1720,6,4;10;16
5,0,0,0,0,0,0,0,3,8;5;18
5,1,600,0,1,60,2,100,3,8;5;18
5,2,4500,1,1,60,2,120,3,8;5;18
5,3,15000,2,2,60,2,160,3,8;5;18
5,4,37000,3,2,75,3,220,4,8;5;18
5,5,80000,4,3,75,3,300,4,8;5;18
5,6,150000,4,3,75,3,400,4,8;5;18
5,7,320000,5,3,90,4,520,5,8;5;18
5,8,650000,5,4,90,4,660,5,8;5;18
5,9,1100000,6,4,90,4,840,5,8;5;18
5,10,1700000,6,4,100,5,1020,6,8;5;18
5,11,2700000,7,5,100,5,1220,6,8;5;18
5,12,4200000,7,5,100,5,1460,6,8;5;18
5,13,6500000,8,5,100,6,1720,6,8;5;18
6,0,0,0,0,0,0,0,3,6;14;17
6,1,600,0,1,60,2,100,3,6;14;17
6,2,4500,1,1,60,2,120,3,6;14;17
6,3,15000,2,2,60,2,160,3,6;14;17
6,4,37000,3,2,75,3,220,4,6;14;17
6,5,80000,4,3,75,3,300,4,6;14;17
6,6,150000,4,3,75,3,400,4,6;14;17
6,7,320000,5,3,90,4,520,5,6;14;17
6,8,650000,5,4,90,4,660,5,6;14;17
6,9,1100000,6,4,90,4,840,5,6;14;17
6,10,1700000,6,4,100,5,1020,6,6;14;17
6,11,2700000,7,5,100,5,1220,6,6;14;17
6,12,4200000,7,5,100,5,1460,6,6;14;17
6,13,6500000,8,5,100,6,1720,6,6;14;17
