自增长ID,日志内容（时间|日志内容）
number,string
ID,content
1998,{0}把公会转让给{1}，大家快去参拜新会长。
1999,会长{0}退出了公会，职位传给了{1}。
2000,{0}创建了{1}公会，立志成为独霸一方的大公会!
2001,{0}加入了公会，大家都高兴的摇旗迎接他。
2002,{0}退出了公会，真是可惜。
2003,{0}被{1}任命为副会长，恭喜大人高升啦~
2004,{0}职位被{1}罢免，落寞的脱下了官帽。
2005,{0}被{1}逐出公会，落寞的走出了公会大门。
2101,公会火之熔岩的等级由{0}升级到{1}，火系宝可梦开始了篝火表演~
2102,公会水之漩涡的等级由{0}升级到{1}，水系宝可梦互相喷水庆祝~
2103,公会草之树的等级由{0}升级到{1}，草系宝可梦荡起了秋千~
2104,公会妖之塔的等级由{0}升级到{1}，妖系宝可梦玩起了魔术~
2105,公会恶之洞窟的等级由{0}升级到{1}，恶系宝可梦露出了可爱的笑容~
2106,公会龙之船的等级由{0}升级到{1}，龙系宝可梦长啸开始庆祝~
2201,{0}消耗了{1}战利品建造了火之熔岩，增加了火之熔岩{2}建设度。
2202,{0}消耗了{1}战利品建造了水之漩涡，增加了水之漩涡{2}建设度。
2203,{0}消耗了{1}战利品建造了草之树，增加了草之树{2}建设度。
2204,{0}消耗了{1}战利品建造了妖之塔，增加了妖之塔{2}建设度。
2205,{0}消耗了{1}战利品建造了恶之洞窟，增加了恶之洞窟{2}建设度。
2206,{0}消耗了{1}战利品建造了龙之船，增加了龙之船{2}建设度。
2211,{0}消耗了{1}金币建造了火之熔岩，增加了火之熔岩{2}建设度。
2212,{0}消耗了{1}金币建造了水之漩涡，增加了水之漩涡{2}建设度。
2213,{0}消耗了{1}金币建造了草之树，增加了草之树{2}建设度。
2214,{0}消耗了{1}金币建造了妖之塔，增加了妖之塔{2}建设度。
2215,{0}消耗了{1}金币建造了恶之洞窟，增加了恶之洞窟{2}建设度。
2216,{0}消耗了{1}金币建造了龙之船，增加了龙之船{2}建设度。
2221,{0}消耗了{1}钻石建造了火之熔岩，增加了火之熔岩{2}建设度。
2222,{0}消耗了{1}钻石建造了水之漩涡，增加了水之漩涡{2}建设度。
2223,{0}消耗了{1}钻石建造了草之树，增加了草之树{2}建设度。
2224,{0}消耗了{1}钻石建造了妖之塔，增加了妖之塔{2}建设度。
2225,{0}消耗了{1}钻石建造了恶之洞窟，增加了恶之洞窟{2}建设度。
2226,{0}消耗了{1}钻石建造了龙之船，增加了龙之船{2}建设度。
2301,{0}捐献了{1}金币
