"1为初级,2为中级,3为高级",掉落ID,品阶,随机池(1=绿  2=蓝  3=紫 4=紫橙 5=橙 6=橙红),宝可梦名字,种族值总和
number,number,number,number,string,number
ID,PokemonID,Quality,RandomPool,name,all
1,1010,1,1,绿毛虫,195
1,1011,2,2,铁甲蛹,270
1,1013,1,1,独角虫,195
1,1014,2,2,铁壳蛹,270
1,1015,4,4,大针蜂,395
1,1016,1,1,波波,251
1,1017,2,2,比比鸟,349
1,1018,4,5,大比鸟,479
1,1019,1,1,小拉达,253
1,1020,3,4,拉达,413
1,1021,1,1,烈雀,260
1,1022,3,4,大嘴雀,442
1,1023,1,1,阿柏蛇,275
1,1035,2,2,皮皮,323
1,1036,3,4,皮可西,483
1,1038,4,6,九尾,505
1,1039,2,2,胖丁,280
1,1044,2,2,臭臭花,395
1,1045,3,4,霸王花,490
1,1047,3,4,派拉斯特,405
1,1051,3,4,三地鼠,425
1,1054,2,2,可达鸭,320
1,1055,3,4,哥达鸭,500
1,1060,1,1,蚊香蝌蚪,260
1,1062,4,6,快泳蛙,510
1,1069,1,1,喇叭芽,275
1,1072,3,3,玛瑙水母,335
1,1073,4,6,毒刺水母,515
1,1074,1,1,小拳石,270
1,1075,2,2,隆隆石,390
1,1081,2,2,小磁怪,325
1,1083,2,2,大葱鸭,347
1,1084,2,2,嘟嘟,310
1,1085,3,4,嘟嘟利,470
1,1088,2,2,臭泥,325
1,1601,4,6,齿轮怪,520
1,1098,2,2,大钳蟹,325
1,1104,2,2,卡拉卡拉,320
1,1108,2,2,大舌头,355
1,1109,2,2,瓦斯弹,340
1,1118,2,2,角金鱼,320
1,1121,4,6,宝石海星,520
1,1124,3,4,迷唇姐,455
1,1132,1,1,百变怪,288
1,1171,3,4,电灯怪,460
1,1173,1,1,皮宝宝,218
1,1174,1,1,宝宝丁,210
1,1206,3,4,土龙弟弟,415
1,1211,1,1,千针鱼,330
1,1232,4,5,顿甲,500
1,1235,1,1,图图犬,250
1,1262,3,4,大狼犬,420
1,1278,2,2,长翅鸥,270
1,1279,3,4,大嘴鸥,440
1,1285,2,2,蘑蘑菇,295
1,1302,4,4,勾魂眼,380
1,1303,4,4,大嘴娃,380
1,1307,3,3,玛沙那,280
1,1308,4,4,恰雷姆,410
1,1311,1,1,正电拍拍,300
1,1346,4,5,摇篮百合,495
1,1357,4,5,热带龙,460
1,1365,4,6,帝牙海狮,530
1,1377,6,6,雷吉洛克,580
1,1378,6,6,雷吉艾斯,580
1,1379,6,6,雷吉斯奇鲁,580
1,1426,4,5,随风球,498
1,1430,4,5,乌鸦头头,505
1,1434,2,2,臭鼬噗,329
1,1435,3,4,坦克臭鼬,479
1,1442,4,5,鬼盆栽,485
1,1451,3,3,钳尾蝎,330
1,1473,4,6,象牙猪,530
1,1477,4,6,黑夜魔灵,525
1,1480,4,6,电冰箱,525
1,1483,4,6,除草机,525
1,1484,4,6,微波炉,525
1,1517,3,3,食梦梦,292
1,1518,4,5,梦梦蚀,487
1,1528,3,4,心蝙蝠,425
1,1531,4,5,差不多娃娃,445
1,1564,2,2,原盖海龟,355
1,1565,3,4,肋骨海龟,495
1,1568,2,2,破破袋,329
1,1569,3,4,灰尘山,474
1,1287,2,2,懒人獭,280
1,1580,2,2,鸭宝宝,305
1,1590,2,2,哎呀球菇,294
1,1591,3,4,败露球菇,464
1,1594,3,4,保姆曼波,470
1,1597,2,2,种子铁球,305
1,1622,3,3,泥偶小人,303
1,1630,4,6,秃鹰娜,510
1,1205,4,6,佛烈托斯,465
1,1228,3,4,戴鲁比,330
1,1229,4,6,黑鲁加,500
1,1270,2,2,莲叶童子,220
1,1271,3,4,莲帽小童,340
1,1272,4,6,乐天河童,480
1,1294,3,4,吼爆弹,360
1,1295,4,6,爆音怪,490
1,1296,2,4,幕下力士,237
1,1297,4,6,铁掌力士,474
1,1320,3,4,吼吼鲸,400
1,1321,4,6,吼鲸王,500
1,1341,3,4,龙虾小兵,308
1,1342,4,6,铁螯龙虾,468
1,1396,2,2,姆克儿,245
1,1397,3,4,姆克鸟,340
1,1398,4,6,姆克鹰,485
1,1408,3,4,头盖龙,350
1,1409,4,6,战槌龙,495
1,1415,2,2,三蜜蜂,244
1,1416,4,6,蜂女王,474
1,1436,3,4,铜镜怪,300
1,1437,4,6,青铜钟,500
1,1453,3,4,不良蛙,300
1,1454,4,6,毒骷蛙,490
1,1111,2,2,铁甲犀牛,345
1,1112,3,4,铁甲暴龙,485
1,1464,4,6,超铁暴龙,535
1,1506,2,2,小约克,275
1,1507,3,4,哈约克,370
1,1508,4,6,长毛狗,500
1,1522,3,4,斑斑马,295
1,1523,4,6,雷电斑马,497
1,1532,2,2,搬运小匠,305
1,1533,3,4,铁骨土人,405
1,1534,4,6,修建老匠,505
1,1566,3,4,始祖小鸟,401
1,1567,4,6,始祖大鸟,567
1,1574,2,2,哥德宝宝,290
1,1575,3,4,哥德小童,390
1,1576,4,6,哥德小姐,490
1,1577,2,2,单卵细胞球,290
1,1578,3,4,双卵细胞球,370
1,1579,4,6,人造细胞卵,490
1,1587,4,5,电飞鼠,428
1,1595,3,4,电电虫,319
1,1596,4,5,电蜘蛛,472
1,1624,3,4,驹刀小兵,340
1,1625,4,6,劈斩司令,490
1,1632,4,6,铁蚁,484
1,1982,4,6,长颈椰蛋树,535
1,1980,1,1,坏喵喵,275
1,301018,5,6,超·大比鸟,579
1,301024,5,6,超·阿柏怪,568
1,301053,5,6,超·猫老大,530
1,301057,5,6,超·火爆猴,525
1,301089,5,6,超·臭臭泥,589
1,301094,5,6,超·耿鬼,600
1,301115,5,6,超·袋兽,590
1,301141,5,6,超·镰刀盔,585
1,301169,5,6,超·叉字蝠,603
1,301185,5,6,超·树才怪,500
1,301189,5,6,超·毽子棉,540
1,301199,5,6,超·呆呆王,590
1,301275,5,6,超·狡猾天狗,570
1,301302,5,6,超·勾魂眼,480
1,301303,5,6,超·大嘴娃,480
1,301308,5,6,超·恰雷姆,510
1,301319,5,6,超·巨牙鲨,560
1,301323,5,6,超·喷火驼,560
1,301321,5,6,超·吼鲸王,600
1,301344,5,6,超·念力土偶,580
1,301346,5,6,超·摇篮百合,535
1,301354,5,6,超·诅咒娃娃,555
1,301357,5,6,超·热带龙,580
1,301359,5,6,超·阿勃梭鲁,565
1,301460,5,6,超·暴雪王,594
1,301452,5,6,超·龙王蝎,590
1,301531,5,6,超·差不多娃娃,545
1,301549,5,6,超·裙儿小姐,615
1,301560,5,6,超·头巾混混,548
1,301563,5,6,超·死神棺,581
1,301555,5,6,超·达摩狒狒,580
1,301621,5,6,超·赤面龙,575
2,1012,3,3,巴大蝴,395
2,1013,1,1,独角虫,195
2,1016,1,1,波波,251
2,1017,2,2,比比鸟,349
2,1019,1,1,小拉达,253
2,1022,3,4,大嘴雀,442
