名次,奖励道具（id;数量|id;数量）邮件发放,,,
number,string,,,
ID,Item,,,
1,12111;500|10309;50|10113;50|10160;15,,,
2,12111;300|10309;30|10113;30|10160;10,,,
3,12111;200|10309;20|10113;20|10160;5,,,
4,1;1000000|12152;20|10113;5|10309;10,,,
5,1;1000000|12152;20|10113;5|10309;10,,,
6,1;1000000|12152;20|10113;5|10309;10,,,
7,1;1000000|12152;20|10113;5|10309;10,,,
8,1;1000000|12152;20|10113;5|10309;10,,,
9,1;1000000|12152;20|10113;5|10309;10,,,
10,1;1000000|12152;20|10113;5|10309;10,,,
11,1;1000000|12152;20|10113;5|10309;10,,,
12,1;1000000|12152;20|10113;5|10309;10,,,
13,1;1000000|12152;20|10113;5|10309;10,,,
14,1;1000000|12152;20|10113;5|10309;10,,,
15,1;1000000|12152;20|10113;5|10309;10,,,
16,1;1000000|12152;20|10113;5|10309;10,,,
17,1;1000000|12152;20|10113;5|10309;10,,,
18,1;1000000|12152;20|10113;5|10309;10,,,
19,1;1000000|12152;20|10113;5|10309;10,,,
20,1;1000000|12152;20|10113;5|10309;10,,,
