月份,活动ID(日期）,注释(策划看）,送道具(道具;数量）
number,number,string,string
month,day,ZHUSHI,getItem
1,1,钻石,2;200
1,2,金币,1;100000
1,3,蓝水晶,6;100
1,4,进阶卡,12152;5
1,5,草莓,12007;5
1,6,万能铃铛,10089;5
1,7,碎片,601245;35
1,8,钻石,2;400
1,9,金币,1;100000
1,10,蓝水晶,6;200
1,11,进阶卡,12152;5
1,12,草莓,12007;10
1,13,万能铃铛,10089;5
1,14,碎片,601245;35
1,15,钻石,2;600
1,16,金币,1;100000
1,17,蓝水晶,6;300
1,18,进阶卡,12152;5
1,19,草莓,12007;10
1,20,万能铃铛,10089;5
1,21,碎片,601245;40
1,22,钻石,2;800
1,23,金币,1;100000
1,24,蓝水晶,6;400
1,25,进阶卡,12152;5
1,26,草莓,12007;20
1,27,万能铃铛,10089;5
1,28,碎片,601245;40
2,1,钻石,2;200
2,2,金币,1;100000
2,3,蓝水晶,6;100
2,4,进阶卡,12152;5
2,5,草莓,12007;5
2,6,万能铃铛,10089;5
2,7,碎片,601146;35
2,8,钻石,2;400
2,9,金币,1;100000
2,10,蓝水晶,6;200
2,11,进阶卡,12152;5
2,12,草莓,12007;10
2,13,万能铃铛,10089;5
2,14,碎片,601146;35
2,15,钻石,2;600
2,16,金币,1;100000
2,17,蓝水晶,6;300
2,18,进阶卡,12152;5
2,19,草莓,12007;10
2,20,万能铃铛,10089;5
2,21,碎片,601146;40
2,22,钻石,2;800
2,23,金币,1;100000
2,24,蓝水晶,6;400
2,25,进阶卡,12152;5
2,26,草莓,12007;20
2,27,万能铃铛,10089;5
2,28,碎片,601146;40
3,1,钻石,2;200
3,2,金币,1;100000
3,3,蓝水晶,6;100
3,4,进阶卡,12152;5
3,5,草莓,12007;5
3,6,万能铃铛,10089;5
3,7,碎片,601645;35
3,8,钻石,2;400
3,9,金币,1;100000
3,10,蓝水晶,6;200
3,11,进阶卡,12152;5
3,12,草莓,12007;10
3,13,万能铃铛,10089;5
3,14,碎片,601645;35
3,15,钻石,2;600
3,16,金币,1;100000
3,17,蓝水晶,6;300
3,18,进阶卡,12152;5
3,19,草莓,12007;10
3,20,万能铃铛,10089;5
3,21,碎片,601645;40
3,22,钻石,2;800
3,23,金币,1;100000
3,24,蓝水晶,6;400
3,25,进阶卡,12152;5
3,26,草莓,12007;20
3,27,万能铃铛,10089;5
3,28,碎片,601645;40
4,1,钻石,2;200
4,2,金币,1;100000
4,3,蓝水晶,6;100
4,4,进阶卡,12152;5
4,5,草莓,12007;5
4,6,万能铃铛,10089;5
4,7,碎片,601377;35
4,8,钻石,2;400
4,9,金币,1;100000
4,10,蓝水晶,6;200
4,11,进阶卡,12152;5
4,12,草莓,12007;10
4,13,万能铃铛,10089;5
4,14,碎片,601377;35
4,15,钻石,2;600
4,16,金币,1;100000
4,17,蓝水晶,6;300
4,18,进阶卡,12152;5
4,19,草莓,12007;10
4,20,万能铃铛,10089;5
4,21,碎片,601377;40
4,22,钻石,2;800
4,23,金币,1;100000
4,24,蓝水晶,6;400
4,25,进阶卡,12152;5
4,26,草莓,12007;20
4,27,万能铃铛,10089;5
4,28,碎片,601377;40
5,1,钻石,2;200
5,2,金币,1;100000
5,3,蓝水晶,6;100
5,4,进阶卡,12152;5
5,5,草莓,12007;5
5,6,万能铃铛,10089;5
5,7,碎片,601243;35
5,8,钻石,2;400
5,9,金币,1;100000
5,10,蓝水晶,6;200
5,11,进阶卡,12152;5
5,12,草莓,12007;10
5,13,万能铃铛,10089;5
5,14,碎片,601243;35
5,15,钻石,2;600
5,16,金币,1;100000
5,17,蓝水晶,6;300
5,18,进阶卡,12152;5
5,19,草莓,12007;10
5,20,万能铃铛,10089;5
5,21,碎片,601243;40
5,22,钻石,2;800
5,23,金币,1;100000
5,24,蓝水晶,6;400
5,25,进阶卡,12152;5
5,26,草莓,12007;20
5,27,万能铃铛,10089;5
5,28,碎片,601243;40
6,1,钻石,2;200
6,2,金币,1;100000
6,3,蓝水晶,6;100
6,4,进阶卡,12152;5
6,5,草莓,12007;5
6,6,万能铃铛,10089;5
6,7,碎片,601631;35
6,8,钻石,2;400
6,9,金币,1;100000
6,10,蓝水晶,6;200
6,11,进阶卡,12152;5
6,12,草莓,12007;10
6,13,万能铃铛,10089;5
6,14,碎片,601641;35
6,15,钻石,2;600
6,16,金币,1;100000
6,17,蓝水晶,6;300
6,18,进阶卡,12152;5
6,19,草莓,12007;10
6,20,万能铃铛,10089;5
6,21,碎片,601641;40
6,22,钻石,2;800
6,23,金币,1;100000
6,24,蓝水晶,6;400
6,25,进阶卡,12152;5
6,26,草莓,12007;20
6,27,万能铃铛,10089;5
6,28,碎片,601641;40
7,1,钻石,2;200
7,2,金币,1;100000
7,3,蓝水晶,6;100
7,4,进阶卡,12152;5
7,5,草莓,12007;5
7,6,万能铃铛,10089;5
7,7,碎片,601144;35
7,8,钻石,2;400
7,9,金币,1;100000
7,10,蓝水晶,6;200
7,11,进阶卡,12152;5
7,12,草莓,12007;10
7,13,万能铃铛,10089;5
7,14,碎片,601144;35
7,15,钻石,2;600
7,16,金币,1;100000
7,17,蓝水晶,6;300
7,18,进阶卡,12152;5
7,19,草莓,12007;10
7,20,万能铃铛,10089;5
7,21,碎片,601144;40
7,22,钻石,2;800
7,23,金币,1;100000
7,24,蓝水晶,6;400
7,25,进阶卡,12152;5
7,26,草莓,12007;20
7,27,万能铃铛,10089;5
7,28,碎片,601144;40
8,1,钻石,2;200
8,2,金币,1;100000
8,3,蓝水晶,6;100
8,4,进阶卡,12152;5
8,5,草莓,12007;5
8,6,万能铃铛,10089;5
8,7,碎片,601378;35
8,8,钻石,2;400
8,9,金币,1;100000
8,10,蓝水晶,6;200
8,11,进阶卡,12152;5
8,12,草莓,12007;10
8,13,万能铃铛,10089;5
8,14,碎片,601378;35
8,15,钻石,2;600
8,16,金币,1;100000
8,17,蓝水晶,6;300
8,18,进阶卡,12152;5
8,19,草莓,12007;10
8,20,万能铃铛,10089;5
8,21,碎片,601378;40
8,22,钻石,2;800
8,23,金币,1;100000
8,24,蓝水晶,6;400
8,25,进阶卡,12152;5
8,26,草莓,12007;20
8,27,万能铃铛,10089;5
8,28,碎片,601378;40
9,1,钻石,2;200
9,2,金币,1;100000
9,3,蓝水晶,6;100
9,4,进阶卡,12152;5
9,5,草莓,12007;5
9,6,万能铃铛,10089;5
9,7,碎片,601244;35
9,8,钻石,2;400
9,9,金币,1;100000
9,10,蓝水晶,6;200
9,11,进阶卡,12152;5
9,12,草莓,12007;10
9,13,万能铃铛,10089;5
9,14,碎片,601244;35
9,15,钻石,2;600
9,16,金币,1;100000
9,17,蓝水晶,6;300
9,18,进阶卡,12152;5
9,19,草莓,12007;10
9,20,万能铃铛,10089;5
9,21,碎片,601244;40
9,22,钻石,2;800
9,23,金币,1;100000
9,24,蓝水晶,6;400
9,25,进阶卡,12152;5
9,26,草莓,12007;20
9,27,万能铃铛,10089;5
9,28,碎片,601244;40
10,1,钻石,2;10000
10,2,钻石,2;10000
10,3,钻石,2;10000
10,4,钻石,2;10000
10,5,钻石,2;10000
10,6,钻石,2;10000
10,7,钻石,2;10000
10,8,钻石,2;10000
10,9,钻石,2;10000
10,10,钻石,2;10000
10,11,钻石,2;10000
10,12,钻石,2;10000
10,13,钻石,2;10000
10,14,钻石,2;10000
10,15,钻石,2;10000
10,16,钻石,2;10000
10,17,钻石,2;10000
10,18,钻石,2;10000
10,19,钻石,2;10000
10,20,钻石,2;10000
10,21,钻石,2;10000
10,22,钻石,2;10000
10,23,钻石,2;10000
10,24,钻石,2;10000
10,25,钻石,2;10000
10,26,钻石,2;10000
10,27,钻石,2;10000
10,28,钻石,2;10000
11,1,钻石,2;200
11,2,金币,1;100000
11,3,蓝水晶,6;100
11,4,进阶卡,12152;5
11,5,草莓,12007;5
11,6,万能铃铛,10089;5
11,7,碎片,601379;35
11,8,钻石,2;400
11,9,金币,1;100000
11,10,蓝水晶,6;200
11,11,进阶卡,12152;5
11,12,草莓,12007;10
11,13,万能铃铛,10089;5
11,14,碎片,601379;35
11,15,钻石,2;600
11,16,金币,1;100000
11,17,蓝水晶,6;300
11,18,进阶卡,12152;5
