任务序号,任务类别（1高级扭蛋 2携带品升级 3精灵获取 4精灵进化 5个体值洗练 6精灵大赛）,任务组别,任务描述,任务需求,任务奖励（id;数量）
number,number,number,string,number,string
taskId,taskStyle,taskGroup,taskDetail,taskRequire,reward
1,1,1,进行高级扭蛋10次。,10,18101;5
2,1,1,进行高级扭蛋20次。,20,18101;10
3,1,1,进行高级扭蛋40次。,40,18101;25
4,1,1,进行高级扭蛋75次。,75,18101;50
5,2,1,积分达到20分。,20,18101;5
6,2,1,积分达到35分。,35,18101;10
7,2,1,积分达到55分。,55,18101;25
8,2,1,积分达到80分。,80,18101;50
9,3,2,获得15个蓝色的精灵。,15,18101;5
10,3,2,获得8个紫色的精灵。,8,18101;10
11,3,2,获得5个橙色的精灵。,5,18101;25
12,3,2,获得2个神兽或红色精灵。,2,18101;50
13,4,2,积分达到12分。,12,18101;5
14,4,2,积分达到25分。,25,18101;10
15,4,2,积分达到45分。,45,18101;25
16,4,2,积分达到60分。,60,18101;50
17,5,3,个体值洗练20次。,20,18101;5
18,5,3,个体值洗练40次。,40,18101;10
19,5,3,个体值洗练80次。,80,18101;25
20,5,3,个体值洗练150次。,150,18101;50
21,6,3,积分达到5分。,5,18101;5
22,6,3,积分达到10分。,10,18101;10
23,6,3,积分达到25分。,25,18101;25
24,6,3,积分达到50分。,50,18101;50
