自增长ID,VIP等级,奖励（每日奖励，满足等级，之前的都可以领）,中文注释方便查看
number,number,string,string
id,vipLevel,rewardList,ZHUSHI
1,0,13001;1|1;5000,
2,1,13001;1|10001;10,
3,2,13004;1|12151;20,
4,3,13004;1|1;20000|12151;10,
5,4,13004;1|6;20|12301;10,
6,5,13004;1|6;50|12401;5,
7,6,13004;1|6;80|12401;10,
8,7,13004;1|12401;5|12503;5|13001;1,
9,8,13004;1|12401;10|12503;10|13001;1,
10,9,13004;1|12400;5|12101;5|13001;1,
11,10,13004;1|12400;10|12101;10|13001;1,
12,11,13004;1|12500;5|12101;15|13001;1,
13,12,13004;1|12502;2|12008;5|13001;1,
14,13,13004;1|12502;5|12008;10|13001;1,
15,14,13004;1|12502;5|12008;15|13001;1,
16,15,3;500000|12008;10|12400;10|12401;20,
17,16,3;800000|12008;10|12400;20|12401;40,
18,17,3;1000000|12008;10|12400;50|12401;80,
