道具ID,道具名,道具简介,等级限制,品质（道具框颜色）,排序（不对玩家显示，主要用于排序）,道具类型(1.货币 2.可使用的道具 3.一般消耗素材 4.亲密度道具 5.努力值道具 6.进化素材7.捕捉道具8.技能学习道具9.随机道具10.兑换道具11.精灵碎片 12.角色附魔道具 13.神器强化道具 14.家园建筑制作图纸 15.神器制作图纸 16.用于万能碎片兑换的宝可梦碎片),可使用,所属背包（1.道具 2.学习机. 3.材料 4.其他,"获取面板索引：跳转界面编号出现界面(1:挂机界面,2:精灵界面,3:扭蛋,4:竞技场,5:特殊副本,6:通天塔,7:商店,8:狩猎区,9:主城,10:背包,11:公会,12,角色购买界面,13:活动,14:神兽商店,15:充值,16:任务,17:玩家信息,18:vip,19:称号,20:徽章,21:邮件,22:地图选择,23:聊天,24:好友,25:排行榜,26:培养,27:技能,28:性格,29:图鉴,30:装备,31:队形，32:背包,33:升星,34:确认,35:精灵详情,36:快速战斗,37:签到，41：队伍升级 42:亲密度,43:进化,44:努力值,45:个体值,51:宠物商店，40：秘境，51：终生卡，52：成长基金,72:道馆)",包含道具Loot（引用道具掉落表）（lootid;数量|lootid;数量),获得道具（ID;数量｜ID;数量）,参数预留1（类型5.努力值道具 类型4.亲密度经验.类型7.抓捕增加概率 /100 类型8.引用技能id 类型12.附魔经验）,参数预留2（类型5.努力值道具 类型4.亲密度经验.类型7.抓捕增加概率 /100 类型8.引用技能id 类型12.附魔经验）,购买所需物品id,购买价格,物攻,特攻,物防,特防,速度,生命,,,,,,,,,
number,string,string,number,number,number,number,number,number,string,string,string,number,number,number,number,number,number,number,number,number,number,,,,,,,,,
id,name,desc,limit,quality,sort,type,used,location,comeFrom,loot,getItem,number1,number2,buyItemType,buyPrice,atk,atkSp,def,defSp,spe,hp,,,,,,,,,
1,金币,小精灵世界最基本的货币,,2,,1,0,0,52,,,,,,,,,,,,,,,,,,,,,
2,钻石,神奇而又稀有的宝石，可兑换稀有的物品,,3,,1,0,0,,,,,,,,,,,,,,,,,,,,,,
3,经验池经验,可用于提升宝可梦的等级,,2,,1,0,0,1;53,,,,,,,,,,,,,,,,,,,,,
4,友情点数,通过协助他人获得积分，可在扭蛋中使用,,2,,1,0,0,,,,,,,,,,,,,,,,,,,,,,
5,对战积分,竞技场中，战胜对手获得，可用于兑换进化材料,,2,,1,0,0,4,,,,,,,,,,,,,,,,,,,,,
6,蓝水晶,放生宝可梦获得的重要资源，可提升宝可梦的星级,,3,,1,0,0,51,,,,,,,,,,,,,,,,,,,,,
7,公会贡献值,公会中的流通货币，可用于训练宝可梦或兑换进化材料,,3,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,
8,人物经验,用于提升主角等级,,2,,3,0,0,,,,,,,,,,,,,,,,,,,,,,
9,探索力,,,2,,3,0,0,,,,,,,,,,,,,,,,,,,,,,
10,VIP经验,用于提升vip经验,,2,,3,0,0,,,,,,,,,,,,,,,,,,,,,,
11,道馆经验,用于提升名望等级,,2,,3,0,0,,,,,,,,,,,,,,,,,,,,,,
12,主角天赋点,,,2,,3,0,0,,,,,,,,,,,,,,,,,,,,,,
2127,凯罗斯碎片,用于在神兽中兑换凯罗斯,,3,,11,0,4,35;90,,,1127,,,,,,,,,,,,,,,,,,
2142,化石翼龙碎片,用于在神兽中兑换化石翼龙,,3,,11,0,4,35;90,,,1142,,,,,,,,,,,,,,,,,,
2144,急冻鸟碎片,用于在神兽中兑换急冻鸟,,3,,11,0,4,35;90,,,1144,,,,,,,,,,,,,,,,,,
2145,闪电鸟碎片,用于在神兽中兑换闪电鸟,,3,,11,0,4,35;90,,,1145,,,,,,,,,,,,,,,,,,
2146,火焰鸟碎片,用于在神兽中兑换火焰鸟,,3,,11,0,4,35;90,,,1146,,,,,,,,,,,,,,,,,,
2214,赫拉克罗斯碎片,用于在神兽中兑换赫拉克罗斯,,3,,11,0,4,35;90,,,1214,,,,,,,,,,,,,,,,,,
2243,雷公碎片,用于在神兽中兑换雷公,,3,,11,0,4,35;90,,,1243,,,,,,,,,,,,,,,,,,
2244,炎帝碎片,用于在神兽中兑换炎帝,,3,,11,0,4,35;90,,,1244,,,,,,,,,,,,,,,,,,
2245,水君碎片,用于在神兽中兑换水君,,3,,11,0,4,35;90,,,1245,,,,,,,,,,,,,,,,,,
2150,超梦碎片,用于在神兽中兑换超梦,,4,,11,0,4,35,,,1150,,,,,,,,,,,,,,,,,,
2151,梦幻碎片,用于在神兽中兑换梦幻,,4,,11,0,4,35,,,1151,,,,,,,,,,,,,,,,,,
2249,洛奇亚碎片,用于在神兽中兑换洛奇亚,,4,,11,0,4,35,,,1249,,,,,,,,,,,,,,,,,,
2250,凤王碎片,用于在神兽中兑换凤王,,4,,11,0,4,35,,,1250,,,,,,,,,,,,,,,,,,
