自排序ID,礼包名,礼包描述,礼包内容（道具id;数量｜道具id;数量)
number,string,string,string
id,name,sec,content
1,新手礼包,"钻石*66,奶酪*5,金币*200000",2;66|12001;5|1;200000
2,特权礼包,"大嘴蝠碎片*40,奶酪*10,金币*200000",1042;1|12001;10|1;200000
3,首发礼包,"紫色万能碎片*40,奶酪*15,金币*200000",10086;40|12001;15|1;200000
4,老玩家礼包,"橙色宠物蛋*1,高级晋升卡*5,个体洗练石*5,努力石小福袋*10,金币*500000",430001;1|10022;5|12201;5|10143;10|1;500000
5,加群礼包,"万能铃铛*10,蜂蜜*20,特级经验卡*5",10089;10|12003;20|10013;5
6,豪华礼包,"橙色万能碎片*40,蜂蜜*30,特级经验卡*20",10087;40|12003;30|10013;20
7,精英礼包,"钻石*88,蜂蜜*40,特级经验卡*15",2;88|12003;40|10013;15
8,参与礼包,"精灵球*10,奶酪*5,低阶进化卡*10",13001;10|12001;5|12151;10
9,媒体礼包,"道馆币*2000,奶酪*10,低阶进化卡*15",10040;2000|12001;10|12151;15
10,微信礼包,"精灵球*3,奶酪*15,低阶进化卡*20",13001;3|12001;15|12151;20
11,官网礼包,"蜂蜜*100,低阶进化卡*25,中阶进化卡*5",12003;100|12151;25|12152;5
12,寒假礼包,"钻石*88,低阶进化卡*30,中阶进化卡*10",2;88|12151;30|12152;10
13,春节礼包,"钻石*288,低阶进化卡*35,中阶进化卡*15",2;288|12151;35|12152;15
14,活动礼包1,紫色宠物蛋*1，金币*100000,1;100000|420001;1
15,活动礼包2,"火红不倒翁*1,金币*150000",1;150000|1554;1
16,活动礼包3,燕返·Ⅵ，金币*150000,1;150000|812006;1
17,活动礼包4,大师球*2，金币*200000,1;220000|13003;2
18,活动礼包5,"万能铃铛*30,钻石*188",2;188|10089;30
19,预约礼包,"诅咒·Ⅴ*1,钻石*68,精灵球*5,性格洗练石*5",808405;1|2;68|13001;5|12211;5
20,预约礼包,"钻石*88,精灵球*5,初级进化卡*50,携带品宝箱*5",2;88|13001;5|12151;50|10601;5
21,预约礼包,"精灵球*5,蓝水晶*200,普通进化福袋*10,金币*20W",13001;5|6;200|10112;10|1;200000
22,预约礼包,"钻石*88,精灵球*5,初级进化卡*50,携带品宝箱*5",2;88|13001;5|12151;50|10601;5
23,活动礼包1,"精灵球*5,蓝水晶*200,普通进化福袋*10,金币*20W",13001;5|6;200|10112;10|1;200000
24,活动礼包2,"低级进化卡*100,蓝水晶*100,努力石小福袋*5,金币*20W",12151;100|6;100|10143;5|1;200000
25,活动礼包3,"钻石*88,蓝水晶*100,特级经验卡*5,金币*20W",2;88|6;100|10013;5|1;1;200000
26,活动礼包4,"亲密度果实*50,蓝水晶*100,普通进化福袋*10,金币*20W",12001;50|6;100|10112;10|1;200000
27,活动礼包5,"个体洗练石*2,蓝水晶*100,高级晋升卡*3,金币*20W",12201;2|6;100|10022;3|1;200000
28,uc特权礼包,"称号*1,金币10万",6030;1|1;100000
29,微信推送礼包,"钻石*288,万能铃铛*30,金币100万,蓝水晶100，精灵球*5",2;288|10089;30|1;1000000|6;100|13001;5
30,情人节礼包,宠物蛋*1,430001;1
31,18183独家活动礼包,"钻石*88,低阶进化卡*30,奶酪*5",2;88|12151;30|12001;5
32,微信新春礼包,"钻石*88,万能铃铛*30",2;88|10089;30
33,微信情人节礼包,"钻石*88,蓝水晶*500",2;88|6;500
34,能量起源专属礼包,"精灵球5,金币*100000,普通进化福袋10,努力石小福袋10",13001;5|1;100000|10112;10|10143;10
