掉落ID,id分段注释,掉落权重,掉落ID,掉落数量,,
number,string,number,number,number,,
ID,ZhuShi,Weight,ItemID,ItemCount,,
1,1~100是进化相关,120,12101,1,,
1,,120,12102,1,,
1,,120,12103,1,,
1,,120,12104,1,,
1,,120,12105,1,,
1,,120,12106,1,,
1,,120,12107,1,,
1,,40,12111,1,,
1,,8,12101,2,,
1,,8,12102,2,,
1,,8,12103,2,,
1,,8,12104,2,,
1,,8,12105,2,,
1,,8,12106,2,,
1,,8,12107,2,,
1,,2,12111,2,,
2,,10,12101,1,,
2,,10,12102,1,,
2,,10,12103,1,,
2,,10,12104,1,,
2,,10,12105,1,,
2,,10,12106,1,,
2,,10,12107,1,,
2,,10,12108,1,,
2,,10,12109,1,,
2,,10,12121,1,,
2,,10,12122,1,,
2,,10,12123,1,,
2,,10,12124,1,,
2,,10,12125,1,,
2,,10,12126,1,,
2,,10,12127,1,,
2,,10,12128,1,,
2,,10,12129,1,,
3,,10,12101,3,,
3,,10,12102,3,,
3,,10,12103,3,,
3,,10,12104,3,,
3,,10,12105,3,,
3,,10,12106,3,,
3,,10,12107,3,,
3,,10,12108,3,,
3,,10,12109,3,,
3,,10,12121,3,,
3,,10,12122,3,,
3,,10,12123,3,,
3,,10,12124,3,,
3,,10,12125,3,,
3,,10,12126,3,,
3,,10,12127,3,,
3,,10,12128,3,,
3,,10,12129,3,,
4,,10,12101,5,,
4,,10,12102,5,,
4,,10,12103,5,,
4,,10,12104,5,,
4,,10,12105,5,,
4,,10,12106,5,,
4,,10,12107,5,,
4,,10,12108,5,,
4,,10,12109,5,,
4,,10,12121,5,,
4,,10,12122,5,,
4,,10,12123,5,,
4,,10,12124,5,,
4,,10,12125,5,,
4,,10,12126,5,,
4,,10,12127,5,,
4,,10,12128,5,,
4,,10,12129,5,,
101,101~200是携带品相关,100,700101,1,,
101,,100,700102,1,,
101,,100,700103,1,,
101,,100,700104,1,,
101,,100,700201,1,,
101,,100,700202,1,,
101,,100,700203,1,,
101,,100,700204,1,,
101,,100,700301,1,,
101,,100,700302,1,,
101,,100,700303,1,,
101,,100,700304,1,,
101,,6,700401,2,,
101,,6,700402,2,,
101,,6,700403,2,,
101,,6,700404,2,,
101,,6,700101,2,,
101,,6,700102,2,,
101,,6,700103,2,,
101,,6,700104,2,,
101,,6,700101,2,,
101,,6,700102,2,,
101,,6,700103,2,,
101,,6,700104,2,,
201,201~300是红宠相关,100,2150,1,,
201,,100,2151,1,,
201,,100,2249,1,,
201,,100,2250,1,,
201,,100,2251,1,,
201,,100,2382,1,,
