掉落ID,id分段注释,掉落权重,掉落ID,掉落数量
number,string,number,number,number
ID,ZhuShi,Weight,ItemID,ItemCount
1,1~100是爬塔,15,12101,5
1,,40,12151,5
1,,40,12152,5
1,,150,13031,30
1,,150,13032,30
1,,150,13033,30
1,,150,13034,30
1,,150,13035,30
11,,15,12102,5
11,,40,12151,5
11,,40,12152,5
11,,150,13031,30
11,,150,13032,30
11,,150,13033,30
11,,150,13034,30
11,,150,13035,30
21,,15,12103,5
21,,40,12151,5
21,,40,12152,5
21,,150,13031,30
21,,150,13032,30
21,,150,13033,30
21,,150,13034,30
21,,150,13035,30
31,,15,12104,5
31,,40,12151,5
31,,40,12152,5
31,,150,13031,30
31,,150,13032,30
31,,150,13033,30
31,,150,13034,30
31,,150,13035,30
41,,15,12105,5
41,,40,12151,5
41,,40,12152,5
41,,150,13031,30
41,,150,13032,30
41,,150,13033,30
41,,150,13034,30
41,,150,13035,30
51,,15,12106,5
51,,40,12151,5
51,,40,12152,5
51,,150,13031,30
51,,150,13032,30
51,,150,13033,30
51,,150,13034,30
51,,150,13035,30
61,,15,12107,5
61,,40,12151,5
61,,40,12152,5
61,,150,13031,30
61,,150,13032,30
61,,150,13033,30
61,,150,13034,30
61,,150,13035,30
1001,1001~2001是挂机神兽,150,601144,1
1001,,150,6,200
1002,,150,601145,1
1002,,150,6,200
1003,,150,601146,1
1003,,150,6,200
1004,,150,601377,1
1004,,150,6,200
1005,,150,601378,1
1005,,150,6,200
1006,,150,601379,1
1006,,150,6,200
1007,,150,601641,1
1007,,150,6,200
1008,,150,601642,1
1008,,150,6,200
1009,,150,601645,1
1009,,150,6,200
2001,2001~2999是公会boss掉落,100,601062,1
2001,百位是建筑类型，十位是档次等级，个位是掉落种类,100,6,100
2002,,100,3,10000
2002,,100,3,20000
2003,,220,13031,3
2003,,220,13032,3
2003,,220,13033,3
2003,,220,13034,3
2003,,220,13035,3
2003,,550,12002,10
2003,,550,12002,20
2003,,100,700101,1
2003,,100,700102,1
2003,,100,700103,1
2003,,100,700104,1
2003,,100,700201,1
2003,,100,700202,1
2003,,100,700203,1
2003,,100,700204,1
2003,,100,700301,1
2003,,100,700302,1
2003,,100,700303,1
2011,,100,601062,1
2011,,100,6,200
2012,,100,3,20000
2012,,100,3,40000
2013,,220,13031,3
2013,,220,13032,3
2013,,220,13033,3
2013,,220,13034,3
2013,,220,13035,3
2013,,550,12004,10
2013,,550,12004,20
2013,,100,700101,1
2013,,100,700102,1
2013,,100,700103,1
2013,,100,700104,1
2013,,100,700201,1
2013,,100,700202,1
