充值自增长ID(按这个排序),等级,物品（id;数量|id;数量）
number,number,string
ID,Lv,Item
1,10,2;20|1;200000|10012;5
2,15,2;30|1;300000|10012;5
3,20,2;40|1;400000|10012;8
4,25,2;50|1;500000|10012;8
5,30,2;60|1;600000|10012;10|601381;20
6,35,2;70|1;700000|10012;10|601381;20
7,40,2;80|1;800000|10012;10|601381;20
8,45,2;90|1;900000|10012;15|601381;20
9,50,2;100|1;1000000|10012;15|601381;20
10,55,2;110|1;1100000|10012;15|601381;20
11,60,2;120|1;1200000|10012;20|601381;20
12,65,2;130|1;1300000|10012;20|601381;20
13,70,2;140|1;1400000|10012;20|601381;20
14,75,2;150|1;1500000|10012;25|601381;20
15,80,2;160|1;1600000|10012;25|601381;20
16,85,2;170|1;1700000|10012;25|601381;20
17,90,2;180|1;300000|10012;30|601381;20
18,95,2;190|1;300000|10012;30|601381;20
19,100,2;200|1;300000|10012;30|601381;20
