所属章节ID,道具ID,最小道具数量,最大道具数量,出现权重,集字活动掉落(普通lootid;数量|lootid;数量）,中秋集字掉落(普通lootid;数量|lootid;数量）,出现时间（1=白天，2=夜晚，12=全天候）
number,number,number,number,number,string,string,number
ID,ItemID,MinCount,MaxCount,Prob,NormalCollectLoot,FestivalCollectLoot,Time
1,12109,1,1,100,10010001;1,10010005;1,12
1,10011,3,3,300,10010001;1,10010005;1,12
1,10012,1,1,100,10010001;1,10010005;1,12
1,10001,5,5,300,10010001;1,10010005;1,12
1,10002,3,3,100,10010001;1,10010005;1,12
1,19002,1,2,300,10010001;1,10010005;1,12
1,12001,10,10,300,10010001;1,10010005;1,12
1,12002,10,10,100,10010001;1,10010005;1,12
2,12103,1,1,100,10010001;1,10010005;1,12
2,10011,3,3,300,10010001;1,10010005;1,12
2,10012,1,1,100,10010001;1,10010005;1,12
2,10001,5,5,300,10010001;1,10010005;1,12
2,10002,3,3,100,10010001;1,10010005;1,12
2,19002,1,2,300,10010001;1,10010005;1,12
2,12001,10,10,300,10010001;1,10010005;1,12
2,12002,10,10,100,10010001;1,10010005;1,12
3,12102,1,1,100,10010001;1,10010005;1,12
3,10011,3,3,300,10010001;1,10010005;1,12
3,10012,1,1,100,10010001;1,10010005;1,12
3,10001,5,5,300,10010001;1,10010005;1,12
3,10002,3,3,100,10010001;1,10010005;1,12
3,19002,1,2,300,10010001;1,10010005;1,12
3,12001,10,10,300,10010001;1,10010005;1,12
3,12002,10,10,100,10010001;1,10010005;1,12
4,12101,1,1,100,10010001;1,10010005;1,12
4,10011,3,3,300,10010001;1,10010005;1,12
4,10012,1,1,100,10010001;1,10010005;1,12
4,10001,5,5,300,10010001;1,10010005;1,12
4,10002,3,3,100,10010001;1,10010005;1,12
4,19002,1,2,300,10010001;1,10010005;1,12
4,12001,10,10,300,10010001;1,10010005;1,12
4,12002,10,10,100,10010001;1,10010005;1,12
5,12126,1,1,100,10010001;1,10010005;1,12
5,10011,3,3,300,10010001;1,10010005;1,12
5,10012,1,1,100,10010001;1,10010005;1,12
5,10001,5,5,300,10010001;1,10010005;1,12
5,10002,3,3,100,10010001;1,10010005;1,12
5,19002,1,2,300,10010001;1,10010005;1,12
5,12001,10,10,300,10010001;1,10010005;1,12
5,12002,10,10,100,10010001;1,10010005;1,12
6,12104,1,1,100,10010001;1,10010005;1,12
6,10011,3,3,300,10010001;1,10010005;1,12
6,10012,1,1,100,10010001;1,10010005;1,12
6,10001,5,5,300,10010001;1,10010005;1,12
