探索块id,块注释,块类型(0或不填是不能直接挖 1.普通 2.占领 3.战斗),块图标(可为空),块挖后图标(可为空),块挖掘消耗时间(秒;0为不可挖),占领矿收取时间(小时),块loot,活动掉落
number,string,number,string,string,number,number,number,number
id,ZHUSHI,cubeType,cubeIcon,cubeLastIcon,costTime,getTime,lootID,festivalLoot
1,1~100为空块,1,,,1,,,
2,,1,,,1,,,
3,,1,,,1,,,
4,,1,,,1,,,
5,,1,,,1,,,
101,101~200为装备强化石,1,,,1,,1,
102,,1,,,1,,2,
103,,1,,,1,,4,
104,,1,,,1,,6,
105,,1,,,1,,8,
106,,1,,,1,,10,
107,,1,,,1,,13,
108,,1,,,1,,16,
109,,1,,,1,,19,
110,,1,,,1,,22,
111,,1,,,1,,25,
112,,1,,,1,,28,
113,,1,,,1,,31,
114,,1,,,1,,34,
115,,1,,,1,,37,
116,,1,,,1,,40,
117,,1,,,1,,50,
118,,1,,,1,,60,
119,,1,,,1,,70,
120,,1,,,1,,80,
121,,1,,,1,,90,
122,,1,,,1,,100,
201,201~301为装备附魔药水,1,,,1,,1000,
202,,1,,,1,,1002,
203,,1,,,1,,1004,
204,,1,,,1,,1006,
205,,1,,,1,,1008,
206,,1,,,1,,1010,
207,,1,,,1,,1013,
208,,1,,,1,,1016,
209,,1,,,1,,1019,
210,,1,,,1,,1022,
211,,1,,,1,,1025,
212,,1,,,1,,1028,
213,,1,,,1,,1031,
214,,1,,,1,,1034,
215,,1,,,1,,1037,
216,,1,,,1,,1040,
217,,1,,,1,,1050,
218,,1,,,1,,1060,
219,,1,,,1,,1070,
220,,1,,,1,,1080,
221,,1,,,1,,1090,
222,,1,,,1,,1100,
301,301~400为进化相关,1,,,1,,2000,
302,,1,,,1,,2002,
303,,1,,,1,,2004,
304,,1,,,1,,2006,
305,,1,,,1,,2008,
306,,1,,,1,,2010,
307,,1,,,1,,2013,
308,,1,,,1,,2016,
309,,1,,,1,,2019,
310,,1,,,1,,2022,
311,,1,,,1,,2025,
312,,1,,,1,,2028,
313,,1,,,1,,2031,
314,,1,,,1,,2034,
315,,1,,,1,,2037,
316,,1,,,1,,2040,
317,,1,,,1,,2050,
318,,1,,,1,,2060,
319,,1,,,1,,2070,
320,,1,,,1,,2080,
321,,1,,,1,,2090,
322,,1,,,1,,2100,
401,401~500为努力值道具,1,,,1,,3000,
402,,1,,,1,,3002,
403,,1,,,1,,3004,
404,,1,,,1,,3006,
405,,1,,,1,,3008,
406,,1,,,1,,3010,
407,,1,,,1,,3013,
408,,1,,,1,,3016,
409,,1,,,1,,3019,
410,,1,,,1,,3022,
411,,1,,,1,,3025,
412,,1,,,1,,3028,
413,,1,,,1,,3031,
414,,1,,,1,,3034,
415,,1,,,1,,3037,
416,,1,,,1,,3040,
417,,1,,,1,,3050,
418,,1,,,1,,3060,
419,,1,,,1,,3070,
420,,1,,,1,,3080,
