矿洞id,矿洞等级,资源类别(道具ID),储量,总采集时间（秒）,采集效率（每小时采集的数量）,掠夺比例,保护时间（秒）,搜索权重1（搜索野生矿坑）,搜索权重2（搜索有玩家的矿坑）,看守怪物(怪物能力表）
number,number,number,number,number,double,double,number,number,number,number
Id,Lv,Type,Reserves,Time,Efficiency,Proportion,ProtectionTime,Weight1,Weight2,monster
1,1,2,30,14400,7.5,0.33,7200,100,400,125
2,2,2,40,14400,10,0.33,7200,100,400,145
3,3,2,50,14400,12.5,0.33,7200,100,400,165
4,4,2,60,14400,15,0.33,7200,100,400,185
5,5,2,75,21600,12.5,0.33,7200,100,400,205
6,6,2,90,21600,15,0.33,7200,100,400,225
7,7,2,100,28800,12.5,0.33,7200,100,400,245
8,8,2,120,28800,15,0.33,7200,100,400,265
9,9,2,150,43200,12.5,0.33,7200,100,400,285
10,10,2,180,43200,15,0.33,7200,100,400,305
11,1,1,100000,14400,25000,0.33,7200,400,200,105
12,2,1,150000,14400,37500,0.33,7200,400,200,130
13,3,1,200000,14400,50000,0.33,7200,400,200,150
14,4,1,250000,14400,62500,0.33,7200,400,200,170
15,5,1,300000,21600,50000,0.33,7200,400,200,190
16,6,1,375000,21600,62500,0.33,7200,400,200,210
17,7,1,400000,28800,50000,0.33,7200,400,200,230
18,8,1,500000,28800,62500,0.33,7200,400,200,250
19,9,1,600000,43200,50000,0.33,7200,400,200,270
20,10,1,750000,43200,62500,0.33,7200,400,200,290
21,1,12503,180,14400,45,0.33,7200,400,200,120
22,2,12503,240,14400,60,0.33,7200,400,200,140
23,3,12503,300,14400,75,0.33,7200,400,200,160
24,4,12503,360,14400,90,0.33,7200,400,200,180
25,5,12503,450,21600,75,0.33,7200,400,200,200
26,6,12503,540,21600,90,0.33,7200,400,200,220
27,7,12503,600,28800,75,0.33,7200,400,200,240
28,8,12503,720,28800,90,0.33,7200,400,200,260
29,9,12503,900,43200,75,0.33,7200,400,200,280
30,10,12503,1080,43200,90,0.33,7200,400,200,300
31,1,12500,180,14400,45,0.33,7200,400,200,115
32,2,12500,240,14400,60,0.33,7200,400,200,140
33,3,12500,300,14400,75,0.33,7200,400,200,160
34,4,12500,360,14400,90,0.33,7200,400,200,180
35,5,12500,450,21600,75,0.33,7200,400,200,200
36,6,12500,540,21600,90,0.33,7200,400,200,220
37,7,12500,600,28800,75,0.33,7200,400,200,240
38,8,12500,720,28800,90,0.33,7200,400,200,260
39,9,12500,900,43200,75,0.33,7200,400,200,280
40,10,12500,1080,43200,90,0.33,7200,400,200,300
41,1,6,180,14400,45,0.33,7200,400,200,110
42,2,6,240,14400,60,0.33,7200,400,200,135
43,3,6,300,14400,75,0.33,7200,400,200,155
44,4,6,360,14400,90,0.33,7200,400,200,175
45,5,6,450,21600,75,0.33,7200,400,200,195
46,6,6,540,21600,90,0.33,7200,400,200,215
47,7,6,600,28800,75,0.33,7200,400,200,235
48,8,6,720,28800,90,0.33,7200,400,200,255
49,9,6,900,43200,75,0.33,7200,400,200,275
50,10,6,1080,43200,90,0.33,7200,400,200,295
