id,关卡,奖励,任务名,任务描述
number,number,string,string,string
id,mission,rewawrd,taskName,taskDetail
14001,25,13011;10,突破关卡,通过第25关
14002,50,10003;5,突破关卡,通过第50关
14003,75,10013;5,突破关卡,通过第75关
14004,100,601089;120,突破关卡,通过第100关
14005,125,13004;10,突破关卡,通过第125关
14006,150,10089;30,突破关卡,通过第150关
14007,175,10003;10,突破关卡,通过第175关
14008,200,10087;20,突破关卡,通过第200关
14009,225,13011;20,突破关卡,通过第225关
14010,250,10183;2,突破关卡,通过第250关
14011,275,10101;15,突破关卡,通过第275关
14012,300,12111;100,突破关卡,通过第300关
14013,325,10145;10,突破关卡,通过第325关
14014,350,601065;120,突破关卡,通过第350关
14015,375,10114;10,突破关卡,通过第375关
14016,400,10087;25,突破关卡,通过第400关
14017,425,10145;15,突破关卡,通过第425关
14018,450,10309;20,突破关卡,通过第450关
14019,475,10114;15,突破关卡,通过第475关
14020,500,13003;1,突破关卡,通过第500关
14021,525,10089;45,突破关卡,通过第525关
14022,550,10309;30,突破关卡,通过第550关
14023,575,12111;100,突破关卡,通过第575关
14024,600,10361;1,突破关卡,通过第600关
14025,625,10101;20,突破关卡,通过第625关
14026,650,15001;1,突破关卡,通过第650关
14027,675,13066;200,突破关卡,通过第675关
14028,700,10090;20,突破关卡,通过第700关
14029,725,13061;15,突破关卡,通过第725关
14030,750,6;2500,突破关卡,通过第750关
14031,775,13066;500,突破关卡,通过第775关
14032,800,10360;1,突破关卡,通过第800关
14033,825,13062;5,突破关卡,通过第825关
14034,850,10309;50,突破关卡,通过第850关
14035,875,12301;100,突破关卡,通过第875关
14036,900,10090;30,突破关卡,通过第900关
14037,925,13061;30,突破关卡,通过第925关
14038,950,13066;500,突破关卡,通过第950关
14039,975,13062;10,突破关卡,通过第975关
14040,1000,13003;1,突破关卡,通过第1000关
