商品ID,购买次数限制(不填没限制）,商品id（道具id,购买价格（道具id；数量）,走马灯标记
number,number,string,string,number
id,countLimit,goods,price,notify
1,1,12101;10,2;160,
2,1,12102;10,2;160,
3,1,12103;10,2;160,
4,1,12104;10,2;160,
5,1,12105;10,2;160,
6,1,12106;10,2;160,
7,1,12107;10,2;160,
8,1,12108;10,2;160,
9,1,12109;10,2;160,
10,1,12121;10,2;160,
11,1,12122;10,2;160,
12,1,12123;10,2;160,
13,1,12124;10,2;160,
14,1,12125;10,2;160,
15,1,12126;10,2;160,
16,1,12127;10,2;160,
17,1,12128;10,2;160,
18,1,12129;10,2;160,
19,1,12101;20,2;320,
20,1,12102;20,2;320,
21,1,12103;20,2;320,
22,1,12104;20,2;320,
23,1,12105;20,2;320,
24,1,12106;20,2;320,
25,1,12107;20,2;320,
26,1,12108;20,2;320,
27,1,12109;20,2;320,
28,1,12121;20,2;320,
29,1,12122;20,2;320,
30,1,12123;20,2;320,
31,1,12124;20,2;320,
32,1,12125;20,2;320,
33,1,12126;20,2;320,
34,1,12127;20,2;320,
35,1,12128;20,2;320,
36,1,12129;20,2;320,
37,1,12101;30,2;480,
38,1,12102;30,2;480,
39,1,12103;30,2;480,
40,1,12104;30,2;480,
41,1,12105;30,2;480,
42,1,12106;30,2;480,
43,1,12107;30,2;480,
44,1,12108;30,2;480,
45,1,12109;30,2;480,
46,1,12121;30,2;480,
47,1,12122;30,2;480,
48,1,12123;30,2;480,
49,1,12124;30,2;480,
50,1,12125;30,2;480,
51,1,12126;30,2;480,
52,1,12127;30,2;480,
53,1,12128;30,2;480,
54,1,12129;30,2;480,
55,1,12004;10,2;20,
56,1,12004;10,2;20,
57,1,12004;10,2;20,
58,1,12004;10,2;20,
59,1,12004;25,2;50,
63,1,12004;25,2;50,
64,1,12004;25,2;50,
65,1,12004;10,2;20,
66,1,12004;25,2;50,
67,1,12004;50,2;100,
71,1,12004;50,2;100,
72,1,12004;50,2;100,
73,1,12004;50,2;100,
74,1,12004;50,2;100,
75,1,12004;75,2;150,
76,1,12004;75,2;150,
77,1,12004;75,2;150,
78,1,12004;90,2;180,
