序号,矿洞区域,矿洞底图,位置,星级,开采人数,资源类别,开采效率（每小时）,总开采时间（小时）,看守怪物(怪物能力表）,屏幕坐标
number,number,number,number,number,number,number,number,number,string,string
ID,Zone,Picture,Place,Star,Number,Type,Efficiency,Time,Monster,Position
10111,1,1,1,1,3,10012,10,12,125|225|245,"50,67"
10112,1,1,2,1,3,10012,10,12,145|265|285,"5,340"
10123,1,1,3,2,2,10012,10,12,165|125,"479,89"
10124,1,1,4,2,2,10012,10,12,185|145,"430,253"
10135,1,1,5,3,1,10012,10,12,205,"187,368"
10211,2,2,1,1,3,2,10,12,225|125|145,"32,248"
10222,2,2,2,2,2,2,10,12,245|205,"260,116"
10233,2,2,3,3,1,2,10,12,265,"481,374"
10311,3,3,1,1,3,12151,10,12,285|125|145,"30,0"
10312,3,3,2,1,3,12151,10,12,305|165|185,"300,0"
10323,3,3,3,2,2,12151,10,12,125|165,"480,97"
10324,3,3,4,2,2,12151,10,12,145|185,"60,400"
10335,3,3,5,3,1,12151,10,12,165,"347,360"
10411,4,4,1,1,3,1,50000,12,185|305|125,"162,0"
10412,4,4,2,1,3,1,50000,12,205|165|145,"412,78"
10413,4,4,3,1,3,1,50000,12,225|125|305,"254,395"
10424,4,4,4,2,2,1,50000,12,245|285,"460,261"
10425,4,4,5,2,2,1,50000,12,265|225,"180,600"
10436,4,4,6,3,1,1,50000,12,285,"413,471"
10511,5,5,1,1,3,12152,5,12,305|165|185,"0,40"
10512,5,5,2,1,3,12152,5,12,285|125|145,"370,40"
10523,5,5,3,2,2,12152,5,12,125|165,"75,350"
10524,5,5,4,2,2,12152,5,12,145|185,"340,265"
10535,5,5,5,3,1,12152,5,12,165,"337,500"
10611,6,6,1,1,3,10089,10,12,205|165|145,"30,108"
10612,6,6,2,1,3,10089,10,12,225|125|305,"300,10"
10623,6,6,3,2,2,10089,10,12,245|285,"30,440"
10624,6,6,4,2,2,10089,10,12,265|225,"263,445"
10635,6,6,5,3,1,10089,10,12,285,"416,533"
10711,7,7,1,1,3,6,30,12,125|225|245,"41,486"
10712,7,7,2,1,3,6,30,12,145|265|285,"186,213"
10723,7,7,3,2,2,6,30,12,165|125,"250,0"
10734,7,7,4,3,1,6,30,12,165,"418,86"
