碎片道具ID,万能碎片数量,可获得宝可梦碎片数量,注释
number,string,number,string
Fdebris,FDebrisCount,TDebrisCount,Inco
601015,10087;1,1,大针蜂碎片
601018,10087;1,1,大比鸟碎片
601026,10087;1,1,雷丘碎片
601031,10087;1,1,尼多后碎片
601034,10087;1,1,尼多王碎片
601038,10087;1,1,九尾碎片
601059,10087;1,1,风速狗碎片
601062,10087;1,1,快泳蛙碎片
601068,10087;1,1,怪力碎片
601073,10087;1,1,毒刺水母碎片
601078,10087;1,1,烈焰马碎片
601091,10087;1,1,铁甲贝碎片
601103,10087;1,1,椰蛋树碎片
601115,10087;1,1,袋兽碎片
601130,10087;1,1,暴鲤龙碎片
601134,10087;1,1,水伊布碎片
601135,10087;1,1,雷伊布碎片
601136,10087;1,1,火伊布碎片
601142,10087;1,1,化石翼龙碎片
601143,10087;1,1,卡比兽碎片
601169,10087;1,1,叉字蝠碎片
601181,10087;1,1,电龙碎片
601186,10087;1,1,蚊香蛙皇碎片
601196,10087;1,1,太阳伊布碎片
601197,10087;1,1,月亮伊布碎片
601199,10087;1,1,呆呆王碎片
601208,10087;1,1,大钢蛇碎片
601229,10087;1,1,黑鲁加碎片
601230,10087;1,1,刺龙王碎片
601242,10087;1,1,幸福蛋碎片
601275,10087;1,1,狡猾天狗碎片
601282,10087;1,1,沙奈朵碎片
601292,10087;1,1,脱壳忍者碎片
601302,10087;1,1,勾魂眼碎片
601303,10087;1,1,大嘴娃碎片
601306,10087;1,1,波士可多拉碎片
601308,10087;1,1,恰雷姆碎片
601310,10087;1,1,雷电兽碎片
601319,10087;1,1,巨牙鲨碎片
601321,10087;1,1,吼鲸王碎片
601323,10087;1,1,喷火驼碎片
601334,10087;1,1,七夕青鸟碎片
601354,10087;1,1,诅咒娃娃碎片
601359,10087;1,1,阿勃梭鲁碎片
601362,10087;1,1,冰鬼护碎片
601426,10087;1,1,随风球碎片
601428,10087;1,1,长耳兔碎片
601460,10087;1,1,暴雪王碎片
601461,10087;1,1,玛狃拉碎片
601462,10087;1,1,自爆磁怪碎片
601464,10087;1,1,超铁暴龙碎片
601466,10087;1,1,电击魔兽碎片
601468,10087;1,1,波克基斯碎片
601470,10087;1,1,叶伊布碎片
601471,10087;1,1,冰伊布碎片
601991,10087;1,1,鬼伊布碎片
601475,10087;1,1,艾路雷朵碎片
601477,10087;1,1,黑夜魔灵碎片
601478,10087;1,1,雪妖女碎片
601479,10087;1,1,洛托姆碎片
601480,10087;1,1,电冰箱碎片
601481,10087;1,1,洗衣机碎片
601482,10087;1,1,电风扇碎片
601483,10087;1,1,除草机碎片
601484,10087;1,1,微波炉碎片
601531,10087;1,1,差不多娃娃碎片
601549,10087;1,1,裙儿小姐碎片
601563,10087;1,1,死神棺碎片
601623,10087;1,1,泥偶巨人碎片
601900,10087;1,1,天气小子碎片
601901,10087;1,1,水系小子碎片
601902,10087;1,1,冰系小子碎片
601903,10087;1,1,太阳小子碎片
601473,10087;1,1,象牙猪碎片
601330,10087;1,1,沙漠蜻蜓碎片
601346,10087;1,1,摇篮百合碎片
601357,10087;1,1,热带龙碎片
601365,10087;1,1,帝牙海狮碎片
601442,10087;1,1,花岩怪碎片
601537,10087;1,1,蟾蜍王碎片
601542,10087;1,1,保姆虫碎片
601573,10087;1,1,奇诺栗鼠碎片
601609,10087;1,1,水晶灯火灵碎片
601465,10087;1,1,巨蔓藤碎片
601996,10087;1,1,春季鹿碎片
601997,10087;1,1,夏季鹿碎片
601998,10087;1,1,秋季鹿碎片
601999,10087;1,1,冬季鹿碎片
601681,10087;1,1,坚盾剑怪碎片
601121,10087;1,1,宝石海星碎片
601992,10087;1,1,阿罗拉·雷丘碎片
601189,10087;1,1,毽子棉碎片
601232,10087;1,1,顿甲碎片
601452,10087;1,1,龙王蝎碎片
601518,10087;1,1,梦梦蚀碎片
601545,10087;1,1,蜈蚣王碎片
601553,10087;1,1,流氓鳄碎片
601555,10087;1,1,达摩狒狒碎片
601560,10087;1,1,头巾混混碎片
601571,10087;1,1,索罗亚克碎片
601576,10087;1,1,哥德小姐碎片
601584,10087;1,1,双倍多多冰碎片
601630,10087;1,1,秃鹰娜碎片
601614,10087;1,1,冻原熊碎片
601986,10087;1,1,格斗皮卡丘
601987,10087;1,1,贵妇皮卡丘
601988,10087;1,1,学者皮卡丘
601989,10087;1,1,明星皮卡丘
601990,10087;1,1,摇滚皮卡丘
601984,10087;1,1,极冰九尾
601982,10087;1,1,长颈椰蛋树
601012,10086;1,1,巴大蝴碎片
601020,10086;1,1,拉达碎片
