饰品ID,类型,解锁条件（1.主角等级 2.VIP限制)满足条件才能升级,是否可以佩戴（默认（不填）不能佩戴，1可以佩戴）,升级材料ID,升级需要线球数量,下一级饰品ID,饰品名字,等级,效果引用id,前置
number,number,string,number,number,number,number,string,number,number,number
id,type,limitLV,boolEquip,upItems,scoreItems,nextId,name,level,effectId,front
31000,1,1;35,,12401,100,31001,贵族头环,0,301000,
31001,1,1;35,1,12401,180,31002,贵族头环+1,1,301001,
31002,1,1;35,1,12401,270,31003,贵族头环+2,2,301002,
31003,1,1;35,1,12401,370,31004,贵族头环+3,3,301003,
31004,1,1;35,1,12401,480,31005,贵族头环+4,4,301004,
31005,1,1;35,1,12401,600,31006,贵族头环+5,5,301005,
31006,1,1;35,1,12401,730,31007,贵族头环+6,6,301006,
31007,1,1;35,1,12401,870,31008,贵族头环+7,7,301007,
31008,1,1;35,1,12401,1020,31009,贵族头环+8,8,301008,
31009,1,1;35,1,12401,1180,31010,贵族头环+9,9,301009,
31010,1,1;35,1,,,,贵族头环+10,10,301010,
31100,2,1;35,,12401,370,31101,海贼草帽,0,301100,31010
31101,2,1;35,1,12401,480,31102,海贼草帽+1,1,301101,31010
31102,2,1;35,1,12401,600,31103,海贼草帽+2,2,301102,31010
31103,2,1;35,1,12401,730,31104,海贼草帽+3,3,301103,31010
31104,2,1;35,1,12401,870,31105,海贼草帽+4,4,301104,31010
31105,2,1;35,1,12401,1020,31106,海贼草帽+5,5,301105,31010
31106,2,1;35,1,12401,1180,31107,海贼草帽+6,6,301106,31010
31107,2,1;35,1,12401,1350,31108,海贼草帽+7,7,301107,31010
31108,2,1;35,1,12401,1530,31109,海贼草帽+8,8,301108,31010
31109,2,1;35,1,12401,1720,31110,海贼草帽+9,9,301109,31010
31110,2,1;35,1,,,,海贼草帽+10,10,301110,31010
31200,3,1;35,,12401,730,31201,遮阳镜,0,301200,31110
31201,3,1;35,1,12401,870,31202,遮阳镜+1,1,301201,31110
31202,3,1;35,1,12401,1020,31203,遮阳镜+2,2,301202,31110
31203,3,1;35,1,12401,1180,31204,遮阳镜+3,3,301203,31110
31204,3,1;35,1,12401,1350,31205,遮阳镜+4,4,301204,31110
31205,3,1;35,1,12401,1530,31206,遮阳镜+5,5,301205,31110
31206,3,1;35,1,12401,1720,31207,遮阳镜+6,6,301206,31110
31207,3,1;35,1,12401,1920,31208,遮阳镜+7,7,301207,31110
31208,3,1;35,1,12401,2130,31209,遮阳镜+8,8,301208,31110
31209,3,1;35,1,12401,2350,31210,遮阳镜+9,9,301209,31110
31210,3,1;35,1,,,,遮阳镜+10,10,301210,31110
31300,4,1;35,,12401,1180,31301,超越之星,0,301300,31210
31301,4,1;35,1,12401,1350,31302,超越之星+1,1,301301,31210
31302,4,1;35,1,12401,1530,31303,超越之星+2,2,301302,31210
31303,4,1;35,1,12401,1720,31304,超越之星+3,3,301303,31210
31304,4,1;35,1,12401,1920,31305,超越之星+4,4,301304,31210
31305,4,1;35,1,12401,2130,31306,超越之星+5,5,301305,31210
31306,4,1;35,1,12401,2350,31307,超越之星+6,6,301306,31210
31307,4,1;35,1,12401,2580,31308,超越之星+7,7,301307,31210
31308,4,1;35,1,12401,2820,31309,超越之星+8,8,301308,31210
31309,4,1;35,1,12401,3070,31310,超越之星+9,9,301309,31210
31310,4,1;35,1,,,,超越之星+10,10,301310,31210
31400,5,1;35,,12401,1720,31401,丛林之角,0,301400,31310
31401,5,1;35,1,12401,1920,31402,丛林之角+1,1,301401,31310
31402,5,1;35,1,12401,2130,31403,丛林之角+2,2,301402,31310
31403,5,1;35,1,12401,2350,31404,丛林之角+3,3,301403,31310
31404,5,1;35,1,12401,2580,31405,丛林之角+4,4,301404,31310
31405,5,1;35,1,12401,2820,31406,丛林之角+5,5,301405,31310
31406,5,1;35,1,12401,3070,31407,丛林之角+6,6,301406,31310
31407,5,1;35,1,12401,3330,31408,丛林之角+7,7,301407,31310
31408,5,1;35,1,12401,3600,31409,丛林之角+8,8,301408,31310
31409,5,1;35,1,12401,3880,31410,丛林之角+9,9,301409,31310
31410,5,1;35,1,,,,丛林之角+10,10,301410,31310
31500,6,1;35,,12401,2350,31501,恶魔之角,0,301500,31410
31501,6,1;35,1,12401,2580,31502,恶魔之角+1,1,301501,31410
31502,6,1;35,1,12401,2820,31503,恶魔之角+2,2,301502,31410
31503,6,1;35,1,12401,3070,31504,恶魔之角+3,3,301503,31410
31504,6,1;35,1,12401,3330,31505,恶魔之角+4,4,301504,31410
31505,6,1;35,1,12401,3600,31506,恶魔之角+5,5,301505,31410
31506,6,1;35,1,12401,3880,31507,恶魔之角+6,6,301506,31410
31507,6,1;35,1,12401,4170,31508,恶魔之角+7,7,301507,31410
31508,6,1;35,1,12401,4470,31509,恶魔之角+8,8,301508,31410
31509,6,1;35,1,12401,4780,31510,恶魔之角+9,9,301509,31410
31510,6,1;35,1,,,,恶魔之角+10,10,301510,31410
31600,7,1;35,,12401,3070,31601,迷你皇冠,0,301500,31510
31601,7,1;35,1,12401,3330,31602,迷你皇冠+1,1,301501,31510
31602,7,1;35,1,12401,3600,31603,迷你皇冠+2,2,301502,31510
31603,7,1;35,1,12401,3880,31604,迷你皇冠+3,3,301503,31510
31604,7,1;35,1,12401,4170,31605,迷你皇冠+4,4,301504,31510
31605,7,1;35,1,12401,4470,31606,迷你皇冠+5,5,301505,31510
31606,7,1;35,1,12401,4780,31607,迷你皇冠+6,6,301506,31510
31607,7,1;35,1,12401,5100,31608,迷你皇冠+7,7,301507,31510
31608,7,1;35,1,12401,5430,31609,迷你皇冠+8,8,301508,31510
31609,7,1;35,1,12401,5770,31610,迷你皇冠+9,9,301509,31510
31610,7,1;35,1,,,,迷你皇冠+10,10,301510,31510
