机器人ID(对应关卡ID）,机器人排名,阵型,排名增加辅助列
number,number,number,number
id,battleMin,Formation,ZHUSHI
100001,1,40,1
100002,2,140,1
100003,3,240,1
100004,4,340,1
100005,5,440,1
100006,6,39,1
100007,7,139,1
100008,8,239,1
100009,9,339,1
100010,10,439,1
100011,11,38,1
100012,12,138,1
100013,13,238,1
100014,14,338,1
100015,15,438,1
100016,16,37,1
100017,17,137,1
100018,18,237,1
100019,19,337,1
100020,20,437,1
100021,21,36,1
100022,22,136,1
100023,23,236,1
100024,24,336,1
100025,25,436,1
100026,26,35,1
100027,27,135,1
100028,28,235,1
100029,29,335,1
100030,30,435,1
100031,31,34,1
100032,32,134,1
100033,33,234,1
100034,34,334,1
100035,35,434,1
100036,36,33,1
100037,37,133,1
100038,38,233,1
100039,39,333,1
100040,40,433,1
100041,41,32,1
100042,42,132,1
100043,43,232,1
100044,44,332,1
100045,45,432,1
100046,46,31,1
100047,47,131,1
100048,48,231,1
100049,49,331,1
100050,50,431,2
100051,52,30,2
100052,54,130,2
100053,56,230,2
100054,58,330,2
100055,60,430,2
100056,62,29,2
100057,64,129,2
100058,66,229,2
100059,68,329,2
100060,70,429,2
100061,72,28,2
100062,74,128,2
100063,76,228,2
100064,78,328,2
100065,80,428,2
100066,82,27,2
100067,84,127,2
100068,86,227,2
100069,88,327,2
100070,90,427,2
100071,92,26,2
100072,94,126,2
100073,96,226,2
100074,98,326,2
100075,100,426,4
100076,104,25,4
100077,108,125,4
100078,112,225,4
100079,116,325,4
100080,120,425,4
100081,124,24,4
100082,128,124,4
100083,132,224,4
100084,136,324,4
100085,140,424,4
100086,144,23,4
100087,148,123,4
100088,152,223,6
100089,158,323,6
100090,164,423,6
100091,170,22,6
100092,176,122,6
100093,182,222,6
100094,188,322,6
100095,194,422,6
100096,200,21,6
100097,206,121,9
100098,215,221,9
100099,224,321,9
100100,233,421,9
100101,242,20,9
100102,251,120,9
100103,260,220,9
100104,269,320,9
100105,278,420,9
100106,287,19,9
100107,296,119,9
100108,305,219,13
100109,318,319,13
100110,331,419,13
100111,344,18,13
100112,357,118,13
100113,370,218,13
100114,383,318,13
100115,396,418,13
100116,409,17,13
100117,422,117,13
100118,435,217,13
100119,448,317,13
100120,461,417,13
100121,474,16,13
100122,487,116,13
100123,500,216,19
100124,519,316,19
100125,538,416,19
100126,557,15,19
100127,576,115,19
100128,595,215,19
100129,614,315,19
100130,633,415,19
100131,652,15,19
100132,671,115,19
100133,690,215,19
100134,709,315,19
100135,728,415,19
100136,747,15,19
100137,766,115,19
100138,785,215,19
100139,804,315,22
100140,826,415,22
100141,848,15,22
100142,870,115,22
100143,892,215,22
100144,914,315,25
100145,939,415,25
100146,964,15,25
100147,989,115,25
100148,1014,215,25
100149,1039,315,28
100150,1067,415,28
100151,1095,15,28
100152,1123,115,28
100153,1151,215,28
100154,1179,315,31
100155,1210,415,31
100156,1241,15,31
100157,1272,115,31
100158,1303,215,31
100159,1334,315,34
100160,1368,415,34
100161,1402,15,34
100162,1436,115,34
100163,1470,215,34
100164,1504,315,37
100165,1541,415,37
100166,1578,15,37
100167,1615,115,37
100168,1652,215,37
100169,1689,315,40
100170,1729,415,40
100171,1769,15,40
100172,1809,115,40
100173,1849,215,40
100174,1889,315,43
100175,1932,415,43
100176,1975,15,43
100177,2018,115,43
100178,2061,215,43
100179,2104,315,46
100180,2150,415,46
100181,2196,15,46
100182,2242,115,46
100183,2288,215,46
100184,2334,315,49
100185,2383,415,49
100186,2432,15,49
100187,2481,115,49
100188,2530,215,49
100189,2579,315,52
100190,2631,415,52
100191,2683,15,52
100192,2735,115,52
100193,2787,215,52
100194,2839,315,55
100195,2894,415,55
100196,2949,15,55
100197,3004,115,55
100198,3059,215,55
100199,3114,315,58
100200,3172,415,58
100201,3230,15,58
100202,3288,115,58
100203,3346,215,58
100204,3404,315,61
100205,3465,415,61
100206,3526,15,61
100207,3587,115,61
100208,3648,215,61
100209,3709,315,64
100210,3773,415,64
100211,3837,15,64
100212,3901,115,64
100213,3965,215,64
100214,4029,315,67
100215,4096,415,67
100216,4163,15,67
100217,4230,115,67
100218,4297,215,67
100219,4364,315,70
100220,4434,415,70
100221,4504,15,70
100222,4574,115,70
100223,4644,215,70
100224,4714,315,73
100225,4787,415,73
100226,4860,15,73
100227,4933,115,73
100228,5006,215,73
100229,5079,315,76
100230,5155,415,76
