属性ID（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼 9.普通 10.电 11.虫 12.飞行 13.地面 14.岩石 15.格斗 16.超能 17.钢 18.毒）,排名,关卡怪物ID（from 怪物能力表）,角色ID（from 人物角色表）,角色名字,获得奖励（道具ID1;数量1|ID2;数量2）,战斗力
number,number,number,number,string,string,string
attribute,rank,PokemonID,HeroID,name,Loots,CombatNum
1,1,5300101,5013,火之神,12101;20|12111;15|1;200000,30万
1,2,5300201,5013,火之王,12101;15|12111;12|1;150000,28万
1,3,5300301,5013,火之公,12101;12|12111;10|1;120000,26万
1,4,5300401,5013,火之候,12101;10|12111;8|1;100000,24万
1,5,5300501,5013,火之伯,12101;8|12111;7|1;80000,22万
1,6,5300601,5013,火之子,12101;7|12111;6|1;60000,20万
1,7,5300701,5013,火之男,12101;6|12111;5|1;50000,18万
2,1,5300102,5015,水之神,12102;20|12111;15|1;200000,30万
2,2,5300202,5015,水之王,12102;15|12111;12|1;150000,28万
2,3,5300302,5015,水之公,12102;12|12111;10|1;120000,26万
2,4,5300402,5015,水之候,12102;10|12111;8|1;100000,24万
2,5,5300502,5015,水之伯,12102;8|12111;7|1;80000,22万
2,6,5300602,5015,水之子,12102;7|12111;6|1;60000,20万
2,7,5300702,5015,水之男,12102;6|12111;5|1;50000,18万
3,1,5300103,5006,草之神,12103;20|12111;15|1;200000,30万
3,2,5300203,5006,草之王,12103;15|12111;12|1;150000,28万
3,3,5300303,5006,草之公,12103;12|12111;10|1;120000,26万
3,4,5300403,5006,草之候,12103;10|12111;8|1;100000,24万
3,5,5300503,5006,草之伯,12103;8|12111;7|1;80000,22万
3,6,5300603,5006,草之子,12103;7|12111;6|1;60000,20万
3,7,5300703,5006,草之男,12103;6|12111;5|1;50000,18万
4,1,5300104,5003,妖精之神,12104;20|12111;15|1;200000,30万
4,2,5300204,5003,妖精之王,12104;15|12111;12|1;150000,28万
4,3,5300304,5003,妖精之公,12104;12|12111;10|1;120000,26万
4,4,5300404,5003,妖精之候,12104;10|12111;8|1;100000,24万
4,5,5300504,5003,妖精之伯,12104;8|12111;7|1;80000,22万
