ปีียID,ปีียร๛ืึ,ปีียภเะอ,ฟชฦ๔ตศผถid,ตศผถ,ษýผถฯยผถห๙ะ่ตภพ฿,ษýผถห๙ะ่ป๕ฑา,ฯยาปผถid,ะงน๛าýำรid,ฑฆฟษรฮื๎ธ฿ตศผถ,วฐึรปีีย
number,string,number,number,number,string,number,number,number,number,number
id,name,type,openLevel,level,upItems,upPrice,nextId,effectId,elfLvMax,frontBadge
1,ัตมทสฆปีีย,1,25,0,12301;2,30000,2,2000,15,
2,ัตมทสฆปีียLv.1,1,25,1,12301;2,40000,3,2001,15,
3,ัตมทสฆปีียLv.2,1,25,2,12301;2,60000,4,2002,15,
4,ัตมทสฆปีียLv.3,1,25,3,12301;3,70000,5,2003,15,
5,ัตมทสฆปีียLv.4,1,25,4,12301;3,90000,6,2004,15,
6,ัตมทสฆปีียLv.5,1,25,5,12301;4,120000,7,2005,15,
7,ัตมทสฆปีียLv.6,1,25,6,12301;5,160000,8,2006,15,
8,ัตมทสฆปีียLv.7,1,25,7,12301;5,200000,9,2007,15,
9,ัตมทสฆปีียLv.8,1,25,8,12301;5,260000,10,2008,15,
10,ัตมทสฆปีียLv.9,1,25,9,12301;7,340000,11,2009,15,
11,ัตมทสฆปีียLv.10,1,25,10,12301;8,440000,12,2010,15,
12,ัตมทสฆปีียLv.11,1,25,11,12301;9,570000,13,2011,15,
13,ัตมทสฆปีียLv.12,1,25,12,,,,2012,15,
51,หฎตฮปีีย,2,25,0,12301;5,60000,52,2100,20,13
52,หฎตฮปีียLv.1,2,25,1,12301;5,80000,53,2101,20,13
53,หฎตฮปีียLv.2,2,25,2,12301;6,110000,54,2102,20,13
54,หฎตฮปีียLv.3,2,25,3,12301;7,140000,55,2103,20,13
55,หฎตฮปีียLv.4,2,25,4,12301;9,180000,56,2104,20,13
56,หฎตฮปีียLv.5,2,25,5,12301;10,230000,57,2105,20,13
57,หฎตฮปีียLv.6,2,25,6,12301;11,300000,58,2106,20,13
58,หฎตฮปีียLv.7,2,25,7,12301;13,390000,59,2107,20,13
59,หฎตฮปีียLv.8,2,25,8,12301;15,510000,60,2108,20,13
60,หฎตฮปีียLv.9,2,25,9,12301;17,660000,61,2109,20,13
61,หฎตฮปีียLv.10,2,25,10,12301;19,860000,62,2110,20,13
62,หฎตฮปีียLv.11,2,25,11,12301;27,1110000,63,2111,20,13
63,หฎตฮปีียLv.12,2,25,12,,,,2112,20,13
101,ั๔นโปีีย,3,25,0,12301;8,90000,102,2200,25,63
102,ั๔นโปีียLv.1,3,25,1,12301;12,120000,103,2201,25,63
103,ั๔นโปีียLv.2,3,25,2,12301;15,160000,104,2202,25,63
104,ั๔นโปีียLv.3,3,25,3,12301;18,200000,105,2203,25,63
105,ั๔นโปีียLv.4,3,25,4,12301;22,260000,106,2204,25,63
106,ั๔นโปีียLv.5,3,25,5,12301;25,340000,107,2205,25,63
107,ั๔นโปีียLv.6,3,25,6,12301;29,440000,108,2206,25,63
108,ั๔นโปีียLv.7,3,25,7,12301;32,580000,109,2207,25,63
109,ั๔นโปีียLv.8,3,25,8,12301;36,750000,110,2208,25,63
110,ั๔นโปีียLv.9,3,25,9,12301;39,970000,111,2209,25,63
111,ั๔นโปีียLv.10,3,25,10,12301;43,1260000,112,2210,25,63
112,ั๔นโปีียLv.11,3,25,11,12301;46,1640000,113,2211,25,63
113,ั๔นโปีียLv.12,3,25,12,,,,2212,25,63
151,ปจฐ๊ปีีย,4,25,0,12301;15,120000,152,2300,30,113
152,ปจฐ๊ปีียLv.1,4,25,1,12301;19,160000,153,2301,30,113
153,ปจฐ๊ปีียLv.2,4,25,2,12301;24,210000,154,2302,30,113
154,ปจฐ๊ปีียLv.3,4,25,3,12301;29,270000,155,2303,30,113
155,ปจฐ๊ปีียLv.4,4,25,4,12301;33,350000,156,2304,30,113
156,ปจฐ๊ปีียLv.5,4,25,5,12301;38,460000,157,2305,30,113
157,ปจฐ๊ปีียLv.6,4,25,6,12301;42,590000,158,2306,30,113
158,ปจฐ๊ปีียLv.7,4,25,7,12301;47,770000,159,2307,30,113
159,ปจฐ๊ปีียLv.8,4,25,8,12301;52,1000000,160,2308,30,113
160,ปจฐ๊ปีียLv.9,4,25,9,12301;56,1300000,161,2309,30,113
161,ปจฐ๊ปีียLv.10,4,25,10,12301;61,1690000,162,2310,30,113
162,ปจฐ๊ปีียLv.11,4,25,11,12301;66,2190000,163,2311,30,113
163,ปจฐ๊ปีียLv.12,4,25,12,,,,2312,30,113
201,ัýะฤปีีย,5,25,0,12301;20,150000,202,2400,35,163
202,ัýะฤปีียLv.1,5,25,1,12301;26,200000,203,2401,35,163
203,ัýะฤปีียLv.2,5,25,2,12301;32,260000,204,2402,35,163
204,ัýะฤปีียLv.3,5,25,3,12301;38,330000,205,2403,35,163
205,ัýะฤปีียLv.4,5,25,4,12301;43,430000,206,2404,35,163
206,ัýะฤปีียLv.5,5,25,5,12301;49,560000,207,2405,35,163
207,ัýะฤปีียLv.6,5,25,6,12301;55,730000,208,2406,35,163
208,ัýะฤปีียLv.7,5,25,7,12301;61,950000,209,2407,35,163
209,ัýะฤปีียLv.8,5,25,8,12301;66,1230000,210,2408,35,163
210,ัýะฤปีียLv.9,5,25,9,12301;72,1600000,211,2409,35,163
211,ัýะฤปีียLv.10,5,25,10,12301;78,2080000,212,2410,35,163
212,ัýะฤปีียLv.11,5,25,11,12301;84,2710000,213,2411,35,163
213,ัýะฤปีียLv.12,5,25,12,,,,2412,35,163
251,ปฦฝ๐ปีีย,6,25,0,12301;25,180000,252,2500,40,213
252,ปฦฝ๐ปีียLv.1,6,25,1,12301;36,240000,253,2501,40,213
253,ปฦฝ๐ปีียLv.2,6,25,2,12301;48,310000,254,2502,40,213
254,ปฦฝ๐ปีียLv.3,6,25,3,12301;60,400000,255,2503,40,213
255,ปฦฝ๐ปีียLv.4,6,25,4,12301;72,520000,256,2504,40,213
256,ปฦฝ๐ปีียLv.5,6,25,5,12301;84,670000,257,2505,40,213
257,ปฦฝ๐ปีียLv.6,6,25,6,12301;96,870000,258,2506,40,213
258,ปฦฝ๐ปีียLv.7,6,25,7,12301;107,1130000,259,2507,40,213
259,ปฦฝ๐ปีียLv.8,6,25,8,12301;119,1470000,260,2508,40,213
260,ปฦฝ๐ปีียLv.9,6,25,9,12301;131,1910000,261,2509,40,213
261,ปฦฝ๐ปีียLv.10,6,25,10,12301;143,2490000,262,2510,40,213
262,ปฦฝ๐ปีียLv.11,6,25,11,12301;155,3230000,263,2511,40,213
263,ปฦฝ๐ปีียLv.12,6,25,12,,,,2512,40,213
301,ป๐ัๆปีีย,7,25,0,12301;40,230000,302,2600,45,263
302,ป๐ัๆปีียLv.1,7,25,1,12301;53,300000,303,2601,45,263
303,ป๐ัๆปีียLv.2,7,25,2,12301;66,390000,304,2602,45,263
304,ป๐ัๆปีียLv.3,7,25,3,12301;79,500000,305,2603,45,263
305,ป๐ัๆปีียLv.4,7,25,4,12301;92,650000,306,2604,45,263
306,ป๐ัๆปีียLv.5,7,25,5,12301;105,840000,307,2605,45,263
307,ป๐ัๆปีียLv.6,7,25,6,12301;118,1090000,308,2606,45,263
308,ป๐ัๆปีียLv.7,7,25,7,12301;130,1420000,309,2607,45,263
309,ป๐ัๆปีียLv.8,7,25,8,12301;143,1840000,310,2608,45,263
310,ป๐ัๆปีียLv.9,7,25,9,12301;156,2390000,311,2609,45,263
311,ป๐ัๆปีียLv.10,7,25,10,12301;169,3110000,312,2610,45,263
312,ป๐ัๆปีียLv.11,7,25,11,12301;182,4040000,313,2611,45,263
313,ป๐ัๆปีียLv.12,7,25,12,,,,2612,45,263
351,ฑฬะฤปีีย,8,25,0,12301;80,270000,352,2700,50,313
352,ฑฬะฤปีียLv.1,8,25,1,12301;94,360000,353,2701,50,313
353,ฑฬะฤปีียLv.2,8,25,2,12301;108,460000,354,2702,50,313
354,ฑฬะฤปีียLv.3,8,25,3,12301;122,600000,355,2703,50,313
355,ฑฬะฤปีียLv.4,8,25,4,12301;136,780000,356,2704,50,313
356,ฑฬะฤปีียLv.5,8,25,5,12301;150,1010000,357,2705,50,313
357,ฑฬะฤปีียLv.6,8,25,6,12301;165,1310000,358,2706,50,313
358,ฑฬะฤปีียLv.7,8,25,7,12301;179,1700000,359,2707,50,313
359,ฑฬะฤปีียLv.8,8,25,8,12301;193,2210000,360,2708,50,313
360,ฑฬะฤปีียLv.9,8,25,9,12301;207,2870000,361,2709,50,313
361,ฑฬะฤปีียLv.10,8,25,10,12301;221,3730000,362,2710,50,313
362,ฑฬะฤปีียLv.11,8,25,11,12301;225,4840000,363,2711,50,313
363,ฑฬะฤปีียLv.12,8,25,12,,,,2712,50,313
401,ฬุา์ปีีย,9,25,0,12301;100,320000,402,2800,60,363
402,ฬุา์ปีียLv.1,9,25,1,12301;117,410000,403,2801,60,363
403,ฬุา์ปีียLv.2,9,25,2,12301;134,540000,404,2802,60,363
404,ฬุา์ปีียLv.3,9,25,3,12301;151,700000,405,2803,60,363
405,ฬุา์ปีียLv.4,9,25,4,12301;168,900000,406,2804,60,363
406,ฬุา์ปีียLv.5,9,25,5,12301;185,1170000,407,2805,60,363
407,ฬุา์ปีียLv.6,9,25,6,12301;203,1530000,408,2806,60,363
408,ฬุา์ปีียLv.7,9,25,7,12301;220,1980000,409,2807,60,363
409,ฬุา์ปีียLv.8,9,25,8,12301;237,2570000,410,2808,60,363
410,ฬุา์ปีียLv.9,9,25,9,12301;254,3350000,411,2809,60,363
411,ฬุา์ปีียLv.10,9,25,10,12301;271,4350000,412,2810,60,363
412,ฬุา์ปีียLv.11,9,25,11,12301;288,5650000,413,2811,60,363
413,ฬุา์ปีียLv.12,9,25,12,,,,2812,60,363
451,ศýาถยฬปีีย,10,25,0,12301;150,360000,452,2900,70,413
452,ศýาถยฬปีียLv.1,10,25,1,12301;163,470000,453,2901,70,413
453,ศýาถยฬปีียLv.2,10,25,2,12301;175,610000,454,2902,70,413
