强化ID,装备类型,开启等级（改成开启人物等级）,等级,升级下级所需道具,下一级id,效果引用id
number,number,number,number,string,number,number
id,type,openLevel,level,upItems,nextId,effectId
1,1,0,0,12503;10,2,100001
2,1,1,1,12503;20,3,100002
3,1,2,2,12503;32,4,100003
4,1,3,3,12503;46,5,100004
5,1,4,4,12503;62,6,100005
6,1,5,5,12503;80,7,100006
7,1,6,6,12503;100,8,100007
8,1,7,7,12503;122,9,100008
9,1,8,8,12503;146,10,100009
10,1,9,9,12503;172,11,100010
11,1,10,10,12503;200,12,100011
12,1,11,11,12503;230,13,100012
13,1,12,12,12503;262,14,100013
14,1,13,13,12503;296,15,100014
15,1,14,14,12503;332,16,100015
16,1,15,15,12503;370,17,100016
17,1,16,16,12503;410,18,100017
18,1,17,17,12503;452,19,100018
19,1,18,18,12503;496,20,100019
20,1,19,19,12503;542,21,100020
21,1,20,20,12503;590,22,100021
22,1,21,21,12503;640,23,100022
23,1,22,22,12503;692,24,100023
24,1,23,23,12503;746,25,100024
25,1,24,24,12503;802,26,100025
26,1,25,25,12503;860,27,100026
27,1,26,26,12503;920,28,100027
28,1,27,27,12503;982,29,100028
29,1,28,28,12503;1046,30,100029
30,1,29,29,12503;1112,31,100030
31,1,30,30,12503;1180,32,100031
32,1,31,31,12503;1250,33,100032
33,1,32,32,12503;1322,34,100033
34,1,33,33,12503;1396,35,100034
35,1,34,34,12503;1472,36,100035
36,1,35,35,12503;1550,37,100036
37,1,36,36,12503;1630,38,100037
38,1,37,37,12503;1712,39,100038
39,1,38,38,12503;1796,40,100039
40,1,39,39,12503;1882,41,100040
41,1,40,40,12503;1970,42,100041
42,1,41,41,12503;2060,43,100042
43,1,42,42,12503;2152,44,100043
44,1,43,43,12503;2246,45,100044
45,1,44,44,12503;2342,46,100045
46,1,45,45,12503;2440,47,100046
47,1,46,46,12503;2540,48,100047
48,1,47,47,12503;2642,49,100048
49,1,48,48,12503;2746,50,100049
50,1,49,49,12503;2852,51,100050
51,1,50,50,12503;2960,52,100051
52,1,51,51,12503;3070,53,100052
53,1,52,52,12503;3182,54,100053
54,1,53,53,12503;3296,55,100054
