强化ID,页签位置,开启关卡限制,等级,"升级下级所需道具数量（经验）(奶糖,道具id：12601）",下一级id,效果引用id,作用属性ID（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼。。）(;分隔）
number,number,number,number,number,number,number,string
id,type,openLevel,level,upItems,nextId,effectId,attribute
1,1,,0,20,2,,1;15
2,1,,1,46,3,410001,1;15
3,1,,2,78,4,410002,1;15
4,1,,3,116,5,410003,1;15
5,1,,4,160,6,410004,1;15
6,1,,5,210,7,410005,1;15
7,1,,6,266,8,410006,1;15
8,1,,7,328,9,410007,1;15
9,1,,8,396,10,410008,1;15
10,1,,9,470,11,410009,1;15
11,1,,10,550,12,410010,1;15
12,1,,11,636,13,410011,1;15
13,1,,12,728,14,410012,1;15
14,1,,13,826,15,410013,1;15
15,1,,14,930,16,410014,1;15
16,1,,15,1040,17,410015,1;15
17,1,,16,1156,18,410016,1;15
18,1,,17,1278,19,410017,1;15
19,1,,18,1406,20,410018,1;15
20,1,,19,1540,21,410019,1;15
21,1,,20,1680,22,410020,1;15
22,1,,21,1826,23,410021,1;15
23,1,,22,1978,24,410022,1;15
24,1,,23,2136,25,410023,1;15
25,1,,24,2300,26,410024,1;15
26,1,,25,2470,27,410025,1;15
27,1,,26,2646,28,410026,1;15
28,1,,27,2828,29,410027,1;15
29,1,,28,3016,30,410028,1;15
30,1,,29,3210,31,410029,1;15
31,1,,30,3410,32,410030,1;15
32,1,,31,3616,33,410031,1;15
33,1,,32,3828,34,410032,1;15
34,1,,33,4046,35,410033,1;15
35,1,,34,4270,36,410034,1;15
36,1,,35,4500,37,410035,1;15
37,1,,36,4736,38,410036,1;15
38,1,,37,4978,39,410037,1;15
39,1,,38,5226,40,410038,1;15
40,1,,39,5480,41,410039,1;15
41,1,,40,5740,42,410040,1;15
42,1,,41,6006,43,410041,1;15
43,1,,42,6278,44,410042,1;15
44,1,,43,6556,45,410043,1;15
45,1,,44,6840,46,410044,1;15
46,1,,45,7130,47,410045,1;15
47,1,,46,7426,48,410046,1;15
48,1,,47,7728,49,410047,1;15
49,1,,48,8036,50,410048,1;15
50,1,,49,8350,51,410049,1;15
51,1,,50,8670,52,410050,1;15
52,1,,51,8996,53,410051,1;15
53,1,,52,9328,54,410052,1;15
54,1,,53,9666,55,410053,1;15
55,1,,54,10010,56,410054,1;15
56,1,,55,10360,57,410055,1;15
57,1,,56,10716,58,410056,1;15
58,1,,57,11078,59,410057,1;15
59,1,,58,11446,60,410058,1;15
60,1,,59,11820,61,410059,1;15
61,1,,60,12200,62,410060,1;15
62,1,,61,12586,63,410061,1;15
63,1,,62,12978,64,410062,1;15
64,1,,63,13376,65,410063,1;15
65,1,,64,13780,66,410064,1;15
66,1,,65,14190,67,410065,1;15
67,1,,66,14606,68,410066,1;15
68,1,,67,15028,69,410067,1;15
69,1,,68,15456,70,410068,1;15
70,1,,69,15890,71,410069,1;15
71,1,,70,16330,72,410070,1;15
72,1,,71,16776,73,410071,1;15
73,1,,72,17228,74,410072,1;15
74,1,,73,17686,75,410073,1;15
75,1,,74,18150,76,410074,1;15
76,1,,75,18620,77,410075,1;15
77,1,,76,19096,78,410076,1;15
78,1,,77,19578,79,410077,1;15
79,1,,78,20066,80,410078,1;15
80,1,,79,20560,81,410079,1;15
81,1,,80,21060,82,410080,1;15
82,1,,81,21566,83,410081,1;15
83,1,,82,22078,84,410082,1;15
84,1,,83,22596,85,410083,1;15
85,1,,84,23120,86,410084,1;15
86,1,,85,23650,87,410085,1;15
87,1,,86,24186,88,410086,1;15
88,1,,87,24728,89,410087,1;15
89,1,,88,25276,90,410088,1;15
90,1,,89,25830,91,410089,1;15
91,1,,90,26390,92,410090,1;15
92,1,,91,26956,93,410091,1;15
93,1,,92,27528,94,410092,1;15
94,1,,93,28106,95,410093,1;15
95,1,,94,28690,96,410094,1;15
96,1,,95,29280,97,410095,1;15
97,1,,96,29876,98,410096,1;15
98,1,,97,30478,99,410097,1;15
99,1,,98,31086,100,410098,1;15
100,1,,99,,,410099,1;15
1001,2,,0,20,1002,,2;9
1002,2,,1,46,1003,410001,2;9
1003,2,,2,78,1004,410002,2;9
1004,2,,3,116,1005,410003,2;9
1005,2,,4,160,1006,410004,2;9
1006,2,,5,210,1007,410005,2;9
1007,2,,6,266,1008,410006,2;9
1008,2,,7,328,1009,410007,2;9
1009,2,,8,396,1010,410008,2;9
1010,2,,9,470,1011,410009,2;9
1011,2,,10,550,1012,410010,2;9
1012,2,,11,636,1013,410011,2;9
1013,2,,12,728,1014,410012,2;9
1014,2,,13,826,1015,410013,2;9
1015,2,,14,930,1016,410014,2;9
1016,2,,15,1040,1017,410015,2;9
1017,2,,16,1156,1018,410016,2;9
1018,2,,17,1278,1019,410017,2;9
1019,2,,18,1406,1020,410018,2;9
1020,2,,19,1540,1021,410019,2;9
1021,2,,20,1680,1022,410020,2;9
1022,2,,21,1826,1023,410021,2;9
1023,2,,22,1978,1024,410022,2;9
1024,2,,23,2136,1025,410023,2;9
1025,2,,24,2300,1026,410024,2;9
1026,2,,25,2470,1027,410025,2;9
1027,2,,26,2646,1028,410026,2;9
1028,2,,27,2828,1029,410027,2;9
1029,2,,28,3016,1030,410028,2;9
1030,2,,29,3210,1031,410029,2;9
1031,2,,30,3410,1032,410030,2;9
1032,2,,31,3616,1033,410031,2;9
1033,2,,32,3828,1034,410032,2;9
1034,2,,33,4046,1035,410033,2;9
1035,2,,34,4270,1036,410034,2;9
1036,2,,35,4500,1037,410035,2;9
1037,2,,36,4736,1038,410036,2;9
1038,2,,37,4978,1039,410037,2;9
1039,2,,38,5226,1040,410038,2;9
1040,2,,39,5480,1041,410039,2;9
1041,2,,40,5740,1042,410040,2;9
1042,2,,41,6006,1043,410041,2;9
1043,2,,42,6278,1044,410042,2;9
1044,2,,43,6556,1045,410043,2;9
1045,2,,44,6840,1046,410044,2;9
1046,2,,45,7130,1047,410045,2;9
1047,2,,46,7426,1048,410046,2;9
1048,2,,47,7728,1049,410047,2;9
1049,2,,48,8036,1050,410048,2;9
1050,2,,49,8350,1051,410049,2;9
1051,2,,50,8670,1052,410050,2;9
1052,2,,51,8996,1053,410051,2;9
1053,2,,52,9328,1054,410052,2;9
1054,2,,53,9666,1055,410053,2;9
1055,2,,54,10010,1056,410054,2;9
1056,2,,55,10360,1057,410055,2;9
1057,2,,56,10716,1058,410056,2;9
1058,2,,57,11078,1059,410057,2;9
1059,2,,58,11446,1060,410058,2;9
1060,2,,59,11820,1061,410059,2;9
1061,2,,60,12200,1062,410060,2;9
1062,2,,61,12586,1063,410061,2;9
1063,2,,62,12978,1064,410062,2;9
1064,2,,63,13376,1065,410063,2;9
1065,2,,64,13780,1066,410064,2;9
1066,2,,65,14190,1067,410065,2;9
1067,2,,66,14606,1068,410066,2;9
1068,2,,67,15028,1069,410067,2;9
1069,2,,68,15456,1070,410068,2;9
1070,2,,69,15890,1071,410069,2;9
1071,2,,70,16330,1072,410070,2;9
1072,2,,71,16776,1073,410071,2;9
1073,2,,72,17228,1074,410072,2;9
1074,2,,73,17686,1075,410073,2;9
1075,2,,74,18150,1076,410074,2;9
1076,2,,75,18620,1077,410075,2;9
1077,2,,76,19096,1078,410076,2;9
1078,2,,77,19578,1079,410077,2;9
1079,2,,78,20066,1080,410078,2;9
1080,2,,79,20560,1081,410079,2;9
1081,2,,80,21060,1082,410080,2;9
1082,2,,81,21566,1083,410081,2;9
1083,2,,82,22078,1084,410082,2;9
1084,2,,83,22596,1085,410083,2;9
1085,2,,84,23120,1086,410084,2;9
1086,2,,85,23650,1087,410085,2;9
1087,2,,86,24186,1088,410086,2;9
1088,2,,87,24728,1089,410087,2;9
1089,2,,88,25276,1090,410088,2;9
1090,2,,89,25830,1091,410089,2;9
1091,2,,90,26390,1092,410090,2;9
1092,2,,91,26956,1093,410091,2;9
1093,2,,92,27528,1094,410092,2;9
1094,2,,93,28106,1095,410093,2;9
1095,2,,94,28690,1096,410094,2;9
1096,2,,95,29280,1097,410095,2;9
1097,2,,96,29876,1098,410096,2;9
1098,2,,97,30478,1099,410097,2;9
1099,2,,98,31086,1100,410098,2;9
1100,2,,99,,,410099,2;9
2001,3,,0,20,2002,,3;11
2002,3,,1,46,2003,410001,3;11
2003,3,,2,78,2004,410002,3;11
2004,3,,3,116,2005,410003,3;11
2005,3,,4,160,2006,410004,3;11
2006,3,,5,210,2007,410005,3;11
2007,3,,6,266,2008,410006,3;11
2008,3,,7,328,2009,410007,3;11
2009,3,,8,396,2010,410008,3;11
2010,3,,9,470,2011,410009,3;11
2011,3,,10,550,2012,410010,3;11
2012,3,,11,636,2013,410011,3;11
2013,3,,12,728,2014,410012,3;11
2014,3,,13,826,2015,410013,3;11
2015,3,,14,930,2016,410014,3;11
2016,3,,15,1040,2017,410015,3;11
2017,3,,16,1156,2018,410016,3;11
2018,3,,17,1278,2019,410017,3;11
2019,3,,18,1406,2020,410018,3;11
2020,3,,19,1540,2021,410019,3;11
2021,3,,20,1680,2022,410020,3;11
2022,3,,21,1826,2023,410021,3;11
2023,3,,22,1978,2024,410022,3;11
2024,3,,23,2136,2025,410023,3;11
2025,3,,24,2300,2026,410024,3;11
2026,3,,25,2470,2027,410025,3;11
2027,3,,26,2646,2028,410026,3;11
2028,3,,27,2828,2029,410027,3;11
2029,3,,28,3016,2030,410028,3;11
2030,3,,29,3210,2031,410029,3;11
2031,3,,30,3410,2032,410030,3;11
2032,3,,31,3616,2033,410031,3;11
2033,3,,32,3828,2034,410032,3;11
2034,3,,33,4046,2035,410033,3;11
2035,3,,34,4270,2036,410034,3;11
2036,3,,35,4500,2037,410035,3;11
2037,3,,36,4736,2038,410036,3;11
2038,3,,37,4978,2039,410037,3;11
2039,3,,38,5226,2040,410038,3;11
2040,3,,39,5480,2041,410039,3;11
2041,3,,40,5740,2042,410040,3;11
2042,3,,41,6006,2043,410041,3;11
2043,3,,42,6278,2044,410042,3;11
2044,3,,43,6556,2045,410043,3;11
2045,3,,44,6840,2046,410044,3;11
2046,3,,45,7130,2047,410045,3;11
2047,3,,46,7426,2048,410046,3;11
2048,3,,47,7728,2049,410047,3;11
2049,3,,48,8036,2050,410048,3;11
2050,3,,49,8350,2051,410049,3;11
2051,3,,50,8670,2052,410050,3;11
