角色达到等级,获得奖励（道具ID1；数量1|ID6;数量2……）
number,string
level,items
2,2;500
3,6;100
4,2;500
5,6;100
6,2;500
7,1;10000|6;100|12003;10
8,3;10000|2;500
9,1;15000|6;100|12003;10
10,3;15000|2;500|13001;1
11,1;20000|6;100|12003;10
12,3;20000|2;1000
13,1;25000|6;100|12003;10|13001;2
14,3;25000|2;1000
15,1;30000|6;100|12003;15
16,3;30000|2;1000|13001;2
17,1;35000|6;100|12003;15
18,3;35000|2;1000
19,1;40000|6;100|12003;15
20,3;40000|2;1000|13001;1
21,6;150|12003;15
22,6;150|13001;2
23,6;150|12003;20
24,6;150|13001;2
25,6;150|12003;20
26,6;150
27,6;150|12003;20
28,6;150
29,6;150|12003;20
30,6;150|13001;3
31,6;200|12003;25
32,6;200
33,6;200|12003;25
34,6;200|
35,6;200|12003;25|12503;20
36,6;200
37,6;200|12003;25
38,6;200
39,6;200|12003;30
40,6;200|13001;4|12503;50
41,6;250|12003;30
42,6;250
43,6;250|12003;30
44,6;250
45,6;250|12003;30|12503;30
46,6;250
47,6;250|12003;35
48,6;250
49,6;250|12003;35
50,6;250|13001;5|12503;50
51,6;300|12003;35
52,6;300
53,6;300|12003;35
54,6;300
55,6;300|12003;40|12503;50
56,6;300
57,6;300|12003;40
58,6;300
59,6;300|12003;40
60,6;300|13001;6|12503;100
61,6;350|12003;40
62,6;350
63,6;350|12003;45
64,6;350
65,6;350|12003;45|12503;50
66,6;350
67,6;350|12003;45
68,6;350
69,6;350|12003;45
70,6;350|13001;7|12503;100
71,6;400|12003;50
72,6;400
73,6;400|12003;50
74,6;400
75,6;400|12003;50|12503;100
76,6;400
77,6;400|12003;50
78,6;400
79,6;400|12003;55
80,6;400|13001;8|12503;100
81,6;450|12003;55
82,6;450
83,6;450|12003;55
84,6;450
85,6;450|12003;55|12503;100
86,6;450
87,6;450|12003;60
88,6;450
89,6;450|12003;60
90,6;450|13001;10|12503;200
91,6;500|12003;60
92,6;500
93,6;500|12003;60
94,6;500
95,6;500|12003;65
96,6;500
97,6;500|12003;65
98,6;500
99,6;500|12003;65
100,6;500
101,6;600|12003;65
102,6;700
103,6;800|12003;70
104,6;900
105,6;1000|12003;70
106,6;1100
107,6;1200|12003;70
108,6;1300
109,6;1400|12003;70
110,6;1500
111,6;1600|12003;75
112,6;1700
113,6;1800|12003;75
114,6;1900
115,6;2000|12003;75
116,6;2100
117,6;2200|12003;75
118,6;2300
119,6;2400|12003;80
120,6;3000
