角色ID,角色名字,注释,角色头像icon,角色资源（1男 2女）,获取方式说明,vip等级解锁限制(-1.不可购买）,所需道具,效果引用id,翅膀高度偏移,饰品高度偏移
number,string,string,string,string,string,number,string,number,number,number
id,name,desc,roleIcon,roleResours,GetExplain,vip,upItems,effectId,wingY,decorationY
5001,透也,生命+3%,,1,游戏开始时选择获得,,,1001,0,0
5002,透子,生命+3%,,2,游戏开始时选择获得,-1,,1002,0,-5
5003,希罗娜,"速度+1%,妖系威力+3%",,2,购买Vip3礼包获得,-1,,1003,0,-5
5004,嘉德丽雅,命中+3%，物攻+2%，火系威力+3%,,2,购买Vip5礼包获得,-1,,1004,0,-5
5005,渡,物攻+3%，特攻+3%，生命+300,,1,活动获得,-1,,1005,0,-5
5006,莉佳,火，草，水威力+5%,,2,公会活动获得,-1,,1006,0,0
5007,神秘人,"闪避+3%
特攻+200",,1,活动获得,-1,,1007,0,-5
5008,艾莉丝,妖，恶，冰系威力+5%，速度+200,,2,活动获得,-1,,1008,0,-10
5009,白露,生命+5%,,2,第二日登录获得,-1,,1009,0,0
5010,爱丽丝,物防+5%，特防+2%，速度+1%,,2,活动获得,-1,,1010,0,-2
5011,小遥,"生命+500
物攻+5%
特攻+5%",,2,活动获得,-1,,1011,-45,-45
5013,火岩,"命中+2%，电系威力+10%
生命+2%，岩系威力+10%",,1,购买Vip7礼包获得,-1,,1013,-40,-55
5014,迪克,6属性+200,,1,活动获得,-1,,1014,-30,-30
5015,蓝鲸透子,"双攻+30
双防+30
生命+180",,2,活动获得,-1,,1015,-20,-30
5016,不羁迈克,生命+100,,1,活动获得,-1,,1016,0,-10
5017,云神小天,"双攻+1%
命中+2%
暴击伤害5%",,1,购买Vip10礼包获得,-1,,1017,-35,-45
5019,悠闲共平,生命+100,,1,活动获得,-1,,1019,0,-10
5020,顽皮彩也,1%双防,,2,购买成长基金获得,-1,,1020,0,-15
5021,绿铃芽米,"生命+1%
速度+1%",,2,活动获得,-1,,1021,-30,-30
5023,地蜘赤日,"物攻+1%
特攻+1%",,1,活动获得,-1,,1023,-25,-30
5022,红鸢真菰,1%双防,,1,特惠商店中兑换获得,-1,,1022,-40,-45
5025,骨岩瓢太,生命+100,,1,活动获得,-1,,1025,0,-10
5035,欢乐小厨,"物攻+2%
特攻+2%",,2,活动获得,-1,,1035,-35,-35
5024,火龙西野,,,1,活动获得,-1,,1026,-35,-35
5026,玉龙透也,,,1,活动获得,-1,,1027,-20,-30
5027,霸兽小黑,,,1,活动获得,-1,,1028,-60,-60
5028,小蛮,,,1,活动获得,-1,,1029,0,-15
5029,博士,,,2,活动获得,-1,,1030,-45,-55
5030,白衣警察,,,1,活动获得,-1,,1031,-45,-55
5031,光头佬,,,1,活动获得,-1,,1032,-35,-35
5032,热血格斗,,,1,活动获得,-1,,1033,-45,-55
5033,蛮牛冲冲,,,2,活动获得,-1,,1034,-35,-35
5034,瞌睡老爹,,,1,活动获得,-1,,1036,-35,-35
5040,玉龙透也MAX,,,1,活动获得,-1,,1027,-20,-30
